Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/03/07 02:55
PAR(mW/cm²),0.6333089470863342
PPFD(umol/㎡/s),29.547439575195312
PPFD-UV(umol/㎡/s),0.0003622841904871166
PPFD-B(umol/㎡/s),10.8851318359375
PPFD-G(umol/㎡/s),0.2168145626783371
PPFD-R(umol/㎡/s),18.445493698120117
PPFD-FR(umol/㎡/s),0.0027441191487014294
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),36.91640090942383
Erb Ratio,1.2511297464370728
YPFD(umol/m²/s),25.951223373413086
Ech-A(mW/cm²),0.011192004196345806
Ech-B(mW/cm²),0.011143989861011505
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),800.3878784179688
Candle E(fc),74.38549041748047
CCT(K),1572.234375
Duv,-0.13813550770282745
x,0.3571886122226715
y,0.15255023539066315
u,0.3471030294895172
v,0.22236424684524536
u’,0.3471030294895172
v’,0.33354637026786804
SDCM,95.19612884521484
Ra,-52.92756652832031
R1,-70.22334289550781
R2,-100.0
R3,-100.0
R4,68.10317993164062
R5,-100.0
R6,-100.0
R7,-80.81179809570312
R8,59.51142883300781
R9,-91.87960815429688
R10,-100.0
R11,22.76589584350586
R12,-100.0
R13,-100.0
R14,-83.45907592773438
R15,-53.21034622192383
Ee(mW/cm²),0.6333089470863342
S/P,3.907531499862671
Dominant(nm),547.5
Purity(%),48.166255950927734
Half width(nm),19.40625
Peak(nm),633.9112548828125
Center(nm),632.7281494140625
Centroid(nm),558.0999755859375
R ratio(%),55.165184020996094
G ratio(%),2.5072576999664307
B ratio(%),42.32755661010742
Integrat.Time(ms),22.0
Peak Signal,56431.0
Dark Signal,3237.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0012027801712974906
385,0.022397032007575035
386,0.05696939304471016
387,0.016233954578638077
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.01495331060141325
401,0.003301328280940652
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.01747235655784607
417,0.027973782271146774
418,0.01884281449019909
419,0.04053308814764023
420,0.08667692542076111
421,0.12320812791585922
422,0.14204981923103333
423,0.19711242616176605
424,0.28881293535232544
425,0.3365829288959503
426,0.4308317005634308
427,0.5832401514053345
428,0.712679386138916
429,0.8683511018753052
430,1.1362025737762451
431,1.4625859260559082
432,1.842767596244812
433,2.299928903579712
434,2.8300421237945557
435,3.427696704864502
436,4.251549243927002
437,5.198193550109863
438,6.179955959320068
439,7.335757732391357
440,8.667821884155273
441,10.123586654663086
442,11.721625328063965
443,13.500094413757324
444,15.372661590576172
445,17.43934440612793
446,19.78719139099121
447,22.332218170166016
448,25.080217361450195
449,28.114850997924805
450,31.350284576416016
451,34.85675048828125
452,38.81964111328125
453,42.98294448852539
454,47.68037033081055
455,53.107852935791016
456,58.988094329833984
457,65.41263580322266
458,72.31389617919922
459,79.3963394165039
460,86.55633544921875
461,93.24420166015625
462,98.91464233398438
463,102.87152099609375
464,105.29076385498047
465,106.0171890258789
466,105.3436050415039
467,103.27700805664062
468,99.7913818359375
469,95.00875854492188
470,89.68505859375
471,83.91058349609375
472,78.00178527832031
473,72.20355224609375
474,66.74974060058594
475,61.763790130615234
476,57.24770736694336
477,53.16566467285156
478,49.38273620605469
479,45.83706283569336
480,42.446109771728516
481,39.11246109008789
482,35.887451171875
483,32.79330825805664
484,29.720731735229492
485,26.815906524658203
486,24.13580322265625
487,21.63886833190918
488,19.375120162963867
489,17.450576782226562
490,15.699639320373535
491,14.134024620056152
492,12.767253875732422
493,11.57984447479248
494,10.516048431396484
495,9.60426139831543
496,8.734087944030762
497,7.919233322143555
498,7.154830455780029
499,6.4331374168396
500,5.74045991897583
501,5.1251044273376465
502,4.587599277496338
503,4.102341651916504
504,3.6465401649475098
505,3.2286829948425293
506,2.8551506996154785
507,2.4999327659606934
508,2.163522243499756
509,1.8783807754516602
510,1.6486886739730835
511,1.4534494876861572
512,1.2732115983963013
513,1.1351993083953857
514,1.0103896856307983
515,0.8944205641746521
516,0.797353208065033
517,0.7067500948905945
518,0.6226568222045898
519,0.5459399223327637
520,0.4775948226451874
521,0.42133259773254395
522,0.40463462471961975
523,0.3676877021789551
524,0.3111365735530853
525,0.25678151845932007
526,0.2080969363451004
527,0.1421164572238922
528,0.09611063450574875
529,0.10295829176902771
530,0.12053295969963074
531,0.13505148887634277
532,0.1390044093132019
533,0.13045698404312134
534,0.09477020055055618
535,0.07274746894836426
536,0.0439816489815712
537,0.023510927334427834
538,0.014209366403520107
539,0.016033073887228966
540,0.02385036088526249
541,0.037798572331666946
542,0.05300414562225342
543,0.06533151119947433
544,0.07176510989665985
545,0.05533537268638611
546,0.04428114369511604
547,0.03388817235827446
548,0.028667902573943138
549,0.020854292437434196
550,0.018868163228034973
551,0.00522229028865695
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.010065851733088493
563,0.018568603321909904
564,0.004347366280853748
565,0.0
566,0.0
567,0.0
568,0.001715123187750578
569,0.012178629636764526
570,0.009683377109467983
571,0.005537461023777723
572,0.0046349698677659035
573,0.0
574,0.0
575,0.0
576,0.0
577,0.003344788448885083
578,0.044562894850969315
579,0.06635186076164246
580,0.08984098583459854
581,0.11344258487224579
582,0.0925692766904831
583,0.03479351848363876
584,0.0012998466845601797
585,0.0
586,0.0
587,0.0
588,0.011334666982293129
589,0.05589861050248146
590,0.085704505443573
591,0.10661725699901581
592,0.12542280554771423
593,0.15511488914489746
594,0.1905645728111267
595,0.2593495845794678
596,0.37856152653694153
597,0.5463760495185852
598,0.7812161445617676
599,1.0820218324661255
600,1.5098185539245605
601,2.098706007003784
602,2.870022773742676
603,3.8327231407165527
604,4.970767974853516
605,6.314260005950928
606,7.861412048339844
607,9.663297653198242
608,11.717469215393066
609,14.065356254577637
610,16.6606388092041
611,19.556344985961914
612,22.69588851928711
613,25.48792266845703
614,28.53066635131836
615,32.480838775634766
616,36.776344299316406
617,41.440433502197266
618,46.61994934082031
619,52.2066650390625
620,58.28924560546875
621,64.72986602783203
622,71.48714447021484
623,78.62884521484375
624,86.11006164550781
625,94.00884246826172
626,102.47095489501953
627,111.37116241455078
628,120.49600982666016
629,129.78794860839844
630,137.80291748046875
631,145.0550079345703
632,152.1084442138672
633,156.9782257080078
634,158.95755004882812
635,157.5649871826172
636,152.9424285888672
637,145.2066650390625
638,134.9271697998047
639,122.57624816894531
640,109.23572540283203
641,95.67259216308594
642,82.57969665527344
643,70.48287963867188
644,59.69317626953125
645,51.674251556396484
646,44.58203887939453
647,37.22447967529297
648,30.951753616333008
649,25.63275718688965
650,21.160648345947266
651,17.414701461791992
652,14.336141586303711
653,11.773923873901367
654,9.633363723754883
655,7.853820323944092
656,6.377957820892334
657,5.168932914733887
658,4.2177863121032715
659,3.555760145187378
660,3.0050950050354004
661,2.446512222290039
662,1.952510118484497
663,1.5218385457992554
664,1.1891764402389526
665,0.9402380585670471
666,0.7549602389335632
667,0.6562179327011108
668,0.5357455015182495
669,0.4053235650062561
670,0.26844680309295654
671,0.18503831326961517
672,0.12103680521249771
673,0.10984546691179276
674,0.1267855167388916
675,0.13627853989601135
676,0.12645140290260315
677,0.10146582126617432
678,0.058370042592287064
679,0.019910398870706558
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0038201911374926567
696,0.052616823464632034
697,0.09256704151630402
698,0.08546338975429535
699,0.09513404965400696
700,0.1258043348789215
701,0.10147374123334885
702,0.0463937409222126
703,0.011293306015431881
704,0.0
705,0.0
706,0.0
707,0.0
708,0.002066252054646611
709,0.018617484718561172
710,0.029920224100351334
711,0.05560452118515968
712,0.06397441029548645
713,0.042218539863824844
714,0.023754367604851723
715,0.010006960481405258
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.007334134541451931
727,0.02449692040681839
728,0.002179746050387621
729,0.009315860457718372
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0017530537443235517
753,0.0114080049097538
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
