id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
7313,2025-09-22 07:00:40.936,L_6vSQ==,PACKET_DATA,19.5,54.09,0.014,2.981,206.0,1023.0,544.0,162.0,4911.0,358.0,207.0,233.0,4107.0,6087.0,1,90,400,1
7315,2025-09-22 07:02:11.571,L_6vSQ==,PACKET_DATA,19.94,53.49,0.016,2.991,208.0,1042.0,552.0,163.0,4935.0,359.0,208.0,234.0,4102.0,6142.0,1,90,400,1
7317,2025-09-22 07:03:42.190,L_6vSQ==,PACKET_DATA,20.5,52.49,0.016,2.991,208.0,1045.0,554.0,163.0,4941.0,359.0,209.0,234.0,4087.0,6173.0,1,90,400,1
7319,2025-09-22 07:05:12.719,L_6vSQ==,PACKET_DATA,20.75,51.03,0.016,2.991,207.0,1032.0,548.0,162.0,4913.0,358.0,208.0,233.0,4057.0,6173.0,1,90,400,1
7321,2025-09-22 07:06:43.334,L_6vSQ==,PACKET_DATA,21.02,50.04,1.512,3.588,209.0,1049.0,556.0,164.0,4953.0,360.0,210.0,234.0,4065.0,6230.0,1,90,400,1
7323,2025-09-22 07:08:13.950,L_6vSQ==,PACKET_DATA,21.5,49.09,1.522,4.439,209.0,1050.0,557.0,164.0,4958.0,360.0,210.0,234.0,4056.0,6254.0,1,90,400,1
7325,2025-09-22 07:09:44.606,L_6vSQ==,PACKET_DATA,21.74,48.61,1.556,4.709,207.0,1029.0,547.0,162.0,4909.0,357.0,208.0,232.0,4013.0,6219.0,1,90,400,1
7327,2025-09-22 07:11:15.151,L_6vSQ==,PACKET_DATA,21.99,47.63,1.556,4.707,209.0,1052.0,558.0,164.0,4966.0,361.0,211.0,234.0,4041.0,6293.0,1,90,400,1
7329,2025-09-22 07:12:45.791,L_6vSQ==,PACKET_DATA,22.38,46.99,1.525,4.707,209.0,1053.0,559.0,164.0,4970.0,361.0,211.0,234.0,4036.0,6312.0,1,90,400,1
7331,2025-09-22 07:14:16.389,L_6vSQ==,PACKET_DATA,22.49,46.53,1.556,4.709,210.0,1054.0,560.0,164.0,4973.0,361.0,211.0,234.0,4031.0,6326.0,1,90,400,1
7333,2025-09-22 07:15:47.005,L_6vSQ==,PACKET_DATA,22.88,46.06,1.572,4.713,210.0,1054.0,560.0,165.0,4976.0,362.0,212.0,235.0,4026.0,6339.0,1,90,400,1
7335,2025-09-22 07:17:17.587,L_6vSQ==,PACKET_DATA,23.0,45.56,1.556,4.713,210.0,1054.0,560.0,165.0,4979.0,362.0,212.0,235.0,4022.0,6350.0,1,90,400,1
7337,2025-09-22 07:18:48.235,L_6vSQ==,PACKET_DATA,23.25,45.01,1.556,4.71,210.0,1055.0,561.0,165.0,4981.0,362.0,212.0,234.0,4018.0,6360.0,1,90,400,1
7339,2025-09-22 07:20:18.788,L_6vSQ==,PACKET_DATA,23.47,44.81,1.556,4.71,210.0,1055.0,561.0,165.0,4983.0,362.0,212.0,235.0,4014.0,6370.0,1,90,400,1
7341,2025-09-22 07:21:49.407,L_6vSQ==,PACKET_DATA,23.44,44.53,1.568,4.713,210.0,1056.0,561.0,165.0,4982.0,362.0,212.0,235.0,4012.0,6378.0,1,90,400,1
7343,2025-09-22 07:23:19.953,L_6vSQ==,PACKET_DATA,23.62,44.09,1.584,4.715,210.0,1056.0,562.0,165.0,4986.0,362.0,212.0,235.0,4010.0,6386.0,1,90,400,1
7345,2025-09-22 07:24:50.657,L_6vSQ==,PACKET_DATA,23.74,43.96,1.568,4.713,210.0,1056.0,562.0,165.0,4988.0,362.0,213.0,235.0,4008.0,6390.0,1,90,400,1
7347,2025-09-22 07:26:21.171,L_6vSQ==,PACKET_DATA,23.99,43.66,1.568,4.713,211.0,1056.0,562.0,165.0,4989.0,362.0,213.0,235.0,4006.0,6400.0,1,90,400,1
7349,2025-09-22 07:27:51.868,L_6vSQ==,PACKET_DATA,23.87,43.47,1.559,4.712,211.0,1056.0,562.0,165.0,4989.0,363.0,213.0,235.0,4004.0,6405.0,1,90,400,1
7351,2025-09-22 07:29:22.426,L_6vSQ==,PACKET_DATA,24.06,43.3,1.566,4.713,211.0,1057.0,563.0,165.0,4989.0,363.0,213.0,235.0,4002.0,6409.0,1,90,400,1
7353,2025-09-22 07:30:53.059,L_6vSQ==,PACKET_DATA,24.22,43.15,1.568,4.715,211.0,1057.0,563.0,165.0,4993.0,363.0,213.0,235.0,4001.0,6414.0,1,90,400,1
7355,2025-09-22 07:32:23.594,L_6vSQ==,PACKET_DATA,24.25,42.96,1.566,4.713,211.0,1056.0,563.0,165.0,4987.0,362.0,213.0,235.0,3998.0,6415.0,1,90,400,1
7357,2025-09-22 07:33:54.189,L_6vSQ==,PACKET_DATA,24.37,42.94,1.566,4.713,210.0,1049.0,560.0,165.0,4977.0,362.0,213.0,235.0,3998.0,6422.0,1,90,400,1
7359,2025-09-22 07:35:24.787,L_6vSQ==,PACKET_DATA,24.5,42.81,1.536,4.71,211.0,1057.0,563.0,165.0,4995.0,363.0,213.0,235.0,3997.0,6426.0,1,90,400,1
7361,2025-09-22 07:36:55.416,L_6vSQ==,PACKET_DATA,24.37,42.58,1.536,4.713,209.0,1042.0,556.0,164.0,4961.0,361.0,212.0,233.0,3972.0,6393.0,1,90,400,1
7363,2025-09-22 07:38:26.057,L_6vSQ==,PACKET_DATA,24.62,42.39,1.566,4.717,211.0,1057.0,563.0,165.0,4997.0,363.0,213.0,235.0,3995.0,6431.0,1,90,400,1
7365,2025-09-22 07:39:56.663,L_6vSQ==,PACKET_DATA,24.56,42.41,1.577,4.718,208.0,1033.0,552.0,164.0,4937.0,359.0,211.0,233.0,3957.0,6372.0,1,90,400,1
7367,2025-09-22 07:41:27.266,L_6vSQ==,PACKET_DATA,24.62,42.36,1.577,4.716,211.0,1057.0,563.0,166.0,4996.0,363.0,213.0,235.0,3992.0,6435.0,1,90,400,1
7369,2025-09-22 07:42:57.879,L_6vSQ==,PACKET_DATA,24.63,42.02,1.536,4.713,211.0,1056.0,563.0,166.0,4993.0,363.0,213.0,235.0,3991.0,6439.0,1,90,400,1
7371,2025-09-22 07:44:28.445,L_6vSQ==,PACKET_DATA,24.72,42.04,1.536,4.713,211.0,1057.0,564.0,166.0,4993.0,363.0,213.0,235.0,3991.0,6442.0,1,90,400,1
7373,2025-09-22 07:45:59.085,L_6vSQ==,PACKET_DATA,24.74,42.01,1.555,4.715,211.0,1057.0,564.0,166.0,4999.0,363.0,213.0,235.0,3989.0,6444.0,1,90,400,1
7375,2025-09-22 07:47:29.677,L_6vSQ==,PACKET_DATA,24.69,42.02,1.536,4.713,210.0,1046.0,559.0,165.0,4972.0,361.0,212.0,234.0,3968.0,6412.0,1,90,400,1
7377,2025-09-22 07:49:00.255,L_6vSQ==,PACKET_DATA,24.87,41.79,1.536,4.713,211.0,1057.0,564.0,166.0,4999.0,363.0,214.0,235.0,3988.0,6448.0,1,90,400,1
7379,2025-09-22 07:50:30.864,L_6vSQ==,PACKET_DATA,25.0,41.93,1.536,4.713,211.0,1057.0,564.0,166.0,4999.0,363.0,214.0,235.0,3987.0,6448.0,1,90,400,1
7381,2025-09-22 07:52:01.528,L_6vSQ==,PACKET_DATA,25.0,41.81,1.552,4.716,211.0,1057.0,564.0,166.0,5000.0,363.0,214.0,235.0,3986.0,6452.0,1,90,400,1
7383,2025-09-22 07:53:32.057,L_6vSQ==,PACKET_DATA,24.97,41.61,1.552,4.716,211.0,1057.0,564.0,166.0,5000.0,363.0,214.0,235.0,3986.0,6454.0,1,90,400,1
