id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time,PPFD,led_status
817,2025-09-15 07:01:17.910,T6ncwg==,PACKET_DATA,19.11,62.74,0.03,2.954,157.0,861.0,434.0,131.0,4093.0,304.0,164.0,187.0,3389.0,4388.0,1,90,300,1
819,2025-09-15 07:02:48.522,T6ncwg==,PACKET_DATA,19.39,61.87,0.031,2.954,159.0,877.0,441.0,132.0,4126.0,305.0,166.0,189.0,3399.0,4433.0,1,90,300,1
821,2025-09-15 07:04:19.191,T6ncwg==,PACKET_DATA,19.81,61.33,1.486,2.968,159.0,879.0,442.0,132.0,4134.0,306.0,166.0,189.0,3393.0,4452.0,1,90,300,1
823,2025-09-15 07:05:49.764,T6ncwg==,PACKET_DATA,20.12,60.62,1.485,3.415,159.0,881.0,443.0,132.0,4140.0,306.0,166.0,189.0,3389.0,4473.0,1,90,300,1
825,2025-09-15 07:07:20.370,T6ncwg==,PACKET_DATA,20.38,59.6,1.485,3.415,159.0,883.0,444.0,132.0,4145.0,306.0,167.0,189.0,3383.0,4489.0,1,90,300,1
827,2025-09-15 07:08:51.011,T6ncwg==,PACKET_DATA,20.87,58.79,1.482,3.415,157.0,858.0,433.0,130.0,4086.0,303.0,164.0,187.0,3338.0,4444.0,1,90,300,1
829,2025-09-15 07:10:21.577,T6ncwg==,PACKET_DATA,20.87,57.95,1.482,4.108,160.0,885.0,445.0,133.0,4154.0,307.0,167.0,190.0,3378.0,4517.0,1,90,300,1
831,2025-09-15 07:11:52.226,T6ncwg==,PACKET_DATA,21.12,57.01,1.485,4.611,160.0,886.0,445.0,133.0,4157.0,307.0,167.0,189.0,3374.0,4529.0,1,90,300,1
833,2025-09-15 07:13:22.851,T6ncwg==,PACKET_DATA,21.47,55.93,1.482,4.612,160.0,886.0,446.0,133.0,4160.0,307.0,167.0,190.0,3371.0,4537.0,1,90,300,1
835,2025-09-15 07:14:53.441,T6ncwg==,PACKET_DATA,21.61,55.59,1.481,4.612,159.0,875.0,441.0,132.0,4134.0,306.0,167.0,188.0,3350.0,4521.0,1,90,300,1
836,2025-09-15 07:16:24.023,T6ncwg==,PACKET_DATA,21.86,55.15,1.481,4.612,160.0,888.0,447.0,133.0,4165.0,308.0,168.0,190.0,3366.0,4555.0,1,90,300,1
838,2025-09-15 07:17:54.663,T6ncwg==,PACKET_DATA,21.95,54.52,1.482,4.616,159.0,878.0,443.0,132.0,4142.0,306.0,167.0,188.0,3344.0,4534.0,1,90,300,1
840,2025-09-15 07:19:25.281,T6ncwg==,PACKET_DATA,22.07,54.33,1.482,4.618,160.0,888.0,447.0,133.0,4168.0,308.0,168.0,190.0,3362.0,4565.0,1,90,300,1
842,2025-09-15 07:20:55.927,T6ncwg==,PACKET_DATA,22.1,54.2,1.474,4.619,161.0,888.0,447.0,133.0,4170.0,308.0,168.0,190.0,3361.0,4573.0,1,90,300,1
844,2025-09-15 07:22:26.556,T6ncwg==,PACKET_DATA,22.23,53.7,1.474,4.616,161.0,889.0,448.0,133.0,4172.0,308.0,168.0,190.0,3360.0,4578.0,1,90,300,1
846,2025-09-15 07:23:57.074,T6ncwg==,PACKET_DATA,22.36,53.27,1.474,4.616,161.0,889.0,448.0,133.0,4174.0,308.0,168.0,190.0,3358.0,4585.0,1,90,300,1
848,2025-09-15 07:25:27.700,T6ncwg==,PACKET_DATA,22.6,53.02,1.474,4.619,159.0,872.0,440.0,132.0,4130.0,306.0,167.0,188.0,3328.0,4548.0,1,90,300,1
850,2025-09-15 07:26:58.333,T6ncwg==,PACKET_DATA,22.73,52.96,1.474,4.619,161.0,889.0,448.0,133.0,4175.0,308.0,169.0,190.0,3356.0,4593.0,1,90,300,1
852,2025-09-15 07:28:28.986,T6ncwg==,PACKET_DATA,22.85,52.94,1.483,4.621,161.0,889.0,448.0,133.0,4176.0,308.0,169.0,190.0,3354.0,4596.0,1,90,300,1
854,2025-09-15 07:29:59.616,T6ncwg==,PACKET_DATA,22.85,52.69,1.483,4.619,161.0,890.0,448.0,133.0,4177.0,308.0,169.0,190.0,3354.0,4599.0,1,90,300,1
856,2025-09-15 07:31:30.151,T6ncwg==,PACKET_DATA,22.9,52.42,1.483,4.614,161.0,890.0,448.0,133.0,4178.0,308.0,169.0,190.0,3353.0,4602.0,1,90,300,1
858,2025-09-15 07:33:00.836,T6ncwg==,PACKET_DATA,23.09,52.15,1.483,4.619,161.0,890.0,449.0,134.0,4179.0,309.0,169.0,190.0,3353.0,4605.0,1,90,300,1
860,2025-09-15 07:34:31.395,T6ncwg==,PACKET_DATA,23.22,51.69,1.483,4.619,161.0,889.0,449.0,133.0,4179.0,309.0,169.0,190.0,3352.0,4609.0,1,90,300,1
862,2025-09-15 07:36:02.030,T6ncwg==,PACKET_DATA,23.22,51.55,1.463,4.621,161.0,889.0,449.0,134.0,4180.0,309.0,169.0,190.0,3351.0,4611.0,1,90,300,1
864,2025-09-15 07:37:32.672,T6ncwg==,PACKET_DATA,23.28,51.71,1.462,4.613,161.0,890.0,449.0,134.0,4180.0,309.0,169.0,190.0,3351.0,4612.0,1,90,300,1
866,2025-09-15 07:39:03.272,T6ncwg==,PACKET_DATA,23.22,51.43,1.462,4.613,161.0,890.0,449.0,134.0,4180.0,309.0,169.0,190.0,3350.0,4614.0,1,90,300,1
868,2025-09-15 07:40:33.860,T6ncwg==,PACKET_DATA,23.33,51.45,1.462,4.616,161.0,890.0,449.0,134.0,4181.0,309.0,169.0,190.0,3349.0,4616.0,1,90,300,1
870,2025-09-15 07:42:04.402,T6ncwg==,PACKET_DATA,23.34,51.23,1.463,4.621,161.0,890.0,449.0,134.0,4182.0,309.0,169.0,190.0,3348.0,4618.0,1,90,300,1
872,2025-09-15 07:43:35.077,T6ncwg==,PACKET_DATA,23.46,51.22,1.462,4.618,161.0,889.0,449.0,134.0,4183.0,309.0,169.0,190.0,3347.0,4617.0,1,90,300,1
874,2025-09-15 07:45:05.640,T6ncwg==,PACKET_DATA,23.4,51.06,1.462,4.617,161.0,890.0,449.0,134.0,4180.0,309.0,169.0,190.0,3346.0,4619.0,1,90,300,1
876,2025-09-15 07:46:36.281,T6ncwg==,PACKET_DATA,23.59,51.07,1.462,4.617,160.0,877.0,444.0,133.0,4151.0,307.0,168.0,189.0,3326.0,4592.0,1,90,300,1
878,2025-09-15 07:48:06.942,T6ncwg==,PACKET_DATA,23.59,50.95,1.462,4.617,161.0,890.0,449.0,134.0,4184.0,309.0,169.0,190.0,3347.0,4622.0,1,90,300,1
880,2025-09-15 07:49:37.554,T6ncwg==,PACKET_DATA,23.72,50.83,1.467,4.618,160.0,877.0,444.0,133.0,4153.0,307.0,168.0,189.0,3332.0,4605.0,1,90,300,1
882,2025-09-15 07:51:08.075,T6ncwg==,PACKET_DATA,23.64,50.74,1.468,4.627,161.0,890.0,449.0,134.0,4184.0,309.0,169.0,190.0,3345.0,4627.0,1,90,300,1
884,2025-09-15 07:52:38.693,T6ncwg==,PACKET_DATA,23.59,50.69,1.463,4.627,161.0,890.0,449.0,134.0,4185.0,309.0,169.0,190.0,3347.0,4630.0,1,90,300,1
886,2025-09-15 07:54:09.341,T6ncwg==,PACKET_DATA,23.81,50.66,1.462,4.617,161.0,890.0,449.0,134.0,4185.0,309.0,169.0,190.0,3346.0,4631.0,1,90,300,1
888,2025-09-15 07:55:39.993,T6ncwg==,PACKET_DATA,23.78,50.51,1.463,4.621,161.0,890.0,449.0,134.0,4186.0,309.0,169.0,190.0,3346.0,4632.0,1,90,300,1
890,2025-09-15 07:57:10.602,T6ncwg==,PACKET_DATA,23.9,50.26,1.464,4.623,161.0,889.0,449.0,134.0,4184.0,309.0,169.0,190.0,3345.0,4633.0,1,90,300,1
892,2025-09-15 07:58:41.200,T6ncwg==,PACKET_DATA,23.96,50.45,1.468,4.627,161.0,889.0,449.0,134.0,4186.0,309.0,169.0,190.0,3345.0,4632.0,1,90,300,1
894,2025-09-15 08:00:11.828,T6ncwg==,PACKET_DATA,24.03,50.42,1.468,4.621,161.0,889.0,449.0,134.0,4186.0,309.0,169.0,190.0,3345.0,4635.0,1,90,300,1
896,2025-09-15 08:01:42.434,T6ncwg==,PACKET_DATA,23.96,50.32,1.463,4.621,161.0,890.0,450.0,134.0,4187.0,309.0,169.0,190.0,3345.0,4637.0,1,90,300,1
898,2025-09-15 08:03:13.038,T6ncwg==,PACKET_DATA,24.08,50.1,1.463,4.622,161.0,890.0,450.0,134.0,4187.0,309.0,169.0,190.0,3344.0,4637.0,1,90,300,1
900,2025-09-15 08:04:43.651,T6ncwg==,PACKET_DATA,23.96,50.01,1.463,4.625,161.0,889.0,449.0,134.0,4187.0,309.0,169.0,190.0,3344.0,4636.0,1,90,300,1
902,2025-09-15 08:06:14.274,T6ncwg==,PACKET_DATA,24.09,50.2,1.457,4.627,161.0,890.0,449.0,134.0,4183.0,309.0,170.0,190.0,3344.0,4639.0,1,90,300,1
904,2025-09-15 08:07:44.885,T6ncwg==,PACKET_DATA,24.22,50.59,1.457,4.627,161.0,889.0,449.0,134.0,4183.0,309.0,169.0,190.0,3340.0,4639.0,1,90,300,1
906,2025-09-15 08:09:15.486,T6ncwg==,PACKET_DATA,24.1,50.03,1.457,4.627,160.0,879.0,445.0,133.0,4161.0,308.0,169.0,189.0,3327.0,4617.0,1,90,300,1
908,2025-09-15 08:10:46.084,T6ncwg==,PACKET_DATA,24.03,50.03,1.458,4.627,161.0,889.0,450.0,134.0,4187.0,309.0,170.0,190.0,3342.0,4641.0,1,90,300,1
