PPFD,CO2,T,Pn
1900,2200,36,20.79844467
1700,2200,36,20.1727026
1500,2200,36,19.36522707
1300,2200,36,18.84446075
1100,2200,36,17.52305939
1000,2200,36,16.61159726
900,2200,36,16.01714345
800,2200,36,15.00033438
700,2200,36,13.44549918
600,2200,36,12.07752753
500,2200,36,10.6694807
400,2200,36,8.759101167
300,2200,36,6.913700666
200,2200,36,4.615194398
100,2200,36,1.507998573
50,2200,36,0.048452743
20,2200,36,-0.468786109
0,2200,36,-1.463956747
1900,1900,36,20.72144787
1700,1900,36,20.04248222
1500,1900,36,19.56527661
1300,1900,36,18.88025911
1100,1900,36,17.20545038
1000,1900,36,16.44748089
900,1900,36,16.04474771
800,1900,36,14.75975929
700,1900,36,13.76721917
600,1900,36,12.55782834
500,1900,36,10.83969357
400,1900,36,8.802708622
300,1900,36,7.123842253
200,1900,36,4.564358486
100,1900,36,1.960675001
50,1900,36,0.031959506
20,1900,36,-0.86153235
0,1900,36,-1.726420379
1900,1600,36,19.60136465
1700,1600,36,19.2297481
1500,1600,36,18.68745085
1300,1600,36,18.21326115
1100,1600,36,16.82349875
1000,1600,36,16.60396522
900,1600,36,15.54886167
800,1600,36,14.89941639
700,1600,36,13.8133734
600,1600,36,12.42308713
500,1600,36,11.02886903
400,1600,36,9.211369554
300,1600,36,7.175233008
200,1600,36,4.504252027
100,1600,36,1.800574007
50,1600,36,0.152959199
20,1600,36,-0.879912207
0,1600,36,-1.492894232
1900,1300,36,18.13725622
1700,1300,36,18.0295605
1500,1300,36,17.33829237
1300,1300,36,16.54995326
1100,1300,36,15.74841617
1000,1300,36,15.55121047
900,1300,36,14.78153454
800,1300,36,13.77565208
700,1300,36,12.84739392
600,1300,36,12.06967179
500,1300,36,10.62520601
400,1300,36,9.07272601
300,1300,36,7.050734236
200,1300,36,4.562086606
100,1300,36,1.693955369
50,1300,36,0.129439091
20,1300,36,-1.010132878
0,1300,36,-1.402247466
1900,1000,36,15.94591663
1700,1000,36,15.83019357
1500,1000,36,15.3553635
1300,1000,36,14.83480057
1100,1000,36,14.36700281
1000,1000,36,14.021325
900,1000,36,13.35435505
800,1000,36,12.74034095
700,1000,36,11.87908274
600,1000,36,10.67096534
500,1000,36,9.932717566
400,1000,36,8.51033462
300,1000,36,6.758393082
200,1000,36,4.615076406
100,1000,36,1.930522523
50,1000,36,0.177229939
20,1000,36,-0.804515678
0,1000,36,-1.466216493
1900,800,36,14.1838079
1700,800,36,13.87966483
1500,800,36,13.57159879
1300,800,36,13.19026062
1100,800,36,12.94563551
1000,800,36,12.26557524
900,800,36,11.79770981
800,800,36,11.3223256
700,800,36,10.87507501
600,800,36,10.20114148
500,800,36,9.3097661
400,800,36,7.950548719
300,800,36,6.18228062
200,800,36,4.235234527
100,800,36,1.766166283
50,800,36,0.173033935
20,800,36,-0.873985799
0,800,36,-1.485437754
1900,600,36,12.92343138
1700,600,36,12.49244743
1500,600,36,12.38680803
1300,600,36,11.77025683
1100,600,36,11.44164184
1000,600,36,11.02033836
900,600,36,10.80395738
800,600,36,10.10828604
700,600,36,9.485059815
600,600,36,8.833566723
500,600,36,8.34558265
400,600,36,7.212663122
300,600,36,5.976044873
200,600,36,4.123184998
100,600,36,1.728628616
50,600,36,0.162281812
20,600,36,-0.980070993
0,600,36,-1.69751885
1900,400,36,10.12659261
1700,400,36,10.05399337
1500,400,36,10.18020995
1300,400,36,10.10242041
1100,400,36,9.912596236
1000,400,36,9.962441291
900,400,36,9.732007498
800,400,36,9.341368926
700,400,36,8.945071144
600,400,36,8.534501201
500,400,36,8.061284717
400,400,36,7.017970308
300,400,36,5.63181783
200,400,36,3.874011188
100,400,36,1.592968993
50,400,36,0.057365068
20,400,36,-0.676652141
0,400,36,-1.855246697
1900,200,36,3.004456533
1700,200,36,3.116896508
1500,200,36,3.119388969
1300,200,36,3.056986436
1100,200,36,3.04563234
1000,200,36,3.012962139
900,200,36,2.964116219
800,200,36,2.898594585
700,200,36,2.704944444
600,200,36,2.660373968
500,200,36,2.458622775
400,200,36,2.165782812
300,200,36,1.722499073
200,200,36,1.075056249
100,200,36,0.200539822
50,200,36,-0.87749635
20,200,36,-0.859630032
0,200,36,-1.710073492
1900,0,36,-2.045557989
1700,0,36,-2.09667803
1500,0,36,-2.219732179
1300,0,36,-2.220437481
1100,0,36,-2.23792432
1000,0,36,-2.264892394
900,0,36,-2.178441387
800,0,36,-2.257126277
700,0,36,-2.2714175
600,0,36,-2.21677039
500,0,36,-2.270200707
400,0,36,-2.274517237
300,0,36,-2.232156661
200,0,36,-2.119985507
100,0,36,-2.163174982
50,0,36,-2.059004932
20,0,36,-2.006647071
0,0,36,-2.086922695
1900,2200,34,29.4211045
1700,2200,34,28.73762245
1500,2200,34,28.24319116
1300,2200,34,27.59086044
1100,2200,34,26.11180796
1000,2200,34,26.09777687
900,2200,34,25.14183309
800,2200,34,24.49587961
700,2200,34,23.50458968
600,2200,34,22.19826115
500,2200,34,20.4561505
400,2200,34,17.21695957
300,2200,34,13.36328916
200,2200,34,8.777943862
100,2200,34,3.614830667
50,2200,34,0.64720281
20,2200,34,-0.740853277
0,2200,34,-1.679160582
1900,1900,34,29.96925787
1700,1900,34,29.39220739
1500,1900,34,28.52026468
1300,1900,34,27.33307516
1100,1900,34,26.68591227
1000,1900,34,25.79155133
900,1900,34,25.20611205
800,1900,34,24.62648503
700,1900,34,23.98002667
600,1900,34,22.31773171
500,1900,34,20.11677119
400,1900,34,17.08863856
300,1900,34,13.41195101
200,1900,34,8.429273719
100,1900,34,3.627176862
50,1900,34,0.815725684
20,1900,34,-0.651964824
0,1900,34,-1.714167665
1900,1600,34,29.89700935
1700,1600,34,29.74622022
1500,1600,34,29.03642266
1300,1600,34,28.14292419
1100,1600,34,27.28076339
1000,1600,34,26.73181804
900,1600,34,25.88932804
800,1600,34,25.10306273
700,1600,34,23.90974488
600,1600,34,22.78498077
500,1600,34,20.6618367
400,1600,34,17.61001483
300,1600,34,13.49869763
200,1600,34,8.990572114
100,1600,34,3.673334605
50,1600,34,0.78385125
20,1600,34,-0.91289462
0,1600,34,-1.785022222
1900,1300,34,30.2904779
1700,1300,34,29.48359007
1500,1300,34,28.88102941
1300,1300,34,27.92087318
1100,1300,34,26.87513534
1000,1300,34,26.33777328
900,1300,34,25.80314604
800,1300,34,24.95250454
700,1300,34,24.16711055
600,1300,34,22.75777008
500,1300,34,20.53691519
400,1300,34,17.46760825
300,1300,34,13.50395397
200,1300,34,8.769184112
100,1300,34,3.491405741
50,1300,34,0.69115538
20,1300,34,-0.728112192
0,1300,34,-1.620430277
1900,1000,34,27.92699081
1700,1000,34,27.33454019
1500,1000,34,26.5138734
1300,1000,34,25.57857885
1100,1000,34,24.2748451
1000,1000,34,23.51610109
900,1000,34,22.71889098
800,1000,34,21.66083742
700,1000,34,20.2527482
600,1000,34,18.66527116
500,1000,34,16.37316049
400,1000,34,13.82029758
300,1000,34,10.88280002
200,1000,34,7.191090557
100,1000,34,2.950533536
50,1000,34,0.979877843
20,1000,34,-0.425961377
0,1000,34,-1.182146668
1900,800,34,21.26079645
1700,800,34,21.23021299
1500,800,34,21.02227101
1300,800,34,20.60213005
1100,800,34,20.07995254
1000,800,34,19.89478055
900,800,34,19.23300844
800,800,34,18.90383917
700,800,34,16.34573409
600,800,34,14.24754226
500,800,34,12.04509097
400,800,34,10.27825454
300,800,34,8.092166632
200,800,34,5.317118437
100,800,34,2.264097255
50,800,34,0.640907792
20,800,34,-0.292965753
0,800,34,-0.889445638
1900,600,34,14.45500138
1700,600,34,14.34475129
1500,600,34,14.22823374
1300,600,34,13.93527275
1100,600,34,13.75194246
1000,600,34,13.26889011
900,600,34,13.14095772
800,600,34,12.76435287
700,600,34,12.10856468
600,600,34,11.65005534
500,600,34,10.41241429
400,600,34,8.93740107
300,600,34,7.193002126
200,600,34,4.619991537
100,600,34,2.174032104
50,600,34,0.591331399
20,600,34,-0.316882427
0,600,34,-0.964090293
1900,400,34,9.948143614
1700,400,34,9.844335102
1500,400,34,9.712782763
1300,400,34,9.641987484
1100,400,34,9.571598942
1000,400,34,9.391473223
900,400,34,9.271867365
800,400,34,9.056857733
700,400,34,8.774874181
600,400,34,8.538236489
500,400,34,7.956403719
400,400,34,7.09410137
300,400,34,5.897372837
200,400,34,4.029452419
100,400,34,1.777417022
50,400,34,0.530834243
20,400,34,-0.297663118
0,400,34,-0.912291649
1900,200,34,6.901673474
1700,200,34,6.988998686
1500,200,34,7.068374402
1300,200,34,7.084250241
1100,200,34,7.06356236
1000,200,34,7.028665541
900,200,34,7.047860368
800,200,34,6.899490258
700,200,34,6.926270929
600,200,34,6.737020469
500,200,34,6.532878494
400,200,34,6.018207996
300,200,34,5.069152094
200,200,34,3.620054031
100,200,34,1.429356334
50,200,34,0.256762796
20,200,34,-0.668705581
0,200,34,-1.340285435
1900,0,34,-2.512513738
1700,0,34,-2.391545864
1500,0,34,-2.370685743
1300,0,34,-2.212296589
1100,0,34,-2.23030215
1000,0,34,-2.201229747
900,0,34,-2.138978768
800,0,34,-2.142508615
700,0,34,-2.082396714
600,0,34,-2.092027899
500,0,34,-2.06898138
400,0,34,-2.055028205
300,0,34,-1.9662426
