# Start @ 2025-10-23 09:01:15.712 - riotee_data (extracted)
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2025-10-23 09:01:15.712,L_6vSQ==,PACKET_DATA,24.24,95.27,-0.003,3.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,90
2,2025-10-23 09:02:45.747,L_6vSQ==,PACKET_DATA,24.60,94.78,-0.003,3.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,90
3,2025-10-23 09:04:15.766,L_6vSQ==,PACKET_DATA,24.97,94.24,-0.003,3.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,90
4,2025-10-23 09:05:46.313,L_6vSQ==,PACKET_DATA,25.60,93.29,1.538,3.808,242.00,928.00,512.00,188.00,5927.00,442.00,253.00,280.00,4807.00,7932.00,1,90
5,2025-10-23 09:07:16.978,L_6vSQ==,PACKET_DATA,25.84,90.67,1.545,4.707,243.00,934.00,515.00,189.00,5943.00,444.00,255.00,280.00,4791.00,7985.00,1,90
6,2025-10-23 09:08:47.525,L_6vSQ==,PACKET_DATA,26.10,90.58,1.622,4.708,244.00,936.00,518.00,190.00,5956.00,446.00,256.00,281.00,4778.00,8035.00,1,90
7,2025-10-23 09:10:18.197,L_6vSQ==,PACKET_DATA,26.53,89.82,1.538,4.708,245.00,939.00,519.00,191.00,5963.00,448.00,257.00,282.00,4767.00,8077.00,1,90
8,2025-10-23 09:11:48.773,L_6vSQ==,PACKET_DATA,26.65,87.83,1.538,4.708,245.00,940.00,520.00,191.00,5968.00,449.00,258.00,282.00,4757.00,8113.00,1,90
9,2025-10-23 09:13:19.374,L_6vSQ==,PACKET_DATA,26.97,85.41,1.538,4.712,246.00,942.00,522.00,192.00,5978.00,450.00,258.00,282.00,4748.00,8144.00,1,90
10,2025-10-23 09:14:50.043,L_6vSQ==,PACKET_DATA,27.21,82.13,1.538,4.712,247.00,944.00,523.00,192.00,5985.00,451.00,259.00,282.00,4741.00,8172.00,1,90
11,2025-10-23 09:16:20.578,L_6vSQ==,PACKET_DATA,26.94,80.08,1.527,4.714,67.00,265.00,152.00,53.00,1641.00,123.00,70.00,77.00,1326.00,2179.00,1,90
12,2025-10-23 09:17:51.229,L_6vSQ==,PACKET_DATA,26.85,78.78,1.522,4.714,68.00,277.00,159.00,54.00,1681.00,125.00,72.00,79.00,1360.00,2221.00,1,90
13,2025-10-23 09:19:21.858,L_6vSQ==,PACKET_DATA,26.72,78.05,1.029,4.714,67.00,267.00,154.00,53.00,1652.00,123.00,70.00,77.00,1344.00,2182.00,1,90
14,2025-10-23 09:22:22.985,L_6vSQ==,PACKET_DATA,26.47,76.39,1.029,4.721,69.00,278.00,159.00,54.00,1688.00,126.00,72.00,79.00,1377.00,2213.00,1,90
15,2025-10-23 09:23:53.618,L_6vSQ==,PACKET_DATA,26.47,75.33,1.024,4.720,69.00,279.00,159.00,54.00,1689.00,126.00,72.00,79.00,1380.00,2211.00,1,90
16,2025-10-23 09:25:24.175,L_6vSQ==,PACKET_DATA,26.23,75.12,1.024,4.720,69.00,279.00,159.00,54.00,1690.00,126.00,72.00,79.00,1384.00,2208.00,1,90
17,2025-10-23 09:26:54.826,L_6vSQ==,PACKET_DATA,26.21,75.05,1.007,4.720,69.00,279.00,159.00,54.00,1689.00,126.00,72.00,79.00,1385.00,2204.00,1,90
18,2025-10-23 09:28:25.392,L_6vSQ==,PACKET_DATA,26.16,74.61,1.024,4.725,68.00,273.00,156.00,53.00,1669.00,125.00,71.00,78.00,1373.00,2178.00,1,90
19,2025-10-23 09:29:56.069,L_6vSQ==,PACKET_DATA,26.10,75.83,1.024,4.727,68.00,279.00,159.00,54.00,1685.00,126.00,71.00,79.00,1385.00,2193.00,1,90
20,2025-10-23 09:31:26.658,L_6vSQ==,PACKET_DATA,26.10,74.39,1.032,4.725,112.00,427.00,244.00,88.00,2734.00,206.00,117.00,129.00,2252.00,3614.00,1,90
21,2025-10-23 09:32:57.249,L_6vSQ==,PACKET_DATA,26.11,72.20,1.032,4.723,112.00,434.00,247.00,88.00,2750.00,207.00,117.00,130.00,2260.00,3630.00,1,90
22,2025-10-23 09:34:27.814,L_6vSQ==,PACKET_DATA,26.16,71.26,1.032,4.723,111.00,424.00,243.00,87.00,2721.00,205.00,116.00,128.00,2238.00,3598.00,1,90
23,2025-10-23 09:35:58.409,L_6vSQ==,PACKET_DATA,26.22,70.03,1.191,4.723,112.00,433.00,247.00,88.00,2745.00,206.00,117.00,130.00,2254.00,3626.00,1,90
24,2025-10-23 09:37:29.028,L_6vSQ==,PACKET_DATA,26.35,69.59,1.192,4.723,112.00,433.00,247.00,88.00,2745.00,206.00,117.00,129.00,2253.00,3626.00,1,90
25,2025-10-23 09:38:59.661,L_6vSQ==,PACKET_DATA,26.29,69.03,1.198,4.723,111.00,427.00,244.00,88.00,2727.00,205.00,116.00,129.00,2239.00,3605.00,1,90
26,2025-10-23 09:40:30.313,L_6vSQ==,PACKET_DATA,26.35,69.98,1.198,4.723,112.00,433.00,247.00,88.00,2742.00,206.00,117.00,129.00,2249.00,3624.00,1,90
27,2025-10-23 09:42:00.853,L_6vSQ==,PACKET_DATA,26.49,70.07,1.198,4.723,110.00,416.00,238.00,86.00,2689.00,203.00,115.00,127.00,2210.00,3560.00,1,90
28,2025-10-23 09:43:31.446,L_6vSQ==,PACKET_DATA,26.47,70.53,1.198,4.723,112.00,433.00,247.00,88.00,2739.00,206.00,117.00,129.00,2245.00,3619.00,1,90
29,2025-10-23 09:45:02.050,L_6vSQ==,PACKET_DATA,26.41,70.31,1.229,4.723,112.00,432.00,246.00,88.00,2736.00,206.00,117.00,129.00,2243.00,3616.00,1,90
30,2025-10-23 09:46:32.712,L_6vSQ==,PACKET_DATA,26.47,70.95,1.198,4.725,59.00,239.00,137.00,46.00,1451.00,108.00,61.00,68.00,1194.00,1889.00,1,90
31,2025-10-23 09:48:03.275,L_6vSQ==,PACKET_DATA,26.16,71.42,1.191,4.722,60.00,247.00,141.00,47.00,1475.00,110.00,62.00,69.00,1212.00,1912.00,1,90
32,2025-10-23 09:49:33.871,L_6vSQ==,PACKET_DATA,26.10,71.75,0.986,4.722,60.00,247.00,141.00,47.00,1475.00,110.00,62.00,69.00,1212.00,1908.00,1,90
33,2025-10-23 09:51:04.512,L_6vSQ==,PACKET_DATA,26.10,72.31,0.986,4.722,60.00,247.00,141.00,47.00,1474.00,110.00,62.00,69.00,1213.00,1906.00,1,90
34,2025-10-23 09:52:35.157,L_6vSQ==,PACKET_DATA,25.97,72.64,0.986,4.724,60.00,247.00,141.00,47.00,1473.00,110.00,62.00,69.00,1213.00,1902.00,1,90
35,2025-10-23 09:54:05.724,L_6vSQ==,PACKET_DATA,25.84,72.47,0.996,4.723,60.00,247.00,141.00,47.00,1471.00,109.00,62.00,69.00,1212.00,1898.00,1,90
36,2025-10-23 09:57:06.888,L_6vSQ==,PACKET_DATA,25.85,72.53,0.975,4.722,58.00,236.00,135.00,46.00,1436.00,107.00,61.00,67.00,1189.00,1856.00,1,90
37,2025-10-23 10:00:08.194,L_6vSQ==,PACKET_DATA,25.54,72.58,0.988,4.726,81.00,256.00,155.00,64.00,2009.00,154.00,86.00,96.00,1716.00,2691.00,1,90
38,2025-10-23 10:01:38.716,L_6vSQ==,PACKET_DATA,25.61,72.72,0.994,4.723,84.00,332.00,190.00,66.00,2073.00,155.00,88.00,97.00,1714.00,2695.00,1,90
39,2025-10-23 10:03:09.338,L_6vSQ==,PACKET_DATA,25.60,72.16,0.994,4.723,85.00,339.00,193.00,67.00,2092.00,157.00,89.00,98.00,1730.00,2721.00,1,90
40,2025-10-23 10:04:40.009,L_6vSQ==,PACKET_DATA,25.61,71.85,0.994,4.723,85.00,339.00,193.00,67.00,2091.00,157.00,89.00,98.00,1728.00,2721.00,1,90
