# Start @ 2025-10-10 11:13:50 - riotee_data
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,spectral_gain,sleep_time
1,2025-10-10 11:14:23.061,L_6vSQ==,FIRST_SEEN,30.43,44.03,1.636,4.721,0,60
3,2025-10-10 11:15:30.471,T6ncwg==,FIRST_SEEN,30.54,45.28,1.633,4.622,1,60
5,2025-10-10 11:16:28.018,L_6vSQ==,SLEEP_CHANGE,30.47,43.89,1.612,4.721,0,5
7,2025-10-10 11:16:36.623,T6ncwg==,SLEEP_CHANGE,30.67,45.12,1.615,4.620,1,5
397,2025-10-10 11:34:56.985,L_6vSQ==,SLEEP_CHANGE,26.80,53.57,0.275,4.685,0,30
# Start @ 2025-10-10 11:39:02 - riotee_data
1,2025-10-10 11:39:02.533,T6ncwg==,FIRST_SEEN,28.83,40.14,0.659,4.330,1,5
11,2025-10-10 11:39:55.699,L_6vSQ==,FIRST_SEEN,30.12,37.48,0.899,3.719,1,5
13,2025-10-10 11:40:01.363,L_6vSQ==,VOLTAGE_CHANGE,30.06,37.30,1.565,4.177,1,5
15,2025-10-10 11:40:06.922,L_6vSQ==,VOLTAGE_CHANGE,30.06,36.90,1.567,4.559,1,5
17,2025-10-10 11:40:12.585,L_6vSQ==,VOLTAGE_CHANGE,29.98,36.90,1.642,4.690,1,5
# Start @ 2025-10-10 12:21:07 - riotee_data
1,2025-10-10 12:21:07.351,L_6vSQ==,FIRST_SEEN,29.11,36.19,1.604,4.724,0,5
2,2025-10-10 12:21:07.366,T6ncwg==,FIRST_SEEN,27.62,41.25,1.621,4.622,1,5
# Start @ 2025-10-10 12:25:26 - riotee_data
1,2025-10-10 12:25:26.626,L_6vSQ==,FIRST_SEEN,29.49,35.78,1.374,4.720,1,5
2,2025-10-10 12:25:27.381,T6ncwg==,FIRST_SEEN,29.04,37.08,1.649,4.619,1,5
49,2025-10-10 12:27:41.451,T6ncwg==,GAIN_CHANGE,29.55,36.83,0.001,4.621,0,5
50,2025-10-10 12:27:42.438,L_6vSQ==,GAIN_CHANGE,29.55,34.63,-0.002,4.588,0,5
2413,2025-10-10 15:17:52.243,T6ncwg==,GAIN_CHANGE,27.57,47.03,0.740,3.800,1,5
2545,2025-10-10 15:30:12.561,T6ncwg==,GAIN_CHANGE,27.79,36.34,0.000,3.458,0,5
2794,2025-10-10 15:51:25.059,T6ncwg==,GAIN_CHANGE,27.79,40.10,1.480,3.411,1,5
2795,2025-10-10 15:51:27.347,L_6vSQ==,GAIN_CHANGE,27.27,39.37,1.067,3.684,1,5
2797,2025-10-10 15:51:33.000,L_6vSQ==,VOLTAGE_CHANGE,27.50,39.31,1.471,3.986,1,5
2799,2025-10-10 15:51:38.550,L_6vSQ==,VOLTAGE_CHANGE,27.50,39.29,1.478,4.325,1,5
2801,2025-10-10 15:51:44.210,L_6vSQ==,VOLTAGE_CHANGE,27.25,39.44,1.476,4.650,1,5
2803,2025-10-10 15:51:49.864,L_6vSQ==,VOLTAGE_CHANGE,27.37,39.58,1.476,4.325,1,5
2805,2025-10-10 15:51:55.419,L_6vSQ==,VOLTAGE_CHANGE,27.30,39.72,1.478,4.650,1,5
2990,2025-10-10 16:00:36.278,L_6vSQ==,GAIN_CHANGE,29.38,25.74,0.231,4.634,0,5
2993,2025-10-10 16:00:45.841,T6ncwg==,GAIN_CHANGE,29.82,27.44,0.290,4.626,0,5
3062,2025-10-10 16:04:02.291,T6ncwg==,GAIN_CHANGE,27.75,28.08,0.314,4.584,1,5
3066,2025-10-10 16:04:12.973,T6ncwg==,GAIN_CHANGE,27.62,27.95,0.283,4.575,0,5
3149,2025-10-10 16:07:54.425,T6ncwg==,GAIN_CHANGE,28.18,42.00,0.308,4.539,1,5
3168,2025-10-10 16:08:55.625,T6ncwg==,GAIN_CHANGE,30.29,33.35,0.275,4.492,0,5
3226,2025-10-10 16:11:36.806,L_6vSQ==,TEMP_CHANGE,-1.00,-1.00,0.195,3.902,0,5
3237,2025-10-10 16:16:02.301,T6ncwg==,TEMP_CHANGE,29.71,36.37,1.113,3.617,1,30
3238,2025-10-10 16:16:32.856,T6ncwg==,VOLTAGE_CHANGE,30.00,36.37,1.573,3.784,1,30
3239,2025-10-10 16:17:03.508,T6ncwg==,VOLTAGE_CHANGE,30.48,36.09,1.576,3.957,1,30
3240,2025-10-10 16:17:34.114,T6ncwg==,VOLTAGE_CHANGE,30.54,35.82,1.581,4.113,1,30
3241,2025-10-10 16:17:44.541,L_6vSQ==,TEMP_CHANGE,30.67,34.72,1.135,3.699,1,5
3245,2025-10-10 16:18:04.682,T6ncwg==,VOLTAGE_CHANGE,30.72,35.75,1.576,3.957,1,30
3251,2025-10-10 16:18:35.370,T6ncwg==,VOLTAGE_CHANGE,30.74,35.59,1.576,4.113,1,30
3257,2025-10-10 16:19:05.914,T6ncwg==,VOLTAGE_CHANGE,31.01,35.07,1.576,4.253,1,30
3262,2025-10-10 16:19:36.521,T6ncwg==,VOLTAGE_CHANGE,31.10,34.83,1.573,4.394,1,30
3282,2025-10-10 16:21:08.402,T6ncwg==,VOLTAGE_CHANGE,31.54,33.71,1.571,4.618,1,30
3463,2025-10-10 16:35:31.087,T6ncwg==,SLEEP_CHANGE,32.69,33.70,1.261,4.627,1,5
# Start @ 2025-10-10 16:35:59 - riotee_data
1,2025-10-10 16:35:59.872,L_6vSQ==,FIRST_SEEN,32.85,30.94,1.212,4.728,1,5
