label,t_min,co2_ppm,t_air,rh,uBoil,uCO2,uLamp,uVent,lamp_kwh_step,heat_kwh_step,Pn_gross_ch2o,Pn_net_co2,resp_growth,resp_maint,parCan,fruit_growth_dm,profit,elec_cost,heat_cost,lamp_kwh_cum,heat_kwh_cum,energy_kwh_cum,Pn_cum_co2_mg_m2
default RB,15.0,440.445556640625,16.852994918823242,71.40548706054688,9.999999999999843e-44,9.999999999999992e-21,0.0,0.9994379747248477,0.0,3.249999999999949e-45,-5.986075011146693e-16,-0.1656606395564852,2.661903881608278e-07,0.11295016795824583,0.0,-8.579577832242649,-0.00021118960817828058,0.0,2.910146585786564e-46,0.0,3.249999999999949e-45,3.249999999999949e-45,-149.09457560083666
default RB,30.0,448.866943359375,15.078243255615234,84.29145050048828,0.000387126182965869,2.41088497970137e-20,0.0,2.2542118367176525e-07,0.0,1.2581600946390744e-05,-6.129721112556059e-16,-0.16381543035450172,3.2696456254796477e-07,0.11169201002220441,0.0,-8.496988920727745,-0.00021028899441072452,0.0,1.1323440543492324e-06,0.0,1.2581600946390744e-05,1.2581600946390744e-05,-296.52846291988817
default RB,45.0,459.6968994140625,14.804214477539062,86.45669555664062,0.9997944666390061,1.1099971398307176e-20,0.0,0.0027039062167657168,0.0,0.0324933201657677,-6.201080118372116e-16,-0.1619070450714598,4.078042465749499e-07,0.11039075742066111,0.0,-8.40072966714797,-0.0031311860551223015,0.0,0.002924398863315582,0.0,0.032505901766714085,0.032505901766714085,-442.244803484202
default RB,60.0,461.4769287109375,14.585724830627441,84.0638427734375,0.9999835240509317,4.093780067575346e-21,0.0,0.12765744596920756,0.0,0.03249946453165528,-6.224201012765426e-16,-0.16001497669660508,5.08725090989113e-07,0.10910060990244208,0.0,-8.3039200558851,-0.0031293560671612907,0.0,0.002924951881170273,0.0,0.06500536629836937,0.06500536629836937,-586.2582825111466
default RB,75.0,471.455810546875,15.448310852050781,82.20914459228516,0.9999977975894189,3.47474045171158e-21,0.0,0.001779526473323126,0.0,0.03249992842165611,-6.238267615749479e-16,-0.15819191863256418,6.371863343051332e-07,0.10785748732767321,0.0,-8.208669333114813,-0.0031270531021024527,0.0,0.002924993549287319,0.0,0.09750529472002548,0.09750529472002548,-728.6310092804544
default RB,90.0,483.1002502441406,16.140785217285156,81.41622161865234,0.993826187716286,1.3860053948131595e-21,0.0,5.851786470196879e-05,0.0,0.03229935110077929,-6.264684604183057e-16,-0.15648426397803009,7.859990721662771e-07,0.106693028542923,0.0,-8.118671474097937,-0.0031067858866098913,0.0,0.002906941665709019,0.0,0.12980464582080475,0.12980464582080475,-869.4668468606815
default RB,105.0,493.5491638183594,16.21971893310547,82.86474609375,0.21472546639255755,4.742300022037305e-22,0.0,1.3582174898626367e-05,0.0,0.006978577657758119,-6.310051520378477e-16,-0.15485626794569332,9.592469464000807e-07,0.10558285801906941,0.0,-8.033798855649366,-0.0008258270326580924,0.0,0.0006280719839036465,0.0,0.13678322347856287,0.13678322347856287,-1008.8374880118055
default RB,120.0,502.71307373046875,15.826066970825195,85.1717758178711,0.11673875064973602,1.8114712714558735e-22,0.0,0.00019575401779867602,0.0,0.0037940093961164206,-6.36834955328186e-16,-0.15324477640435194,1.168654780206974e-06,0.10448390439710803,0.0,-7.951210629638808,-0.000537182956033637,0.0,0.0003414608482271433,0.0,0.1405772328746793,0.1405772328746793,-1146.7577867757223
default RB,135.0,506.375244140625,15.620861053466797,84.7629165649414,0.8322953757487145,7.788914807048915e-23,0.0,0.013536379176259961,0.0,0.02704959971183322,-6.394896573767753e-16,-0.1516317884521535,1.4276048468750194e-06,0.10338388095280125,0.0,-7.868623430498701,-0.002628153114814777,0.0,0.002434463922679424,0.0,0.1676268325865125,0.1676268325865125,-1283.2263963826604
default RB,150.0,511.8038330078125,15.960955619812012,82.92607879638672,0.9704592664864796,5.558897861014074e-23,0.0,0.006420041708747304,0.0,0.03153992616081058,-6.406215504397617e-16,-0.1500578756660593,1.7433898849150241e-06,0.10231044283177941,0.0,-7.786688273103209,-0.003030265727737345,0.0,0.0028385934010148046,0.0,0.1991667587473231,0.1991667587473231,-1418.2784844821138
