label,t_min,co2_ppm,t_air,rh,uBoil,uCO2,uLamp,uVent,lamp_kwh_step,heat_kwh_step,Pn_gross_ch2o,Pn_net_co2,resp_growth,resp_maint,parCan,fruit_growth_dm,profit,elec_cost,heat_cost,lamp_kwh_cum,heat_kwh_cum,energy_kwh_cum,Pn_cum_co2_mg_m2
eco RB,15.0,646.3087768554688,18.926063537597656,91.03584289550781,9.999999999999763e-61,9.999999999999696e-35,0.0,0.9999999683772244,0.0,3.2499999999999233e-62,-4.496990471653207e-16,-0.20742341968743894,3.226768585563903e-09,0.1414250532562602,0.0,-10.746612241513503,-0.00026453199363725546,0.0,0.0,0.0,3.2499999999999233e-62,3.2499999999999233e-62,-186.68107771869504
eco RB,30.0,608.4390869140625,16.669713973999023,91.05553436279297,1.975826170653465e-16,1.4049003757197283e-28,0.0,0.06314774211924276,0.0,6.421435054623762e-18,-4.481920415881117e-16,-0.20493115964577255,4.052609862584084e-09,0.1397257842489658,0.0,-10.636157901368279,-0.00026181311757214284,0.0,5.779291373086208e-19,0.0,6.421435054623762e-18,6.421435054623762e-18,-371.11912139989033
eco RB,45.0,582.963134765625,15.278958320617676,90.09904479980469,2.0947903287056715e-07,4.596593087538627e-27,0.0,0.06532610013941503,0.0,6.808068568293433e-09,-6.697459570050484e-16,-0.2022358618659924,5.1900286058426005e-09,0.13788808011099665,0.0,-10.50396074236778,-0.0002585596463844352,0.0,6.127261514166094e-10,0.0,6.808068574714868e-09,6.808068574714868e-09,-553.1313970792835
eco RB,60.0,578.8549194335938,14.720017433166504,89.64795684814453,0.07114042484493345,4.80257814970849e-26,0.0,0.011858680283511246,0.0,0.0023120638074603374,-6.710413501043893e-16,-0.19946314042912966,6.722447053562326e-09,0.13599758672182008,0.0,-10.364477567425638,-0.0004632113401547003,0.0,0.00020808573849499226,0.0,0.002312070615528912,0.002312070615528912,-732.6482234655002
eco RB,75.0,582.9550170898438,14.721863746643066,87.97199249267578,0.9294802379919291,7.011399787075334e-26,0.0,0.005201149343739729,0.0,0.0302081077347377,-6.728441777037259e-16,-0.19670519242467058,8.763318618525854e-09,0.13411716561884054,0.0,-10.223504868481541,-0.0029703852493065193,0.0,0.0027187297448515893,0.0,0.03252017835026661,0.03252017835026661,-909.6828966477037
eco RB,90.0,592.4917602539062,15.097355842590332,85.88384246826172,0.9283576614010853,4.80618419289095e-26,0.0,0.000238507693730508,0.0,0.030171623995535274,-6.749456328075176e-16,-0.19403167210458624,1.1410093728524654e-08,0.13229430823923824,0.0,-10.085135514229478,-0.002963695647334501,0.0,0.0027154461577534677,0.0,0.06269180234580188,0.06269180234580188,-1084.3114015418314
eco RB,105.0,602.6290893554688,15.176095962524414,85.86743927001953,0.2897329884294277,1.996774153509982e-26,0.0,5.094199928050449e-06,0.0,0.0094163221239564,-6.781443739163663e-16,-0.1914503661234526,1.4740423509623859e-08,0.1305343235879375,0.0,-9.95158223087492,-0.0010924310276431677,0.0,0.0008474690034985543,0.0,0.07210812446975828,0.07210812446975828,-1256.6167310529388
eco RB,120.0,611.7644653320312,14.93476676940918,86.90167236328125,0.16494268194881626,7.849341115366966e-27,0.0,4.9425428465679274e-06,0.0,0.005360637163336529,-6.820947500305433e-16,-0.18891593747420685,1.8973954546213015e-08,0.1288062998500906,0.0,-9.821540761906363,-0.0007242183476039925,0.0,0.0004824573442339897,0.0,0.07746876163309481,0.07746876163309481,-1426.641074779725
eco RB,135.0,620.7635498046875,14.868027687072754,86.53842163085938,0.6458448453041952,3.383925927246309e-27,0.0,3.321397822177999e-05,0.0,0.020989957472386345,-6.853415192063725e-16,-0.18641586249656272,2.444960576171414e-08,0.1271016978276371,0.0,-9.693275470250228,-0.0021276997940806457,0.0,0.0018890960901975632,0.0,0.09845871910548115,0.09845871910548115,-1594.4153510266315
eco RB,150.0,629.93994140625,15.089962005615234,85.30181884765625,0.7712723662987775,1.477258702794626e-27,0.0,1.701085908723962e-05,0.0,0.025066351904710266,-6.874979004623111e-16,-0.1839813391855697,3.147758436362119e-08,0.12544178857027063,0.0,-9.567467201552063,-0.0024914785417009936,0.0,0.002255971656739712,0.0,0.12352507101019142,0.12352507101019142,-1759.9985562936442
eco RB,165.0,638.3361206054688,15.133954048156738,85.48406982421875,0.30394461466501577,6.344522648639589e-28,0.0,1.7435880459644417e-06,0.0,0.009878199976613012,-6.899097481769788e-16,-0.18162153372500597,4.028795878281572e-08,0.12383282151857473,0.0,-9.445417125192762,-0.001121540581605648,0.0,0.0008890380062162877,0.0,0.13340327098680443,0.13340327098680443,-1923.4579366461496
eco RB,180.0,645.8671875,14.959309577941895,86.46495056152344,0.2255232436946394,2.927879089435761e-28,0.0,2.4392831971253977e-06,0.0,0.0073295054200757815,-6.92776099983805e-16,-0.17930707377024419,5.13938589550364e-08,0.12225476956114906,0.0,-9.326408729612012,-0.0008892286392806383,0.0,0.000659655501320958,0.0,0.14073277640688023,0.14073277640688023,-2084.8343030393694
eco RB,195.0,653.3358764648438,14.944389343261719,86.34806823730469,0.5926122063264716,1.4632286896802072e-28,0.0,1.48578320299722e-05,0.0,0.019259896705610326,-6.950593050771278e-16,-0.17703151195559658,6.55727228407534e-08,0.12070323598947935,0.0,-9.20933718359447,-0.0019600820821143975,0.0,0.0017333907052874565,0.0,0.15999267311249055,0.15999267311249055,-2244.1626637994063
eco RB,210.0,660.8931274414062,15.07475471496582,85.71636962890625,0.6253206552309034,7.354661376126613e-29,0.0,1.197972674273702e-05,0.0,0.02032292129500436,-6.968167687217278e-16,-0.1748145089416685,8.349234074923315e-08,0.1191916251314156,0.0,-9.094636621666723,-0.0020529309468719963,0.0,0.0018290629684925078,0.0,0.1803155944074949,0.1803155944074949,-2401.495721846908
eco RB,225.0,668.0198974609375,15.069726943969727,85.93215942382812,0.3482289312364452,4.4667761363229166e-29,0.0,3.74191935791213e-06,0.0,0.011317440265184468,-6.9884501257932215e-16,-0.17265619246601685,1.05832705915925e-07,0.11772002340075186,0.0,-8.98305409339082,-0.001239690955953601,0.0,0.0010185696244239808,0.0,0.19163303467267936,0.19163303467267936,-2556.8862950663233
eco RB,240.0,675.6697387695312,15.345017433166504,84.69215393066406,0.997318652540455,2.4960238738716005e-20,0.0,5.5683458643991686e-06,0.0,0.03241285620756479,-7.000551778442127e-16,-0.1705535485356186,1.3397679345440353e-07,0.11628637441930482,0.0,-8.874249122054607,-0.003135600034753756,0.0,0.0029171569794416425,0.0,0.22404589088024415,0.22404589088024415,-2710.38448874838
eco RB,255.0,683.8045654296875,15.88174819946289,82.93050384521484,0.9999375923856976,6.991662841944368e-12,0.0,5.671746725448691e-07,0.0,0.032497971752535174,2.9451618487190092e-05,-0.1684986421556781,1.685249792250244e-07,0.1149147189815539,0.013302892338665816,-8.769147872066242,-0.0031406734098950225,0.0,0.0029248174622654916,0.0,0.25654386263277934,0.25654386263277934,-2862.0332666884906
eco RB,270.0,691.5526123046875,16.24711036682129,84.4830093383789,0.9999839021155736,0.0018693811315368695,0.0,2.2100466755024432e-08,0.0,0.032499476818756146,0.0024386901745962167,-0.16302614949479124,2.1264088492661485e-07,0.1135926684888797,1.0999849977738039,-8.668501724176167,-0.0031408550957944957,0.0,0.0029249529272317885,0.0,0.2890433394515355,0.2890433394515355,-3008.756801233803
