KEY,PPFD,R_PWM,B_PWM,R_POWER,B_POWER,R_VOLTAGE,B_VOLTAGE,R_CURRENT,B_CURRENT,R_ON,B_ON,R_TEMP_C,B_TEMP_C,R_ERROR,B_ERROR
5:1,648.464,91.0,30.0,63.8,11.2,246.7,248.6,0.27,0.108,True,True,60.7,61.8,,
5:1,598.301,84.0,27.0,58.8,10.3,246.8,248.5,0.25,0.101,True,True,60.8,61.6,,
5:1,550.628,77.0,25.0,53.9,9.7,246.7,248.6,0.232,0.095,True,True,60.8,61.8,,
5:1,500.332,69.0,22.0,48.3,8.6,246.9,248.6,0.208,0.08,True,True,60.9,61.8,,
5:1,449.422,62.0,19.0,43.5,7.6,246.8,248.5,0.189,0.073,True,True,60.9,61.8,,
5:1,399.29,54.0,17.0,38.0,6.9,246.9,248.7,0.171,0.074,True,True,60.9,61.9,,
5:1,348.336,47.0,14.0,33.1,5.9,247.1,249.0,0.15,0.062,True,True,60.9,62.3,,
5:1,300.051,40.0,12.0,28.4,5.2,247.3,249.2,0.133,0.058,True,True,61.0,62.4,,
5:1,250.211,34.0,10.0,24.2,4.5,247.1,248.8,0.119,0.054,True,True,61.4,61.9,,
5:1,198.763,27.0,7.0,19.6,3.6,246.9,248.8,0.103,0.048,True,True,61.0,62.4,,
5:1,148.938,20.0,5.0,15.2,2.9,247.2,249.0,0.088,0.044,True,True,61.0,62.4,,
7:1,599.686,87.0,19.0,61.0,7.6,247.2,248.9,0.256,0.073,True,True,61.4,62.4,,
7:1,500.963,73.0,15.0,51.2,6.2,246.9,248.9,0.219,0.064,True,True,61.6,61.8,,
7:1,399.929,58.0,12.0,40.7,5.2,246.8,248.6,0.179,0.058,True,True,61.4,62.5,,
7:1,298.867,42.0,8.0,29.7,3.9,247.0,249.0,0.138,0.05,True,True,61.4,62.4,,
7:1,197.939,28.0,5.0,20.3,2.9,247.3,249.1,0.105,0.044,True,True,61.5,62.5,,
R:1,500.143,83.0,0.0,58.1,0.0,247.2,249.1,0.245,0.0,True,False,61.4,62.5,,
R:1,399.302,66.0,0.0,46.1,0.0,247.1,248.9,0.2,0.0,True,False,61.4,62.3,,
R:1,300.649,49.0,0.0,34.5,0.0,247.2,249.0,0.155,0.0,True,False,61.4,62.4,,
R:1,200.136,33.0,0.0,23.6,0.0,247.5,249.5,0.116,0.0,True,False,62.2,62.5,,
R:1,98.767,16.0,0.0,12.7,0.0,247.5,249.3,0.078,0.0,True,False,61.6,62.5,,
R:1,50.653,8.0,0.0,7.2,0.0,247.4,249.1,0.059,0.0,True,False,62.0,62.3,,
1:1,997.771,83.0,100.0,58.1,34.7,247.1,248.8,0.246,0.156,True,True,62.1,62.3,,
1:1,801.77,66.0,78.0,46.2,28.1,247.0,248.7,0.2,0.132,True,True,61.6,62.5,,
1:1,601.427,49.0,56.0,34.5,20.1,246.9,248.7,0.156,0.166,True,True,61.9,62.7,,
1:1,501.369,40.0,46.0,28.4,16.8,246.9,248.7,0.133,0.14,True,True,62.0,62.7,,
1:1,401.787,33.0,37.0,23.6,13.8,247.1,248.8,0.116,0.117,True,True,62.1,62.7,,
1:1,298.019,24.0,26.0,17.7,10.1,247.3,249.1,0.096,0.09,True,True,62.1,62.5,,
1:1,200.532,16.0,17.0,12.7,7.1,247.1,248.9,0.078,0.07,True,True,62.0,62.9,,
1:1,102.205,8.0,7.0,7.2,3.8,247.5,249.3,0.059,0.049,True,True,62.3,63.0,,
3:1,600.465,76.0,42.0,53.3,15.4,247.0,248.8,0.227,0.129,True,True,62.2,63.0,,
3:1,497.963,61.0,34.0,42.8,12.7,247.1,248.8,0.187,0.11,True,True,62.3,63.0,,
3:1,401.843,49.0,27.0,34.5,10.3,247.0,248.9,0.156,0.092,True,True,62.2,63.0,,
3:1,300.785,37.0,19.0,26.3,7.7,246.9,248.8,0.126,0.074,True,True,62.3,63.1,,
3:1,202.941,25.0,12.0,18.3,5.4,246.7,248.6,0.098,0.059,True,True,62.3,63.1,,
3:1,99.706,12.0,5.0,10.1,2.9,247.2,248.9,0.069,0.044,True,True,62.3,63.1,,
