ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason,x_cm,y_cm,z_cm
65123_grid9_p5_C_x0_y0_v2__govee-02,5.0,4.0,5.0,5.0,142.0,16.0,4.0,31.0,,,,10.128738403320312,2,30,0,inf,10.1287384033,0.0,3,2026-04-27 16:58:29.883,2026-04-27 16:59:29.901,T6ncwg==,COMPACT,28.3433333333,45.0733333333,0.3303333333,4.4356666667,-1,229.3333333333,31.0,1.0,30,212.0,20.9305435246,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-03,9.0,8.0,9.0,10.0,257.0,29.0,7.0,56.0,,,,18.524271647135414,3,50,0,inf,18.5242716471,0.0,3,2026-04-27 17:01:29.849,2026-04-27 17:02:29.790,T6ncwg==,COMPACT,28.1366666667,45.0266666667,0.439,4.4146666667,-1,414.3333333333,57.0,1.0,30,385.0,20.7835431986,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-04,13.5,12.0,13.0,14.0,364.75,41.75,11.0,78.5,,,,26.392066955566406,4,70,0,inf,26.3920669556,0.0,4,2026-04-27 17:03:59.735,2026-04-27 17:05:29.717,T6ncwg==,COMPACT,27.9875,45.0175,0.51075,4.39775,-1,588.75,82.0,1.0,30,548.5,20.7827602485,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-05,17.3333333333,15.0,17.0,18.0,471.3333333333,54.0,14.0,99.0,,,,33.820000966389976,5,90,0,inf,33.8200009664,0.0,3,2026-04-27 17:06:59.714,2026-04-27 17:07:59.726,T6ncwg==,COMPACT,27.8933333333,45.1666666667,0.5593333333,4.3973333333,-1,759.3333333333,108.3333333333,1.0,30,705.6666666666,20.8653650651,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-07,4.25,7.0,10.0,5.0,117.5,13.0,3.25,25.25,,,,8.463081359863281,7,24,6,4.0,6.7704650879,1.692616272,4,2026-04-27 17:12:59.614,2026-04-27 17:14:29.606,T6ncwg==,COMPACT,27.4575,45.1925,0.3055,4.37875,-1,180.0,23.25,1.0,30,185.25,21.8891904878,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-08,8.0,15.0,23.0,10.0,219.0,24.0,6.0,47.0,,,,15.886755307515465,8,40,10,4.0,12.709404246,3.1773510615,3,2026-04-27 17:15:59.549,2026-04-27 17:16:59.561,T6ncwg==,COMPACT,27.4133333333,45.3266666667,0.4213333333,4.3676666667,-1,330.0,44.0,1.0,30,352.0,22.1568214016,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-09,11.0,24.0,36.0,14.0,319.3333333333,34.0,9.3333333333,66.3333333333,,,,23.27965418497721,9,56,14,4.0,18.623723348,4.655930837,3,2026-04-27 17:18:59.475,2026-04-27 17:19:59.527,T6ncwg==,COMPACT,27.21,45.4033333333,0.4943333333,4.3506666667,-1,476.6666666667,64.0,1.0,30,513.9999999999,22.0793657808,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-10,15.0,36.25,57.0,20.0,423.75,45.0,13.0,84.75,,,,31.181125005086265,10,72,18,4.0,24.9449000041,6.236225001,4,2026-04-27 17:21:29.494,2026-04-27 17:22:59.419,T6ncwg==,COMPACT,27.035,45.56,0.547,4.34675,-1,617.25,86.0,1.0,30,694.75,22.2811075574,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-12,3.0,14.0,23.0,5.0,98.0,9.0,3.0,19.0,,,,7.316226323445638,12,18,12,1.5,4.3897357941,2.9264905294,4,2026-04-27 17:26:59.385,2026-04-27 17:28:29.332,T6ncwg==,COMPACT,26.88,45.755,0.284,4.325,-1,126.75,17.0,1.0,30,174.0,23.7827525158,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-13,7.3333333333,35.0,59.0,12.0,199.0,18.0,6.0,35.0,,,,15.123361905415852,13,30,20,1.5,9.0740171432,6.0493447622,3,2026-04-27 17:29:59.274,2026-04-27 17:30:59.232,T6ncwg==,COMPACT,26.7733333333,45.8933333333,0.4136666667,4.305,-1,239.0,33.0,1.0,30,371.3333333333,24.5536234374,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-14,10.0,57.0,97.75,19.0,303.5,27.25,10.0,51.75,,,,23.324305216471355,14,42,28,1.5,13.9945831299,9.3297220866,4,2026-04-27 17:32:29.272,2026-04-27 17:33:59.222,T6ncwg==,COMPACT,26.62,46.0075,0.49725,4.30325,-1,352.0,50.0,1.0,30,576.25,24.7059877948,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-15,14.0,80.3333333333,138.6666666667,26.0,407.0,36.0,14.0,66.6666666667,,,,31.611714045206707,15,54,36,1.5,18.9670284271,12.6446856181,3,2026-04-27 17:35:29.162,2026-04-27 17:36:29.139,T6ncwg==,COMPACT,26.5266666667,46.1033333333,0.551,4.302,-1,461.0,67.0,1.0,30,782.6666666667,24.7587544778,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-17,3.3333333333,12.0,19.0,5.0,106.0,11.0,3.0,21.3333333333,,,,7.817965984344482,17,20,10,2.0,5.2119773229,2.6059886614,3,2026-04-27 17:40:59.080,2026-04-27 17:41:59.070,T6ncwg==,COMPACT,26.42,46.2766666667,0.2996666667,4.2916666667,-1,146.0,19.0,1.0,30,180.6666666666,23.1091650985,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-18,7.0,27.0,44.0,11.0,203.0,20.0,6.0,40.0,,,,15.162212689717611,18,33,17,1.941176,10.0070603752,5.1551523145,3,2026-04-27 17:43:58.962,2026-04-27 17:44:58.924,T6ncwg==,COMPACT,26.26,46.4633333333,0.4203333333,4.271,-1,269.3333333333,36.0,1.0,30,358.0,23.6113295154,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-19,11.0,46.25,77.0,17.0,313.0,30.0,10.0,58.25,,,,23.6220162709554,19,47,23,2.043478,15.8604966391,7.7615196319,4,2026-04-27 17:46:28.942,2026-04-27 17:47:58.951,T6ncwg==,COMPACT,26.2575,46.5875,0.5015,4.27025,-1,400.0,55.0,1.0,30,562.5,23.8125312229,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-20,14.0,65.0,110.0,24.0,412.3333333333,39.0,13.0,73.6666666667,,,,31.369805653889973,20,60,30,2.0,20.9132037693,10.4566018846,3,2026-04-27 17:49:28.850,2026-04-27 17:50:28.896,T6ncwg==,COMPACT,26.1133333333,46.7166666667,0.5523333333,4.2656666667,-1,515.3333333333,73.0,1.0,30,751.0,23.9402184472,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-22,3.0,18.0,31.0,5.0,88.3333333333,7.3333333333,3.0,15.0,,,,6.865358193715413,22,15,15,1.0,3.4326790969,3.4326790969,3,2026-04-27 17:54:58.739,2026-04-27 17:55:58.777,T6ncwg==,COMPACT,26.02,46.8933333333,0.2763333333,4.2486666667,-1,98.0,13.0,1.0,30,170.6666666666,24.8591059419,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-23,6.0,48.0,83.0,14.0,197.0,16.0,7.0,30.0,,,,15.556920051574709,23,25,25,1.0,7.7784600258,7.7784600258,4,2026-04-27 17:57:28.710,2026-04-27 17:58:58.646,T6ncwg==,COMPACT,25.9575,46.9625,0.42275,4.23675,-1,197.0,28.0,1.0,30,401.0,25.7763103925,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-24,10.0,75.0,130.0,21.0,296.6666666667,24.0,10.0,44.0,,,,23.683690388997395,24,35,35,1.0,11.8418451945,11.8418451945,3,2026-04-27 18:00:28.718,2026-04-27 18:01:28.713,T6ncwg==,COMPACT,25.87,47.06,0.4996666667,4.225,-1,288.6666666667,43.0,1.0,30,610.6666666667,25.7842699612,keep,,0.0,0.0,10.0
65123_grid9_p5_C_x0_y0_v2__govee-25,13.0,102.6666666667,179.6666666667,29.0,398.6666666667,32.0,14.0,57.3333333333,,,,31.98288853963216,25,45,45,1.0,15.9914442698,15.9914442698,3,2026-04-27 18:03:28.612,2026-04-27 18:04:28.599,T6ncwg==,COMPACT,25.8166666667,47.26,0.5533333333,4.2276666667,-1,381.0,58.0,1.0,30,826.3333333334,25.8367324236,keep,,0.0,0.0,10.0
