ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,6,6,6,7,182,21,5,41.25,,,,5.599951267242432,2,30,0,inf,5.5999512672,0,4,2026-04-26 21:21:23.032,2026-04-26 21:22:52.992,T6ncwg==,COMPACT,27.4825,44.6075,0.35375,4.5365,-1,291.25,37,1,30,274.25,48.973640468,keep,
govee-03,12,10,11,12,326,37,9,73.3333333333,,,,10.049929936726889,3,50,0,inf,10.0499299367,0,3,2026-04-26 21:24:23.056,2026-04-26 21:25:22.974,T6ncwg==,COMPACT,27.42,44.6666666667,0.459,4.5153333333,-1,522,68,1,30,490.3333333333,48.7897265374,keep,
govee-04,17,15,16,17,461,52.5,13,101.5,,,,14.224438031514486,4,70,0,inf,14.2244380315,0,4,2026-04-26 21:26:52.924,2026-04-26 21:28:22.946,T6ncwg==,COMPACT,27.2725,44.825,0.53425,4.51225,-1,738,98.5,1,30,693,48.7189721284,keep,
govee-05,22,19,21,22.3333333333,593.3333333333,67.6666666667,17,127,,,,18.30457814534505,5,90,0,inf,18.3045781453,0,3,2026-04-26 21:29:52.929,2026-04-26 21:30:52.844,T6ncwg==,COMPACT,27.23,44.9766666667,0.5796666667,4.5003333333,-1,948.6666666667,130.6666666667,1,30,889.3333333333,48.5852952344,keep,
govee-07,5,9,13,6,147,16,4,32,,,,4.509872913360596,7,24,6,4.000000,3.6078983307,0.9019745827,3,2026-04-26 21:35:22.774,2026-04-26 21:36:22.780,T6ncwg==,COMPACT,27.06,45.15,0.3193333333,4.4943333333,-1,223,28.6666666667,1,30,232,51.4426912813,keep,
govee-08,9.3333333333,19,28,12,273.3333333333,29,8,58,,,,8.426685015360514,8,40,10,4.000000,6.7413480123,1.6853370031,3,2026-04-26 21:38:22.676,2026-04-26 21:39:22.733,T6ncwg==,COMPACT,27.05,45.2966666667,0.4353333333,4.4783333333,-1,408,53,1,30,436.6666666666,51.8195074185,keep,
govee-09,14,30,45,18,397,42.75,12,82.5,,,,12.280930519104004,9,56,14,4.000000,9.8247444153,2.4561861038,4,2026-04-26 21:40:52.643,2026-04-26 21:42:22.689,T6ncwg==,COMPACT,26.9675,45.3975,0.50875,4.4685,-1,587,78.75,1,30,641.25,52.2150987665,keep,
govee-10,19,45.3333333333,71,24,526.3333333333,55.6666666667,16,104.3333333333,,,,16.3640562693278,10,72,18,4.000000,13.0912450155,3.2728112539,3,2026-04-26 21:43:52.657,2026-04-26 21:44:52.569,T6ncwg==,COMPACT,26.9,45.52,0.5586666667,4.4623333333,-1,758.3333333333,105.3333333333,1,30,861.6666666666,52.6560562054,keep,
govee-12,4,17.6666666667,29,6,122,11.6666666667,4,23,,,,3.8630785942077637,12,18,12,1.500000,2.3178471565,1.5452314377,3,2026-04-26 21:49:22.501,2026-04-26 21:50:22.533,T6ncwg==,COMPACT,26.7866666667,45.6933333333,0.309,4.4503333333,-1,155.3333333333,20.3333333333,1,30,217.3333333334,56.2591021729,keep,
govee-13,8,44,73,15,247,23,8,43,,,,7.963308652242024,13,30,20,1.500000,4.7779851913,3.1853234609,4,2026-04-26 21:51:52.452,2026-04-26 21:53:22.449,T6ncwg==,COMPACT,26.78,45.7925,0.42225,4.42975,-1,293,40,1,30,461,57.8905101048,keep,
govee-14,13,71.6666666667,121,23,376,34,12,63,,,,12.20256233215332,14,42,28,1.500000,7.3215373993,4.8810249329,3,2026-04-26 21:54:52.463,2026-04-26 21:55:52.426,T6ncwg==,COMPACT,26.7366666667,45.8933333333,0.507,4.418,-1,430.6666666667,61,1,30,713.6666666667,58.4849843206,keep,
govee-15,17,100.5,171.75,32,504.75,45,17,81.5,,,,16.446473439534504,15,54,36,1.500000,9.8678840637,6.5785893758,4,2026-04-26 21:57:22.313,2026-04-26 21:58:52.347,T6ncwg==,COMPACT,26.7475,46.015,0.566,4.41525,-1,563.75,82.75,1,30,969.5,58.9488076921,keep,
govee-17,4.3333333333,15,23.3333333333,6,130.6666666667,13,4,26,,,,4.083191553751628,17,20,10,2.000000,2.7221277025,1.3610638513,3,2026-04-26 22:03:22.277,2026-04-26 22:04:22.257,T6ncwg==,COMPACT,26.6233333333,46.0833333333,0.3043333333,4.403,-1,178.6666666667,23,1,30,222.3333333333,54.4508702094,keep,
govee-18,8,33.5,55,13,251,25,8.25,48,,,,7.943384170532227,18,33,17,1.941176,5.2426335526,2.700750618,4,2026-04-26 22:05:52.147,2026-04-26 22:07:22.162,T6ncwg==,COMPACT,26.5225,46.125,0.42575,4.38875,-1,329.25,44,1,30,441.75,55.6123171832,keep,
govee-19,13,58,96,21,386.6666666667,37,12,70.6666666667,,,,12.322251001993815,19,47,23,2.043478,8.2735113871,4.0487396149,3,2026-04-26 22:08:52.181,2026-04-26 22:09:52.084,T6ncwg==,COMPACT,26.6233333333,46.2066666667,0.5106666667,4.3806666667,-1,488.3333333333,67,1,30,694.3333333334,56.3479297103,keep,
govee-20,17,81,136,29,509.3333333333,48,16,89,,,,16.33973566691081,20,60,30,2.000000,10.8931571113,5.4465785556,3,2026-04-26 22:11:52.044,2026-04-26 22:12:52.009,T6ncwg==,COMPACT,26.6566666667,46.2433333333,0.5613333333,4.3806666667,-1,628,90,1,30,925.3333333333,56.630863081,keep,
govee-22,3,23,39,7,109,9,3,18,,,,3.5729982058207193,22,15,15,1.000000,1.7864991029,1.7864991029,3,2026-04-26 22:17:21.917,2026-04-26 22:18:21.901,T6ncwg==,COMPACT,26.47,46.3666666667,0.2826666667,4.365,-1,119,16,1,30,211,59.0540458868,keep,
govee-23,8,60,102,17,243,20,8,37,,,,8.11972173055013,23,25,25,1.000000,4.0598608653,4.0598608653,3,2026-04-26 22:20:21.855,2026-04-26 22:21:21.832,T6ncwg==,COMPACT,26.5333333333,46.49,0.4253333333,4.3546666667,-1,240,35,1,30,495,60.9626803019,keep,
govee-24,12,94,161,26,366.6666666667,29,13,53.3333333333,,,,12.276368776957193,24,35,35,1.000000,6.1381843885,6.1381843885,3,2026-04-26 22:23:21.845,2026-04-26 22:24:21.853,T6ncwg==,COMPACT,26.49,46.57,0.5083333333,4.352,-1,351.6666666667,52.6666666667,1,30,755,61.500270456,keep,
govee-25,16,128,222.25,36,493.5,39,17,69.5,,,,16.557371139526367,25,45,45,1.000000,8.2786855698,8.2786855698,4,2026-04-26 22:25:51.854,2026-04-26 22:27:21.818,T6ncwg==,COMPACT,26.435,46.5675,0.56625,4.3525,-1,465,71.5,1,30,1021.25,61.6794774602,keep,
govee-27,3,40,68,9,105,6,4.25,11,,,,3.662740627924601,27,10,20,0.500000,1.2209135426,2.4418270853,4,2026-04-26 22:31:21.680,2026-04-26 22:32:51.671,T6ncwg==,COMPACT,26.45,46.6275,0.28775,4.33425,-1,65,11,1,30,246.25,67.231077768,keep,
govee-28,7,85,146,20,229,14,8,24,,,,7.9612429936726885,28,17,33,0.515152,2.7068226178,5.2544203758,3,2026-04-26 22:34:21.638,2026-04-26 22:35:21.614,T6ncwg==,COMPACT,26.49,46.7333333333,0.4196666667,4.318,-1,146,25,1,30,533,66.9493445212,keep,
govee-29,11,132,230.3333333333,32,353.6666666667,22,13,37,,,,12.305760383605957,29,23,47,0.489362,4.0433212689,8.2624391147,3,2026-04-26 22:37:21.560,2026-04-26 22:38:21.528,T6ncwg==,COMPACT,26.4833333333,46.7766666667,0.5083333333,4.3133333333,-1,220,39,1,30,831,67.5293500032,keep,
govee-30,15,171.3333333333,301.6666666667,42,468,29.3333333333,18,48.3333333333,,,,16.23538653055827,30,30,60,0.500000,5.4117955102,10.8235910204,3,2026-04-26 22:39:51.525,2026-04-26 22:40:51.450,T6ncwg==,COMPACT,26.4433333333,46.8466666667,0.5616666667,4.3026666667,-1,296.3333333333,53,1,30,1093.6666666666,67.3631431323,keep,
govee-32,3,33.25,57,8,108,8,4,14,,,,3.7017222245534263,32,12,18,0.666667,1.4806888898,2.2210333347,4,2026-04-26 22:45:21.358,2026-04-26 22:46:51.357,T6ncwg==,COMPACT,26.425,46.8925,0.291,4.29775,-1,88,13,1,30,235.25,63.5515000125,keep,
govee-33,7,74,128,19,233,16,8,29,,,,7.996379216512044,33,20,30,0.666667,3.1985516866,4.7978275299,3,2026-04-26 22:48:21.306,2026-04-26 22:49:21.363,T6ncwg==,COMPACT,26.4266666667,46.89,0.4226666667,4.2856666667,-1,182,29,1,30,514,64.2790925846,keep,
govee-34,11,116,201,29,357.6666666667,25,13,43.3333333333,,,,12.326269467671713,34,28,42,0.666667,4.9305077871,7.3957616806,3,2026-04-26 22:51:21.344,2026-04-26 22:52:21.222,T6ncwg==,COMPACT,26.4233333333,46.9533333333,0.5073333333,4.2793333333,-1,273,44,1,30,796,64.5775270521,keep,
govee-35,15,153.5,269.25,40,478.25,33.25,17.25,57.25,,,,16.471246083577473,35,36,54,0.666667,6.5884984334,9.8827476501,4,2026-04-26 22:53:51.228,2026-04-26 22:55:21.197,T6ncwg==,COMPACT,26.41,46.975,0.5585,4.271,-1,365.5,60,1,30,1063.75,64.5822419629,keep,
govee-37,3,52.25,91,11,104.75,4,4,6,,,,3.7658981482187905,37,6,24,0.250000,0.7531796296,3.0127185186,4,2026-04-26 22:59:21.099,2026-04-26 23:00:51.117,T6ncwg==,COMPACT,26.3975,46.985,0.29075,4.26175,-1,28,7,1,30,276,73.2892896029,keep,
govee-38,6,107,187,23,222,10,9,15,,,,7.992686112721761,38,10,40,0.250000,1.5985372225,6.3941488902,3,2026-04-26 23:02:21.106,2026-04-26 23:03:21.067,T6ncwg==,COMPACT,26.36,47.0533333333,0.429,4.245,-1,70,17,1,30,579,72.4412283723,keep,
govee-39,10,158,278,35,338.3333333333,16,14,23.6666666667,,,,12.109729766845703,39,14,56,0.250000,2.4219459534,9.6877838135,3,2026-04-26 23:05:20.967,2026-04-26 23:06:20.953,T6ncwg==,COMPACT,26.27,47.1533333333,0.5073333333,4.2403333333,-1,118.3333333333,28,1,30,873,72.0907911909,keep,
govee-40,13.25,208.75,370.5,47,454.75,22,18,32,,,,16.273163477579754,40,18,72,0.250000,3.2546326955,13.0185307821,4,2026-04-26 23:07:50.978,2026-04-26 23:09:20.911,T6ncwg==,COMPACT,26.3725,47.175,0.5595,4.23875,-1,166.25,39,1,30,1166.25,71.6670733141,keep,
govee-42,3,72,125,14,124,4,5,4,,,,4.643712838490804,42,0,30,0.000000,0,4.6437128385,3,2026-04-26 23:13:50.861,2026-04-26 23:14:50.866,T6ncwg==,COMPACT,26.34,47.17,0.329,4.2316666667,-1,5,6,1,30,351,75.5860692097,keep,
govee-43,6,139,243,28.25,240.75,8,10,7,,,,9.01973025004069,43,0,50,0.000000,0,9.01973025,4,2026-04-26 23:16:20.859,2026-04-26 23:17:50.752,T6ncwg==,COMPACT,26.3475,47.16,0.4505,4.21725,-1,11,13,1,30,682,75.6120173324,keep,
govee-44,10,200.6666666667,355,42,350.3333333333,11,15,11,,,,13.121065457661947,44,0,70,0.000000,0,13.1210654577,3,2026-04-26 23:19:20.749,2026-04-26 23:20:20.749,T6ncwg==,COMPACT,26.32,47.2866666667,0.5233333333,4.212,-1,16,19,1,30,995,75.832256398,keep,
govee-45,13,263.75,472.25,57,464.75,15,20.25,15,,,,17.483312606811523,45,0,90,0.000000,0,17.4833126068,4,2026-04-26 23:21:50.718,2026-04-26 23:23:20.646,T6ncwg==,COMPACT,26.33,47.2425,0.577,4.2155,-1,21,25,1,30,1321,75.5577635491,keep,
