ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
h4_pC-1,18,178,113.5,18,487.5,45,22,23,,,,30.615168889363606,1,5,5,1.000000,18.46441078186035,11.92402458190918,2,2026-03-19 12:32:24.437,2026-03-19 12:32:44.422,L_6vSQ==,COMPACT,29.13,66.565,0.8455,4.703,,252,317.5,1,10,905,29.5605098006,keep,
h4_pC-2,23,238,147.2,18,644.2,33,23,23,,,,43.735435485839844,2,8,8,1.000000,27.618622461954754,16.063159306844074,5,2026-03-19 12:33:44.472,2026-03-19 12:34:34.472,L_6vSQ==,COMPACT,28.996,66.784,0.9204,4.7038,,359.8,452,1,10,1149.4,26.2807489449,keep,
h4_pC-3,28,282.3333333333,174,22,782.3333333333,40,28,29,,,,53.221808115641274,3,10,10,1.000000,34.16165288289388,18.98185157775879,3,2026-03-19 12:35:04.402,2026-03-19 12:35:44.372,L_6vSQ==,COMPACT,28.8933333333,66.5433333333,0.946,4.7203333333,,443,555.6666666667,1,10,1385.6666666666,26.0356931816,keep,
h4_pC-4,33,326,200,26,920,47,33,34,,,,62.059014638264976,4,12,12,1.000000,40.36552937825521,21.638484954833984,4,2026-03-19 12:36:34.383,2026-03-19 12:37:14.343,L_6vSQ==,COMPACT,28.81,66.6525,0.9935,4.71425,,526.75,660,1,10,1619,26.0880713211,keep,
h4_pC-5,41,392.5,238,31,1126.25,58,41,42,,,,76.6126937866211,5,15,15,1.000000,50.37062072753906,26.16070048014323,4,2026-03-19 12:37:54.409,2026-03-19 12:38:44.318,L_6vSQ==,COMPACT,28.6925,66.64,1.02225,4.71075,,651,816.75,1,10,1969.75,25.7104913382,keep,
h4_pC-6,48,459,277,37,1333,69,49,50,,,,91.13063049316406,6,18,18,1.000000,60.37508010864258,30.653568903605144,4,2026-03-19 12:39:14.335,2026-03-19 12:40:04.327,L_6vSQ==,COMPACT,28.6125,66.775,1.05875,4.7,,776,974.25,1,10,2322,25.4799071117,keep,
h4_pC-7,53,503.3333333333,302,41,1471,77,54,55,,,,100.79691314697266,7,20,20,1.000000,67.03890991210938,33.62998580932617,3,2026-03-19 12:40:34.351,2026-03-19 12:41:14.319,L_6vSQ==,COMPACT,28.5633333333,66.8,1.0813333333,4.704,,859.3333333333,1078.6666666667,1,10,2556.3333333333,25.361226386,keep,
h4_pC-8,58,547.2,327.2,45,1607.6,84,59,60,,,,111.25660705566406,8,22,22,1.000000,74.1451187133789,36.924391428629555,5,2026-03-19 12:41:54.287,2026-03-19 12:42:44.286,L_6vSQ==,COMPACT,28.526,66.978,1.1132,4.7054,,942.2,1183.8,1,10,2788,25.0591859107,keep,
h4_pC-9,66,614,364.5,50,1813,95,66,68,,,,123.84374491373698,9,25,25,1.000000,83.05645751953125,40.64598083496094,2,2026-03-19 12:43:34.288,2026-03-19 12:43:54.263,L_6vSQ==,COMPACT,28.44,66.76,1.131,4.728,,1065.5,1342,1,10,3136.5,25.326269019,keep,
h4_pC-10,74,681,401.3333333333,56,2018,106,74,76,,,,139.06072998046875,10,28,28,1.000000,93.50738525390625,45.387786865234375,3,2026-03-19 12:44:54.208,2026-03-19 12:45:24.221,L_6vSQ==,COMPACT,28.4666666667,67.1166666667,1.165,4.7236666667,,1188.3333333333,1500,1,10,3486.3333333333,25.0705812764,keep,
h4_pC-11,79,724.75,426,60,2153.75,114,79,81,,,,150.27175903320312,11,30,30,1.000000,101.14084370930989,48.8917121887207,4,2026-03-19 12:46:14.221,2026-03-19 12:46:54.196,L_6vSQ==,COMPACT,28.4625,67.5375,1.1845,4.72975,,1269.75,1605.75,1,10,3717.5,24.7385139025,keep,
h4_pC-12,84,769,450,63.5,2289.5,121,84,86,,,,159.87237548828125,12,32,32,1.000000,107.77100880940755,51.8759511311849,4,2026-03-19 12:47:24.215,2026-03-19 12:48:14.127,L_6vSQ==,COMPACT,28.3725,67.53,1.219,4.7385,,1351.75,1710.75,1,10,3947,24.6884428154,keep,
h4_pC-13,91.6666666667,835,486.3333333333,69,2492.6666666667,132,92,94,,,,172.43251037597656,13,35,35,1.000000,116.65943400065105,55.58026123046875,3,2026-03-19 12:48:44.146,2026-03-19 12:49:34.165,L_6vSQ==,COMPACT,28.4066666667,67.5466666667,1.211,4.7326666667,,1473.6666666667,1868.6666666667,1,10,4292.6666666667,24.8947640866,keep,
h4_pC-14,99,900.5,522.25,75,2695.25,143,99,102,,,,189.31572469075522,14,38,38,1.000000,128.0442632039388,60.95195515950521,4,2026-03-19 12:50:04.101,2026-03-19 12:50:54.109,L_6vSQ==,COMPACT,28.29,67.465,1.2085,4.73325,,1594.25,2027,1,10,4636,24.488192978,keep,
h4_pC-15,104,944,546,78,2828.5,150,104,107,,,,198.43704732259116,15,40,40,1.000000,134.36931355794272,63.786502838134766,2,2026-03-19 12:51:54.054,2026-03-19 12:52:14.045,L_6vSQ==,COMPACT,28.345,67.485,1.254,4.737,,1671.5,2134.5,1,10,4861.5,24.498953525,keep,
h4_pC-16,109,988,569,82,2964,157,109,112,,,,208.2402140299479,16,42,42,1.000000,141.21756998697916,66.73406473795573,3,2026-03-19 12:52:54.105,2026-03-19 12:53:34.062,L_6vSQ==,COMPACT,28.3633333333,67.3166666667,1.2673333333,4.7353333333,,1753,2240.3333333333,1,10,5090,24.4429253193,keep,
h4_pC-17,117,1053.25,604,88,3164,168,117,120,,,,222.35135396321616,17,45,45,1.000000,150.85075887044272,71.18797302246094,4,2026-03-19 12:54:24.063,2026-03-19 12:55:04.018,L_6vSQ==,COMPACT,28.3725,67.3725,1.30475,4.73925,,1870,2400.75,1,10,5431.25,24.426430976,keep,
h4_pC-18,125,1118.3333333333,639,93,3365.6666666667,179,124,128,,,,234.11136881510416,18,48,48,1.000000,159.33697001139322,74.4950180053711,3,2026-03-19 12:55:34.041,2026-03-19 12:56:14.009,L_6vSQ==,COMPACT,28.48,67.2966666667,1.2683333333,4.7326666667,,1990.3333333333,2560,1,10,5772,24.6549325187,keep,
h4_pC-19,130,1162,662.25,97,3498.75,186,129,133,,,,247.94194539388022,19,50,50,1.000000,168.5373789469401,79.10304005940755,4,2026-03-19 12:56:53.970,2026-03-19 12:57:34.031,L_6vSQ==,COMPACT,28.435,67.1525,1.313,4.73525,,2066.25,2667.75,1,10,5998,24.1911468044,keep,
h4_pC-20,25,159,103,20,712,42,27,29,,,,46.578165690104164,21,11,4,2.750000,36.9864756266276,9.564963022867838,4,2026-03-19 12:59:43.953,2026-03-19 13:00:13.879,L_6vSQ==,COMPACT,28.345,67.0225,0.93825,4.711,,484,598,1,10,1117,23.9811934079,keep,
h4_pC-21,33,185,120,26,928,56,36,38,,,,61.718275705973305,22,15,5,3.000000,50.508401234944664,11.177133242289225,4,2026-03-19 13:01:03.878,2026-03-19 13:01:53.895,L_6vSQ==,COMPACT,28.2875,67.235,0.9995,4.723,,648.75,804,1,10,1422,23.0401770583,keep,
h4_pC-22,40,211,137,32,1144.25,70,45,47,,,,76.02608235677083,23,19,6,3.166667,63.39568837483724,12.595280647277832,4,2026-03-19 13:02:33.851,2026-03-19 13:03:03.869,L_6vSQ==,COMPACT,28.2675,67.38,1.01575,4.711,,813.25,1011.5,1,10,1726.25,22.7060233342,keep,
