ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,5,4,5,5,142,16,4,31,,,,10.128738403320312,2,30,0,inf,10.1287384033,0,3,2026-04-27 16:58:29.883,2026-04-27 16:59:29.901,T6ncwg==,COMPACT,28.3433333333,45.0733333333,0.3303333333,4.4356666667,-1,229.3333333333,31,1,30,212,20.9305435246,keep,
govee-03,9,8,9,10,257,29,7,56,,,,18.524271647135418,3,50,0,inf,18.5242716471,0,3,2026-04-27 17:01:29.849,2026-04-27 17:02:29.790,T6ncwg==,COMPACT,28.1366666667,45.0266666667,0.439,4.4146666667,-1,414.3333333333,57,1,30,385,20.7835431986,keep,
govee-04,13.5,12,13,14,364.75,41.75,11,78.5,,,,26.392066955566406,4,70,0,inf,26.3920669556,0,4,2026-04-27 17:03:59.735,2026-04-27 17:05:29.717,T6ncwg==,COMPACT,27.9875,45.0175,0.51075,4.39775,-1,588.75,82,1,30,548.5,20.7827602485,keep,
govee-05,17.3333333333,15,17,18,471.3333333333,54,14,99,,,,33.820000966389976,5,90,0,inf,33.8200009664,0,3,2026-04-27 17:06:59.714,2026-04-27 17:07:59.726,T6ncwg==,COMPACT,27.8933333333,45.1666666667,0.5593333333,4.3973333333,-1,759.3333333333,108.3333333333,1,30,705.6666666666,20.8653650651,keep,
govee-07,4.25,7,10,5,117.5,13,3.25,25.25,,,,8.463081359863281,7,24,6,4.000000,6.7704650879,1.692616272,4,2026-04-27 17:12:59.614,2026-04-27 17:14:29.606,T6ncwg==,COMPACT,27.4575,45.1925,0.3055,4.37875,-1,180,23.25,1,30,185.25,21.8891904878,keep,
govee-08,8,15,23,10,219,24,6,47,,,,15.886755307515463,8,40,10,4.000000,12.709404246,3.1773510615,3,2026-04-27 17:15:59.549,2026-04-27 17:16:59.561,T6ncwg==,COMPACT,27.4133333333,45.3266666667,0.4213333333,4.3676666667,-1,330,44,1,30,352,22.1568214016,keep,
govee-09,11,24,36,14,319.3333333333,34,9.3333333333,66.3333333333,,,,23.279654184977215,9,56,14,4.000000,18.623723348,4.655930837,3,2026-04-27 17:18:59.475,2026-04-27 17:19:59.527,T6ncwg==,COMPACT,27.21,45.4033333333,0.4943333333,4.3506666667,-1,476.6666666667,64,1,30,513.9999999999,22.0793657808,keep,
govee-10,15,36.25,57,20,423.75,45,13,84.75,,,,31.181125005086262,10,72,18,4.000000,24.9449000041,6.236225001,4,2026-04-27 17:21:29.494,2026-04-27 17:22:59.419,T6ncwg==,COMPACT,27.035,45.56,0.547,4.34675,-1,617.25,86,1,30,694.75,22.2811075574,keep,
govee-12,3,14,23,5,98,9,3,19,,,,7.316226323445638,12,18,12,1.500000,4.3897357941,2.9264905294,4,2026-04-27 17:26:59.385,2026-04-27 17:28:29.332,T6ncwg==,COMPACT,26.88,45.755,0.284,4.325,-1,126.75,17,1,30,174,23.7827525158,keep,
govee-13,7.3333333333,35,59,12,199,18,6,35,,,,15.123361905415853,13,30,20,1.500000,9.0740171432,6.0493447622,3,2026-04-27 17:29:59.274,2026-04-27 17:30:59.232,T6ncwg==,COMPACT,26.7733333333,45.8933333333,0.4136666667,4.305,-1,239,33,1,30,371.3333333333,24.5536234374,keep,
