ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,3,3,3,4,92,10,3,20,,,,4.508347829182942,2,30,0,inf,4.5083478292,0,3,2026-04-27 20:48:55.343,2026-04-27 20:49:55.339,T6ncwg==,COMPACT,27.2366666667,48.2066666667,0.2706666667,4.137,-1,158,23,1,30,138,30.6098830944,keep,
govee-03,6,6,6,7,168,19,5,38,,,,8.225324948628744,3,50,0,inf,8.2253249486,0,3,2026-04-27 20:51:55.332,2026-04-27 20:52:55.243,T6ncwg==,COMPACT,27.2933333333,47.9833333333,0.3713333333,4.1136666667,-1,288.6666666667,41,1,30,255,31.0018147116,keep,
govee-04,9.75,8,9,10,239.5,27,7,53.5,,,,11.740049044291178,4,70,0,inf,11.7400490443,0,4,2026-04-27 20:54:25.256,2026-04-27 20:55:55.168,T6ncwg==,COMPACT,27.2675,47.8075,0.438,4.11075,-1,412,59.5,1,30,363.75,30.9836865781,keep,
govee-05,12,11,12,13,310,35.3333333333,10,68.3333333333,,,,15.253795623779297,5,90,0,inf,15.2537956238,0,3,2026-04-27 20:57:25.190,2026-04-27 20:58:25.152,T6ncwg==,COMPACT,27.2166666667,47.7166666667,0.487,4.0933333333,-1,533,78.6666666667,1,30,471.6666666666,30.9212656508,keep,
govee-07,3.25,5,7,3,78,8,2,18,,,,3.79180900255839,7,24,6,4.000000,3.033447202,0.7583618005,4,2026-04-27 21:02:55.057,2026-04-27 21:04:25.021,T6ncwg==,COMPACT,27.25,47.4675,0.24725,4.07625,-1,127.5,17,1,30,124.25,32.7680006868,keep,
govee-08,5.3333333333,10,16,7,145,16,4.3333333333,33,,,,7.07628075281779,8,40,10,4.000000,5.6610246023,1.4152561506,3,2026-04-27 21:05:55.041,2026-04-27 21:06:54.958,T6ncwg==,COMPACT,27.1366666667,47.3933333333,0.3503333333,4.0503333333,-1,234,31,1,30,236.6666666666,33.4450645662,keep,
govee-09,8,16,25,10,211.6666666667,23,7,46.3333333333,,,,10.32109800974528,9,56,14,4.000000,8.2568784078,2.0642196019,3,2026-04-27 21:08:54.988,2026-04-27 21:09:54.903,T6ncwg==,COMPACT,27.1466666667,47.4233333333,0.4216666667,4.041,-1,337.3333333333,46.3333333333,1,30,347,33.6204539161,keep,
govee-10,11,25,39,14,280,30,9,59.25,,,,13.715748151143393,10,72,18,4.000000,10.9725985209,2.7431496302,4,2026-04-27 21:11:24.933,2026-04-27 21:12:54.843,T6ncwg==,COMPACT,27.02,47.4,0.472,4.0365,-1,436.75,62,1,30,467.25,34.0666797648,keep,
govee-12,2,9,16,3.5,65,6,2,13,,,,3.18463404973348,12,18,12,1.500000,1.9107804298,1.2738536199,4,2026-04-27 21:16:54.814,2026-04-27 21:18:24.752,T6ncwg==,COMPACT,26.9175,47.3475,0.22525,4.0165,-1,90,12,1,30,116.5,36.5819111963,keep,
govee-13,5,23.6666666667,40,8,131,12,4.3333333333,25,,,,6.544174830118815,13,30,20,1.500000,3.9265048981,2.617669932,3,2026-04-27 21:19:54.734,2026-04-27 21:20:54.724,T6ncwg==,COMPACT,26.92,47.3466666667,0.3416666667,3.9983333333,-1,170,23,1,30,249,38.0491057259,keep,
govee-14,7,39,66,13,199.6666666667,18,7.3333333333,36,,,,10.011600812276205,14,42,28,1.500000,6.0069604874,4.0046403249,3,2026-04-27 21:22:54.729,2026-04-27 21:23:54.629,T6ncwg==,COMPACT,26.8466666667,47.33,0.4206666667,3.9846666667,-1,249.3333333333,36,1,30,386,38.5552727519,keep,
govee-15,10,54,94,18,267.75,24,9,46.75,,,,13.476189613342285,15,54,36,1.500000,8.085713768,5.3904758453,4,2026-04-27 21:25:24.615,2026-04-27 21:26:54.580,T6ncwg==,COMPACT,26.8625,47.395,0.4765,3.976,-1,326.75,48,1,30,523.5,38.8462922399,keep,
govee-17,2,8,13,3,70,7,2,15,,,,3.422820488611857,17,20,10,2.000000,2.2818803257,1.1409401629,3,2026-04-27 21:31:24.509,2026-04-27 21:32:24.555,T6ncwg==,COMPACT,26.73,47.4,0.2373333333,3.9523333333,-1,104,13,1,30,120,35.058806151,keep,
