ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,2,11,20,4,54.3333333333,4.3333333333,2.3333333333,8.6666666667,,,,2.7351814905802407,2,15,15,1.000000,1.3675907453,1.3675907453,3,2026-04-27 23:00:52.722,2026-04-27 23:01:52.764,T6ncwg==,COMPACT,28.8266666667,44.22,0.2496666667,4.3586666667,-1,64,10,1,30,106.6666666666,38.9980215331,keep,
govee-03,4,30.3333333333,54.3333333333,9,123,10,4,18.6666666667,,,,6.25093936920166,3,25,25,1.000000,3.1254696846,3.1254696846,3,2026-04-27 23:03:52.759,2026-04-27 23:04:52.733,T6ncwg==,COMPACT,28.6133333333,44.12,0.3246666667,4.3406666667,-1,131.6666666667,21,1,30,253.3333333333,40.5272421264,keep,
govee-04,6,48,86,14,187,15,7,28,,,,9.569686889648438,4,35,35,1.000000,4.7848434448,4.7848434448,3,2026-04-27 23:06:22.674,2026-04-27 23:07:22.654,T6ncwg==,COMPACT,28.6066666667,44.1966666667,0.3986666667,4.332,-1,195,31,1,30,391,40.8581810992,keep,
govee-05,9,66,120,20,253,20,9,37,,,,12.962409019470215,5,45,45,1.000000,6.4812045097,6.4812045097,3,2026-04-27 23:09:22.657,2026-04-27 23:10:22.561,T6ncwg==,COMPACT,28.45,44.17,0.4576666667,4.3083333333,-1,260,42,1,30,534,41.196046136,keep,
govee-07,0.6666666667,14,24.6666666667,3.3333333333,36,2,1.3333333333,4,,,,2.835538069407145,7,10,20,0.500000,0.9451793565,1.8903587129,3,2026-04-27 23:14:52.536,2026-04-27 23:15:51.844,T6ncwg==,COMPACT,28.21,44.2033333333,0.2036666667,4.296,-1,24.6666666667,4,0.6666666667,30,86,30.3293406383,keep,
govee-08,4,45,79,11,118,7,5.3333333333,13,,,,6.20028034845988,8,17,33,0.515152,2.1080953185,4.09218503,3,2026-04-27 23:17:52.447,2026-04-27 23:18:52.458,T6ncwg==,COMPACT,27.9666666667,44.29,0.3266666667,4.278,-1,83,14,1,30,282.3333333333,45.535575404,keep,
govee-09,6,70,125,17,183,11,7,20.25,,,,9.629417737325033,9,23,47,0.489362,3.1639515423,6.4654661951,4,2026-04-27 23:20:22.458,2026-04-27 23:21:52.402,T6ncwg==,COMPACT,27.93,44.3725,0.411,4.26125,-1,126,22,1,30,439.25,45.6154268079,keep,
govee-10,8,91,164,23,242.3333333333,15,10,27,,,,12.716613133748373,10,30,60,0.500000,4.2388710446,8.4777420892,3,2026-04-27 23:23:22.386,2026-04-27 23:24:22.294,T6ncwg==,COMPACT,27.8233333333,44.5633333333,0.4626666667,4.2516666667,-1,169.6666666667,30,1,30,580.3333333333,45.6358408666,keep,
govee-12,2,18,31,4,56.75,4,2,8,,,,2.9499343236287436,12,12,18,0.666667,1.1799737295,1.7699605942,4,2026-04-27 23:28:52.178,2026-04-27 23:30:22.215,T6ncwg==,COMPACT,27.5875,44.6775,0.2105,4.231,-1,50.5,8,1,30,125.75,42.6280676803,keep,
govee-13,4,40,70,10,122,9,4,17,,,,6.356978098551433,13,20,30,0.666667,2.5427912394,3.8141868591,3,2026-04-27 23:31:52.129,2026-04-27 23:32:52.130,T6ncwg==,COMPACT,27.5166666667,44.8133333333,0.3353333333,4.2196666667,-1,105,16,1,30,276,43.4168555753,keep,
govee-14,6.25,62,110,16,187.25,13,7,25,,,,9.784501393636068,14,28,42,0.666667,3.9138005575,5.8707008362,4,2026-04-27 23:34:22.185,2026-04-27 23:35:52.150,T6ncwg==,COMPACT,27.3625,44.91,0.41425,4.19925,-1,157.5,25,1,30,426.5,43.5893442948,keep,
