ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,2.25,2,2,2,56.25,6,1,12,,,,7.9255655606587725,2,30,0,inf,7.9255655607,0,4,2026-04-28 11:55:42.095,2026-04-28 11:57:12.118,T6ncwg==,COMPACT,27.1225,47.0825,0.24775,4.59125,-1,92.25,12.25,1,30,83.5,10.535525744,keep,
govee-03,3,3,3,4,102,11,3,22,,,,14.479252815246582,3,50,0,inf,14.4792528152,0,3,2026-04-28 11:58:42.155,2026-04-28 11:59:42.069,T6ncwg==,COMPACT,26.99,46.4633333333,0.2823333333,4.5696666667,-1,167,23,1,30,151,10.4287149293,keep,
govee-04,5,5,5,5,145,16,4,31.3333333333,,,,20.6855411529541,4,70,0,inf,20.685541153,0,3,2026-04-28 12:01:42.087,2026-04-28 12:02:42.055,T6ncwg==,COMPACT,27.01,45.9333333333,0.3433333333,4.548,-1,238.3333333333,33,1,30,216.3333333333,10.4581906624,keep,
govee-05,7.25,6,7,7,188,21,5.25,40.25,,,,26.87771479288737,5,90,0,inf,26.8777147929,0,4,2026-04-28 12:04:11.992,2026-04-28 12:05:42.011,T6ncwg==,COMPACT,26.9375,45.5825,0.38725,4.54275,-1,308.5,43.25,1,30,281.75,10.4826620184,keep,
govee-07,1,2.75,4,2,47,5,1,10,,,,6.6341753005981445,7,24,6,4.000000,5.3073402405,1.3268350601,4,2026-04-28 12:10:11.893,2026-04-28 12:11:41.838,T6ncwg==,COMPACT,26.7075,45.1675,0.22575,4.5245,-1,73,9,1,30,72.75,10.9659447789,keep,
govee-08,3,6,8,4,87,9,2,19,,,,12.364112854003906,8,40,10,4.000000,9.8912902832,2.4728225708,3,2026-04-28 12:13:11.759,2026-04-28 12:14:11.815,T6ncwg==,COMPACT,26.6533333333,45.02,0.2626666667,4.4986666667,-1,134,17,1,30,138,11.1613345518,keep,
govee-09,4,9,13,5,126,13,4,27,,,,18.165877024332683,9,56,14,4.000000,14.5327016195,3.6331754049,3,2026-04-28 12:16:11.745,2026-04-28 12:17:11.753,T6ncwg==,COMPACT,26.46,44.8833333333,0.326,4.4896666667,-1,193.3333333333,26,1,30,201,11.0647011279,keep,
govee-10,6,13.5,21,8,167,17,5,34.25,,,,24.26226743062337,10,72,18,4.000000,19.4098139445,4.8524534861,4,2026-04-28 12:18:41.747,2026-04-28 12:20:11.702,T6ncwg==,COMPACT,26.4075,44.8625,0.37225,4.469,-1,250.75,34,1,30,271.75,11.2005195218,keep,
govee-12,1.3333333333,5,8,2,38,4,1,7,,,,5.6442975997924805,12,18,12,1.500000,3.3865785599,2.2577190399,3,2026-04-28 12:24:41.541,2026-04-28 12:25:41.552,T6ncwg==,COMPACT,26.2966666667,44.7766666667,0.203,4.4533333333,-1,51,7,1,30,66.3333333333,11.7522742486,keep,
govee-13,2,13,21,4,77,7,2.3333333333,14,,,,11.608318010965982,13,30,20,1.500000,6.9649908066,4.6433272044,3,2026-04-28 12:27:11.556,2026-04-28 12:28:11.463,T6ncwg==,COMPACT,26.26,44.7833333333,0.25,4.4273333333,-1,97,13,1,30,140.3333333333,12.089032468,keep,
govee-14,4,21,36,7,116.25,10,4,21,,,,17.855573654174805,14,42,28,1.500000,10.7133441925,7.1422294617,4,2026-04-28 12:30:11.438,2026-04-28 12:31:41.468,T6ncwg==,COMPACT,26.1625,44.7725,0.31975,4.41275,-1,142,20,1,30,219.25,12.2790790286,keep,
govee-15,5,29,51,10,156.3333333333,14,5,27,,,,24.148343404134113,15,54,36,1.500000,14.4890060425,9.6593373617,3,2026-04-28 12:33:11.450,2026-04-28 12:34:11.448,T6ncwg==,COMPACT,26.0266666667,44.7266666667,0.371,4.4016666667,-1,186.3333333333,27,1,30,297.3333333333,12.3127838774,keep,
