ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,3.25,3,3,4,95.5,11,3,21,,,,7.474711100260417,2,30,0,inf,7.4747111003,0,4,2026-04-28 15:10:38.300,2026-04-28 15:12:08.331,T6ncwg==,COMPACT,27.1925,44.7375,0.277,4.08775,-1,164,24,1,30,143.75,19.2315125055,keep,
govee-03,7,6,6,7,174,20,5,39,,,,13.687877337137857,3,50,0,inf,13.6878773371,0,3,2026-04-28 15:13:38.216,2026-04-28 15:14:38.203,T6ncwg==,COMPACT,27.2066666667,44.5466666667,0.3826666667,4.0863333333,-1,299,43,1,30,264,19.2871395248,keep,
govee-04,10,9,9,10,248.3333333333,28,8,55,,,,19.57975133260091,4,70,0,inf,19.5797513326,0,3,2026-04-28 15:16:38.221,2026-04-28 15:17:38.199,T6ncwg==,COMPACT,27.1433333333,44.3433333333,0.4473333333,4.0683333333,-1,427.3333333333,62,1,30,377.3333333333,19.2716100896,keep,
govee-05,13,11,12,13,322.25,37,10,70.75,,,,25.473081588745117,5,90,0,inf,25.4730815887,0,4,2026-04-28 15:19:08.186,2026-04-28 15:20:38.175,T6ncwg==,COMPACT,27.07,44.205,0.50175,4.0655,-1,553.25,81.25,1,30,489,19.196735122,keep,
govee-07,3,5,7,3,81,9,2,18,,,,6.335877418518066,7,24,6,4.000000,5.0687019348,1.2671754837,3,2026-04-28 15:25:08.064,2026-04-28 15:26:07.976,T6ncwg==,COMPACT,26.97,44.1066666667,0.2533333333,4.0346666667,-1,132.3333333333,17.3333333333,1,30,128,20.2024110545,keep,
govee-08,6,11,16,7,151,16,5,34,,,,11.853806177775065,8,40,10,4.000000,9.4830449422,2.3707612356,3,2026-04-28 15:27:37.955,2026-04-28 15:28:37.988,T6ncwg==,COMPACT,26.8833333333,44.0266666667,0.3643333333,4.035,-1,242.6666666667,33,1,30,246,20.7528279365,keep,
govee-09,8,17,26,10,219.6666666667,24,7,48,,,,17.377753575642902,9,56,14,4.000000,13.9022028605,3.4755507151,3,2026-04-28 15:30:37.969,2026-04-28 15:31:37.963,T6ncwg==,COMPACT,26.8666666667,44.21,0.4353333333,4.0116666667,-1,350.3333333333,48,1,30,359.6666666667,20.6969597711,keep,
govee-10,11,26,41,14,291,31,9,61.5,,,,23.19976234436035,10,72,18,4.000000,18.5598098755,4.6399524689,4,2026-04-28 15:33:07.884,2026-04-28 15:34:37.896,T6ncwg==,COMPACT,26.68,44.1675,0.487,4.01025,-1,453.5,64,1,30,484.5,20.883834619,keep,
govee-12,2,10,16,4,67,6,2,13.6666666667,,,,5.4262153307596845,12,18,12,1.500000,3.2557291985,2.1704861323,3,2026-04-28 15:39:07.770,2026-04-28 15:40:07.760,T6ncwg==,COMPACT,26.5466666667,44.3266666667,0.2373333333,3.9943333333,-1,93,12,1,30,120.6666666667,22.2377217474,keep,
govee-13,5.3333333333,25,42,8,136.3333333333,13,4,26,,,,11.205366770426432,13,30,20,1.500000,6.7232200623,4.4821467082,3,2026-04-28 15:41:37.710,2026-04-28 15:42:37.744,T6ncwg==,COMPACT,26.51,44.3433333333,0.356,3.9833333333,-1,176,24,1,30,259.6666666666,23.1734196646,keep,
