ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,4,4,4,5,125.5,14,3.25,26.75,,,,5.908048152923584,2,30,0,inf,5.9080481529,0,4,2026-04-28 17:42:35.394,2026-04-28 17:44:05.297,T6ncwg==,COMPACT,26.355,46.95,0.3245,3.95925,-1,203.5,28.25,1,30,186.5,31.5671089965,keep,
govee-03,8,7,8,9,228,26,7,49,,,,10.736197153727213,3,50,0,inf,10.7361971537,0,3,2026-04-28 17:45:35.260,2026-04-28 17:46:35.238,T6ncwg==,COMPACT,26.3766666667,46.8166666667,0.429,3.944,-1,370,51,1,30,342,31.8548546662,keep,
govee-04,12,11,12,12,324.6666666667,37,10,69.6666666667,,,,15.345607121785482,4,70,0,inf,15.3456071218,0,3,2026-04-28 17:48:35.188,2026-04-28 17:49:35.222,T6ncwg==,COMPACT,26.3066666667,46.7133333333,0.5023333333,3.9316666667,-1,527,74,1,30,488.3333333334,31.8223534239,keep,
govee-05,16,14,15,16,419.75,48,12.25,88.5,,,,19.910069783528645,5,90,0,inf,19.9100697835,0,4,2026-04-28 17:51:05.190,2026-04-28 17:52:35.126,T6ncwg==,COMPACT,26.3975,46.7325,0.5445,3.9265,-1,680.5,97.75,1,30,629.5,31.6171669333,keep,
govee-07,4,6,9,4,105.6666666667,11,3,23,,,,4.92867644627889,7,24,6,4.000000,3.942941157,0.9857352893,3,2026-04-28 17:57:04.988,2026-04-28 17:58:05.039,T6ncwg==,COMPACT,26.3066666667,46.6033333333,0.296,3.9036666667,-1,162.3333333333,21,1,30,165.6666666667,33.6128103503,keep,
govee-08,7,14,21,9,196,21,6,42,,,,9.212791760762533,8,40,10,4.000000,7.3702334086,1.8425583522,3,2026-04-28 17:59:35.051,2026-04-28 18:00:34.966,T6ncwg==,COMPACT,26.3366666667,46.62,0.408,3.907,-1,297,39,1,30,316,34.3001348783,keep,
govee-09,10,21,32,13,285.3333333333,31,9,60,,,,13.471430142720541,9,56,14,4.000000,10.7771441142,2.6942860285,3,2026-04-28 18:02:34.901,2026-04-28 18:03:34.956,T6ncwg==,COMPACT,26.18,46.69,0.4783333333,3.8926666667,-1,429,58,1,30,461.3333333333,34.2453123719,keep,
govee-10,14,32.5,51.25,18,378.5,40,12,76,,,,17.94158999125163,10,72,18,4.000000,14.353271993,3.5883179983,4,2026-04-28 18:05:04.911,2026-04-28 18:06:34.844,T6ncwg==,COMPACT,26.1675,46.6875,0.53975,3.88275,-1,555,77.5,1,30,622.25,34.6819875108,keep,
govee-12,3,12,21,5,88,8,3,17,,,,4.195824146270752,12,18,12,1.500000,2.5174944878,1.6783296585,3,2026-04-28 18:11:04.727,2026-04-28 18:12:04.730,T6ncwg==,COMPACT,26.1066666667,46.7933333333,0.2756666667,3.8643333333,-1,114,15,1,30,157,37.4181554152,keep,
govee-13,6,31,53,11,178,16,6,32,,,,8.637984275817871,13,30,20,1.500000,5.1827905655,3.4551937103,4,2026-04-28 18:13:34.745,2026-04-28 18:15:04.664,T6ncwg==,COMPACT,26.05,46.9075,0.4,3.864,-1,215,29.25,1,30,333,38.5506605901,keep,
govee-14,9,51,88,17,270.6666666667,24.3333333333,9,46.3333333333,,,,13.222570101420084,14,42,28,1.500000,7.9335420609,5.2890280406,3,2026-04-28 18:16:34.687,2026-04-28 18:17:34.682,T6ncwg==,COMPACT,26.0266666667,46.9566666667,0.4776666667,3.841,-1,316.3333333333,45,1,30,515.3333333333,38.9737645088,keep,
govee-15,12.5,71.75,124.5,23.5,363.5,32.25,12,60,,,,17.850208282470703,15,54,36,1.500000,10.7101249695,7.140083313,4,2026-04-28 18:19:04.565,2026-04-28 18:20:34.570,T6ncwg==,COMPACT,26.0225,47.025,0.539,3.85275,-1,413.75,60.75,1,30,700,39.2152286922,keep,
govee-17,3,10,17,5,94,9,3,19,,,,4.467321395874023,17,20,10,2.000000,2.9782142639,1.489107132,3,2026-04-28 18:25:04.522,2026-04-28 18:26:04.503,T6ncwg==,COMPACT,26.0533333333,47.05,0.284,3.8293333333,-1,131,17,1,30,160,35.8156456233,keep,
govee-18,6,24,40,10,181,18,6,35.25,,,,8.680108706156412,18,33,17,1.941176,5.7288717461,2.9512369601,4,2026-04-28 18:27:34.461,2026-04-28 18:29:04.439,T6ncwg==,COMPACT,25.9975,47.2125,0.3995,3.82125,-1,242,32,1,30,320.25,36.8946992303,keep,
govee-19,10,41,69.3333333333,16,278.6666666667,27,9,52,,,,13.439885139465332,19,47,23,2.043478,9.0239228794,4.4159622601,3,2026-04-28 18:30:34.350,2026-04-28 18:31:34.409,T6ncwg==,COMPACT,25.9733333333,47.2366666667,0.4813333333,3.806,-1,359,49,1,30,503,37.4259150864,keep,
govee-20,13,58,98.3333333333,21,367,35,12.3333333333,65.6666666667,,,,17.786436080932617,20,60,30,2.000000,11.857624054,5.928812027,3,2026-04-28 18:33:34.327,2026-04-28 18:34:34.278,T6ncwg==,COMPACT,26.01,47.3233333333,0.5456666667,3.8163333333,-1,461.3333333333,66,1,30,670.3333333333,37.6878948814,keep,
govee-22,2,16,28,5,79,7,2,13,,,,3.8656342029571533,22,15,15,1.000000,1.9328171015,1.9328171015,3,2026-04-28 18:39:04.275,2026-04-28 18:40:04.174,T6ncwg==,COMPACT,26.0466666667,47.32,0.26,3.7923333333,-1,88,12,1,30,152,39.3208441408,keep,
govee-23,6,43,74,12,175,14,6,27,,,,8.72594420115153,23,25,25,1.000000,4.3629721006,4.3629721006,4,2026-04-28 18:41:34.199,2026-04-28 18:43:04.097,T6ncwg==,COMPACT,26.015,47.4325,0.39975,3.78025,-1,176.25,25,1,30,357,40.9124779818,keep,
govee-24,9,67,117,19,264,21,9,39.3333333333,,,,13.240034103393555,24,35,35,1.000000,6.6200170517,6.6200170517,3,2026-04-28 18:44:34.124,2026-04-28 18:45:34.063,T6ncwg==,COMPACT,26.01,47.37,0.478,3.7783333333,-1,258.6666666667,38,1,30,545.3333333333,41.1882121356,keep,
govee-25,12,91.3333333333,161,26,354.3333333333,28,13,51,,,,17.789705276489258,25,45,45,1.000000,8.8948526382,8.8948526382,3,2026-04-28 18:47:34.056,2026-04-28 18:48:34.034,T6ncwg==,COMPACT,26.0066666667,47.4566666667,0.533,3.7816666667,-1,341.6666666667,52.3333333333,1,30,736.6666666666,41.4097173178,keep,
govee-27,2,28,49,7,75.3333333333,4,3,8,,,,3.8849192460378013,27,10,20,0.500000,1.294973082,2.589946164,3,2026-04-28 18:53:03.895,2026-04-28 18:54:03.948,T6ncwg==,COMPACT,26.0833333333,47.3966666667,0.261,3.76,-1,48,8,1,30,176.3333333333,45.389188852,keep,
govee-28,5,60,106,14,164,10,6,18,,,,8.455695788065592,28,17,33,0.515152,2.8749365679,5.5807592201,3,2026-04-28 18:56:03.866,2026-04-28 18:57:03.848,T6ncwg==,COMPACT,26.0633333333,47.49,0.3973333333,3.7553333333,-1,107,18,1,30,383,45.2949123998,keep,
govee-29,8,94,167,23,253.6666666667,16,10,27,,,,13.078743934631348,29,23,47,0.489362,4.2973015785,8.7814423561,3,2026-04-28 18:58:33.845,2026-04-28 18:59:33.836,T6ncwg==,COMPACT,26.0466666667,47.49,0.477,3.75,-1,161.6666666667,28,1,30,598.6666666667,45.7740184882,keep,
govee-30,11,122,218,30,334.6666666667,21,13,35.6666666667,,,,17.26282246907552,30,30,60,0.500000,5.7542741564,11.5085483127,3,2026-04-28 19:01:33.778,2026-04-28 19:02:33.786,T6ncwg==,COMPACT,26.05,47.58,0.5393333333,3.74,-1,217.3333333333,38,1,30,785.3333333334,45.4927538495,keep,
govee-32,2,24,41,6,78,5,3,10,,,,3.9593145847320557,32,12,18,0.666667,1.5837258339,2.3755887508,3,2026-04-28 19:07:03.723,2026-04-28 19:08:03.615,T6ncwg==,COMPACT,26.0366666667,47.58,0.2633333333,3.7266666667,-1,64.3333333333,10,1,30,169,42.6841556495,keep,
govee-33,5,53,93,13,167,12,6,21,,,,8.545125007629395,33,20,30,0.666667,3.4180500031,5.1270750046,4,2026-04-28 19:09:33.667,2026-04-28 19:11:03.578,T6ncwg==,COMPACT,26.0175,47.6375,0.3995,3.72625,-1,134,21,1,30,370,43.2995420979,keep,
govee-34,8,82.6666666667,145.6666666667,21,256.6666666667,18,9,32,,,,13.135794321695963,34,28,42,0.666667,5.2543177287,7.881476593,3,2026-04-28 19:12:33.507,2026-04-28 19:13:33.488,T6ncwg==,COMPACT,26.0866666667,47.61,0.4793333333,3.7216666667,-1,200.6666666667,32,1,30,573.0000000001,43.6212676575,keep,
govee-35,11,109.3333333333,194.6666666667,29,342.6666666667,24,13,42,,,,17.5900452931722,35,36,54,0.666667,7.0360181173,10.5540271759,3,2026-04-28 19:15:33.511,2026-04-28 19:16:33.441,T6ncwg==,COMPACT,26.0266666667,47.6766666667,0.5386666667,3.721,-1,268.6666666667,44,1,30,765.6666666667,43.5284079094,keep,
govee-37,2,37,66,8,75,3,3,4,,,,3.944328228632609,37,6,24,0.250000,0.7888656457,3.1554625829,3,2026-04-28 19:21:03.452,2026-04-28 19:22:03.405,T6ncwg==,COMPACT,26.08,47.6666666667,0.269,3.6926666667,-1,20,5,1,30,198,50.19866211,keep,
govee-38,4,76.25,135,17,159,7,6,11,,,,8.384188652038574,38,10,40,0.250000,1.6768377304,6.7073509216,4,2026-04-28 19:23:33.333,2026-04-28 19:25:03.267,T6ncwg==,COMPACT,26.0525,47.665,0.39925,3.7,-1,51,13,1,30,415.25,49.5277500583,keep,
govee-39,7,113,201,25,241.6666666667,12,10,17,,,,12.732152938842773,39,14,56,0.250000,2.5464305878,10.1857223511,3,2026-04-28 19:26:33.302,2026-04-28 19:27:33.282,T6ncwg==,COMPACT,26.06,47.7333333333,0.4756666667,3.6893333333,-1,87,20,1,30,626.6666666667,49.2192223638,keep,
