ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,1.3333333333,1,1,1,43,5,1,9,,,,5.996113618214925,2,30,0,inf,5.9961136182,0,3,2026-04-29 10:46:45.310,2026-04-29 10:47:45.248,T6ncwg==,COMPACT,28.5533333333,41.0166666667,0.2036666667,4.6103333333,-1,72,10,1,30,62.3333333333,10.3956224485,keep,
govee-03,3,2,3,3,78,9,2.3333333333,17,,,,10.949738184611002,3,50,0,inf,10.9497381846,0,3,2026-04-29 10:49:15.223,2026-04-29 10:50:15.275,T6ncwg==,COMPACT,28.3466666667,41.1,0.2386666667,4.593,-1,131,19,1,30,117.3333333333,10.7156291187,keep,
govee-04,4.3333333333,4,4,4,111.3333333333,13,3,24,,,,15.693772951761881,4,70,0,inf,15.6937729518,0,3,2026-04-29 10:52:15.225,2026-04-29 10:53:15.158,T6ncwg==,COMPACT,28.1733333333,41.1633333333,0.2953333333,4.5766666667,-1,187,27,1,30,167.6666666666,10.6836429444,keep,
govee-05,5,5,5,6,144.6666666667,16,4,31,,,,20.40257199605306,5,90,0,inf,20.4025719961,0,3,2026-04-29 10:54:45.138,2026-04-29 10:55:45.191,T6ncwg==,COMPACT,28.0866666667,41.42,0.343,4.5643333333,-1,243,36,1,30,216.6666666667,10.6195761352,keep,
govee-08,2,4,6,3,67,7,2,14,,,,9.434396107991537,8,40,10,4.000000,7.5475168864,1.8868792216,3,2026-04-29 11:03:44.970,2026-04-29 11:04:45.023,T6ncwg==,COMPACT,27.4933333333,41.7533333333,0.219,4.527,-1,106,14,1,30,105,11.1294881833,keep,
govee-09,3,7,10,4,97.5,10.75,3,21,,,,13.829582214355469,9,56,14,4.000000,11.0636657715,2.7659164429,4,2026-04-29 11:06:14.887,2026-04-29 11:07:44.905,T6ncwg==,COMPACT,27.2875,41.895,0.28075,4.51825,-1,153,21,1,30,156.25,11.2982444139,keep,
govee-10,5,10,16,6,129,14,4,26.6666666667,,,,18.495529810587566,10,72,18,4.000000,14.7964238485,3.6991059621,3,2026-04-29 11:09:14.830,2026-04-29 11:10:14.918,T6ncwg==,COMPACT,27.1966666667,41.9733333333,0.3283333333,4.5103333333,-1,198.6666666667,28,1,30,210.6666666667,11.390139608,keep,
govee-13,2,9,16,3,59,5,2,11,,,,8.878896395365397,13,30,20,1.500000,5.3273378372,3.5515585581,4,2026-04-29 11:17:44.725,2026-04-29 11:19:14.706,T6ncwg==,COMPACT,26.8925,42.3975,0.208,4.483,-1,77,10.5,1,30,107,12.0510472513,keep,
govee-14,3,16,27,5,90,8,3,16,,,,13.591081301371256,14,42,28,1.500000,8.1546487808,5.4364325205,3,2026-04-29 11:20:44.669,2026-04-29 11:21:44.582,T6ncwg==,COMPACT,26.78,42.5033333333,0.2746666667,4.456,-1,113,16,1,30,168,12.3610473865,keep,
govee-15,4,22,39,8,120.25,11,4,21,,,,18.347815195719402,15,54,36,1.500000,11.0086891174,7.3391260783,4,2026-04-29 11:23:14.631,2026-04-29 11:24:44.534,T6ncwg==,COMPACT,26.6175,42.585,0.328,4.44075,-1,148.25,22,1,30,229.25,12.4946756633,keep,
