ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,4,3,4,4,107.3333333333,12,3,23.3333333333,,,,5.955445607503255,2,30,0,inf,5.9554456075,0,3,2026-04-29 16:35:38.475,2026-04-29 16:36:38.471,T6ncwg==,COMPACT,25.7733333333,49.42,0.2933333333,3.9556666667,-1,174.6666666667,24,1,30,160.6666666666,26.9781099947,keep,
govee-03,7,6,7,7,194.3333333333,22,6.3333333333,43,,,,10.804673194885254,3,50,0,inf,10.8046731949,0,3,2026-04-29 16:38:38.417,2026-04-29 16:39:38.328,T6ncwg==,COMPACT,25.7433333333,49.43,0.3916666667,3.9346666667,-1,317,43.3333333333,1,30,292.6666666666,27.0870447803,keep,
govee-04,10,9,10,11,276.5,31.75,8,60.25,,,,15.460137685139975,4,70,0,inf,15.4601376851,0,4,2026-04-29 16:41:08.294,2026-04-29 16:42:38.352,T6ncwg==,COMPACT,25.795,49.4125,0.4575,3.92475,-1,450.75,63,1,30,416.5,26.9402516641,keep,
govee-05,13,12,13,14,357,41,11,76.6666666667,,,,19.966883341471355,5,90,0,inf,19.9668833415,0,3,2026-04-29 16:44:08.309,2026-04-29 16:45:08.299,T6ncwg==,COMPACT,25.74,49.41,0.5083333333,3.9046666667,-1,582,83,1,30,537.6666666667,26.9279214723,keep,
govee-07,3,5,8,4,89.25,10,2,20,,,,4.929990450541179,7,24,6,4.000000,3.9439923604,0.9859980901,4,2026-04-29 16:49:38.227,2026-04-29 16:51:08.195,T6ncwg==,COMPACT,25.7175,49.4175,0.26225,3.89125,-1,138.5,18,1,30,141.25,28.6511711163,keep,
govee-08,6,11,17,7,166,18,5,36,,,,9.177702903747559,8,40,10,4.000000,7.342162323,1.8355405807,3,2026-04-29 16:52:38.088,2026-04-29 16:53:38.114,T6ncwg==,COMPACT,25.68,49.37,0.369,3.8743333333,-1,253.3333333333,33,1,30,266,28.9832872985,keep,
govee-09,9,17,26,11,241.5,26,7,51.5,,,,13.37859026590983,9,56,14,4.000000,10.7028722127,2.6757180532,4,2026-04-29 16:55:08.060,2026-04-29 16:56:38.028,T6ncwg==,COMPACT,25.6725,49.485,0.4365,3.86375,-1,365.75,49,1,30,389,29.0763071645,keep,
govee-10,12,27,42,15,319.3333333333,34,10,65.3333333333,,,,17.852109909057617,10,72,18,4.000000,14.2816879272,3.5704219818,3,2026-04-29 16:58:07.992,2026-04-29 16:59:08.051,T6ncwg==,COMPACT,25.64,49.4766666667,0.4936666667,3.8506666667,-1,473.3333333333,66,1,30,524.6666666666,29.3896166526,keep,
govee-12,2,10,17,4,73.6666666667,7,2,14,,,,4.138480027516683,12,18,12,1.500000,2.4830880165,1.655392011,3,2026-04-29 17:03:37.903,2026-04-29 17:04:37.858,T6ncwg==,COMPACT,25.66,49.5066666667,0.241,3.8436666667,-1,97,13,1,30,129.6666666667,31.3319541968,keep,
govee-13,5,25,42.6666666667,9,149,14,5,27,,,,8.466410319010416,13,30,20,1.500000,5.0798461914,3.3865641276,3,2026-04-29 17:06:37.798,2026-04-29 17:07:37.831,T6ncwg==,COMPACT,25.55,49.56,0.3573333333,3.825,-1,183,25,1,30,276.6666666667,32.67815476,keep,
govee-14,8,41,71,14,226,21,7.25,40,,,,12.929415384928385,14,42,28,1.500000,7.757649231,5.171766154,4,2026-04-29 17:09:07.764,2026-04-29 17:10:37.809,T6ncwg==,COMPACT,25.5375,49.625,0.43425,3.8095,-1,269.5,38,1,30,428.25,33.1221472317,keep,
govee-15,10,58,100,19,303,27,10,51.3333333333,,,,17.432716369628906,15,54,36,1.500000,10.4596298218,6.9730865479,3,2026-04-29 17:12:07.750,2026-04-29 17:13:07.759,T6ncwg==,COMPACT,25.48,49.67,0.491,3.8076666667,-1,352.6666666667,51,1,30,578.3333333333,33.1751702414,keep,
govee-17,2,8,14,4,79.6666666667,8,2,16.6666666667,,,,4.425618966420491,17,20,10,2.000000,2.9504126443,1.4752063221,3,2026-04-29 17:17:37.615,2026-04-29 17:18:37.604,T6ncwg==,COMPACT,25.46,49.7266666667,0.2473333333,3.7883333333,-1,112,14,1,30,134.3333333334,30.353569603,keep,
govee-18,5,19,32,8,152.3333333333,15,5,31,,,,8.585376103719076,18,33,17,1.941176,5.6663482285,2.9190278753,3,2026-04-29 17:20:37.581,2026-04-29 17:21:37.602,T6ncwg==,COMPACT,25.47,49.7766666667,0.363,3.7743333333,-1,206,27,1,30,267.3333333333,31.1382203999,keep,
govee-19,8,33.6666666667,56,13,234.3333333333,23,7.3333333333,45,,,,13.221559842427572,19,47,23,2.043478,8.8773330371,4.3442268054,3,2026-04-29 17:23:07.467,2026-04-29 17:24:07.498,T6ncwg==,COMPACT,25.3166666667,49.7866666667,0.44,3.7656666667,-1,306.3333333333,42,1,30,420.3333333333,31.7915085922,keep,
govee-20,11,47,79.6666666667,18,308,30,10,56.6666666667,,,,17.54459571838379,20,60,30,2.000000,11.6963971456,5.8481985728,3,2026-04-29 17:26:07.454,2026-04-29 17:27:07.460,T6ncwg==,COMPACT,25.3433333333,49.8266666667,0.4963333333,3.76,-1,394,56,1,30,560.3333333334,31.9376600252,keep,
govee-22,2,13,22,4,66,6,2,11,,,,3.7766037782033286,22,15,15,1.000000,1.8883018891,1.8883018891,3,2026-04-29 17:31:37.416,2026-04-29 17:32:37.341,T6ncwg==,COMPACT,25.2266666667,49.7966666667,0.2253333333,3.7336666667,-1,75,10,1,30,126,33.3633093117,keep,
govee-23,5,35,60,10,145.3333333333,12,5,23,,,,8.476780891418457,23,25,25,1.000000,4.2383904457,4.2383904457,3,2026-04-29 17:34:37.317,2026-04-29 17:35:37.322,T6ncwg==,COMPACT,25.25,49.8133333333,0.3583333333,3.7303333333,-1,150,21,1,30,295.3333333333,34.8402698048,keep,
govee-24,7,54,94,16,219.25,18,8,34,,,,12.832537015279135,24,35,35,1.000000,6.4162685076,6.4162685076,4,2026-04-29 17:37:07.267,2026-04-29 17:38:37.255,T6ncwg==,COMPACT,25.23,50.025,0.43775,3.71825,-1,220.75,32,1,30,450.25,35.0865927341,keep,
govee-25,10,73.6666666667,129.6666666667,22,294.3333333333,24,10,44,,,,17.28761037190755,25,45,45,1.000000,8.643805186,8.643805186,3,2026-04-29 17:40:07.236,2026-04-29 17:41:07.147,T6ncwg==,COMPACT,25.28,50.07,0.4926666667,3.7093333333,-1,291.6666666667,44,1,30,607.6666666667,35.1504142906,keep,
govee-27,2,23,40,5,62,4,2,7,,,,3.723888635635376,27,10,20,0.500000,1.2412962119,2.4825924238,4,2026-04-29 17:45:37.110,2026-04-29 17:47:07.011,T6ncwg==,COMPACT,25.13,50.0725,0.23225,3.6925,-1,41,7,1,30,145,38.9377916978,keep,
govee-28,4,48.3333333333,85,12,135,9,5,15,,,,8.124187151590982,28,17,33,0.515152,2.7622236315,5.3619635201,3,2026-04-29 17:48:37.014,2026-04-29 17:49:36.946,T6ncwg==,COMPACT,25.25,50.1766666667,0.3583333333,3.683,-1,91,15,1,30,313.3333333333,38.567961014,keep,
govee-29,6,76,134,19,208,13,8,23,,,,12.558783213297525,29,23,47,0.489362,4.1264573415,8.4323258718,4,2026-04-29 17:51:07.026,2026-04-29 17:52:36.921,T6ncwg==,COMPACT,25.2275,50.245,0.43575,3.6785,-1,138,24,1,30,487,38.7776420477,keep,
govee-30,9,98,175.6666666667,25,274.6666666667,18,11,30.6666666667,,,,16.61087481180827,30,30,60,0.500000,5.5369582706,11.0739165412,3,2026-04-29 17:54:06.926,2026-04-29 17:55:06.900,T6ncwg==,COMPACT,25.1333333333,50.27,0.4846666667,3.6686666667,-1,185.6666666667,32,1,30,642.0000000001,38.6493792334,keep,
govee-32,2,19,33,5,64,4,2,9,,,,3.8340582052866616,32,12,18,0.666667,1.5336232821,2.3004349232,3,2026-04-29 17:59:36.830,2026-04-29 18:00:36.761,T6ncwg==,COMPACT,25.0966666667,50.3333333333,0.2333333333,3.647,-1,55,8,1,30,138,35.9931937939,keep,
govee-33,4,43,74.6666666667,11,138,10,5,18.3333333333,,,,8.269127209981283,33,20,30,0.666667,3.307650884,4.961476326,3,2026-04-29 18:02:36.756,2026-04-29 18:03:36.784,T6ncwg==,COMPACT,25.0666666667,50.41,0.3543333333,3.6333333333,-1,114,18,1,30,304,36.7632511002,keep,
govee-34,7,66.75,117,17,211.75,15,8,27.5,,,,12.690239906311035,34,28,42,0.666667,5.0760959625,7.6141439438,4,2026-04-29 18:05:06.670,2026-04-29 18:06:36.681,T6ncwg==,COMPACT,25.07,50.505,0.43325,3.63475,-1,171.25,27,1,30,470,37.0363368597,keep,
govee-35,9,88.3333333333,157,23.3333333333,283.3333333333,20,11,36,,,,16.955231348673504,35,36,54,0.666667,6.7820925395,10.1731388092,3,2026-04-29 18:08:06.677,2026-04-29 18:09:06.573,T6ncwg==,COMPACT,25.1233333333,50.57,0.4843333333,3.6083333333,-1,229.6666666667,37,1,30,627.9999999999,37.0387160803,keep,
govee-37,1,30,53,6,60.6666666667,2,2,4,,,,3.722108761469523,37,6,24,0.250000,0.7444217523,2.9776870092,3,2026-04-29 18:13:36.569,2026-04-29 18:14:36.511,T6ncwg==,COMPACT,25.0633333333,50.75,0.2526666667,3.602,-1,17,4,1,30,158.6666666667,42.6281650631,keep,
govee-38,4,62,109,13.6666666667,129,6,5,9,,,,7.928018728892009,38,10,40,0.250000,1.5856037458,6.3424149831,3,2026-04-29 18:16:36.432,2026-04-29 18:17:36.475,T6ncwg==,COMPACT,25.1233333333,50.89,0.359,3.6023333333,-1,44,10,1,30,337.6666666667,42.5915576405,keep,
govee-39,6,91,162,21,196.3333333333,10,8,15,,,,12.063201586405436,39,14,56,0.250000,2.4126403173,9.6505612691,3,2026-04-29 18:19:06.423,2026-04-29 18:20:06.442,T6ncwg==,COMPACT,25.0733333333,50.9,0.4276666667,3.5926666667,-1,74,17,1,30,509.3333333333,42.2220692977,keep,
govee-40,8,119.6666666667,215.3333333333,28,263.6666666667,13,11,20,,,,16.231957117716473,40,18,72,0.250000,3.2463914235,12.9855656942,3,2026-04-29 18:22:06.294,2026-04-29 18:23:06.392,T6ncwg==,COMPACT,25.1,51.0233333333,0.4896666667,3.5886666667,-1,104,23,1,30,678.6666666667,41.8105260964,keep,
govee-42,2.3333333333,41,72.6666666667,8,71,2,3,2,,,,4.509556770324707,42,0,30,0.000000,0,4.5095567703,3,2026-04-29 18:27:36.293,2026-04-29 18:28:36.201,T6ncwg==,COMPACT,25.1533333333,51.1566666667,0.2656666667,3.5703333333,-1,3,4,1,30,202,44.7937591848,keep,
govee-43,4,79,141,17,137,4,6,4,,,,8.74371337890625,43,0,50,0.000000,0,8.7437133789,3,2026-04-29 18:30:36.233,2026-04-29 18:31:36.129,T6ncwg==,COMPACT,25.13,51.27,0.3726666667,3.5623333333,-1,6,7,1,30,392,44.8322106424,keep,
govee-44,5,114.75,206,25,200,6,9,6.75,,,,12.721940994262695,44,0,70,0.000000,0,12.7219409943,4,2026-04-29 18:33:06.188,2026-04-29 18:34:36.151,T6ncwg==,COMPACT,25.1825,51.3125,0.444,3.557,-1,9.25,11,1,30,572.5,45.0009947584,keep,
govee-45,7,150.6666666667,274,33,264.6666666667,8.6666666667,12,9,,,,16.92585563659668,45,0,90,0.000000,0,16.9258556366,3,2026-04-29 18:36:06.065,2026-04-29 18:37:06.075,T6ncwg==,COMPACT,25.25,51.3233333333,0.496,3.555,-1,13,14,1,30,759.0000000001,44.8426369866,keep,
