ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-02,3.3333333333,3,3,3,87.6666666667,10,2,18.3333333333,,,,6.4943586985270185,2,30,0,inf,6.4943586985,0,3,2026-04-30 10:49:17.093,2026-04-30 10:50:17.071,T6ncwg==,COMPACT,27.54,49.2233333333,0.2506666667,4.6203333333,-1,143,21,1,30,130.3333333333,20.0686995258,keep,
govee-03,6.25,5,6,6,159.75,18,5,34,,,,11.892420450846354,3,50,0,inf,11.8924204508,0,4,2026-04-30 10:51:46.986,2026-04-30 10:53:17.007,T6ncwg==,COMPACT,27.4375,49.2675,0.34875,4.60875,-1,260.25,37,1,30,240,20.1809212004,keep,
govee-04,8,7,8,9,228,26,7,48,,,,17.049343744913738,4,70,0,inf,17.0493437449,0,3,2026-04-30 10:54:46.932,2026-04-30 10:55:46.959,T6ncwg==,COMPACT,27.3733333333,49.28,0.4163333333,4.5936666667,-1,371.6666666667,54,1,30,341,20.0007698303,keep,
govee-05,11,10,11,11,295,33.6666666667,9.3333333333,61.3333333333,,,,22.1085262298584,5,90,0,inf,22.1085262299,0,3,2026-04-30 10:57:46.950,2026-04-30 10:58:46.894,T6ncwg==,COMPACT,27.1466666667,49.4033333333,0.459,4.5886666667,-1,480.3333333333,71,1,30,442.3333333333,20.0073640701,keep,
govee-07,2,4,6,3,74,8,2,16,,,,5.510322093963623,7,24,6,4.000000,4.4082576752,1.1020644188,3,2026-04-30 11:03:16.739,2026-04-30 11:04:16.733,T6ncwg==,COMPACT,26.9833333333,49.4966666667,0.227,4.552,-1,115,15,1,30,115,20.8699233981,keep,
govee-08,5,9,13,6,138,15,4,29.3333333333,,,,10.285822232564291,8,40,10,4.000000,8.2286577861,2.0571644465,3,2026-04-30 11:06:16.689,2026-04-30 11:07:16.653,T6ncwg==,COMPACT,26.83,49.67,0.3253333333,4.541,-1,211,28,1,30,219.3333333333,21.3238502838,keep,
govee-09,7,14,21,9,200.3333333333,22,6,42,,,,15.08057689666748,9,56,14,4.000000,12.0644615173,3.0161153793,3,2026-04-30 11:08:46.622,2026-04-30 11:09:46.711,T6ncwg==,COMPACT,26.71,49.7033333333,0.4013333333,4.5446666667,-1,305.3333333333,42,1,30,321.3333333333,21.3077613367,keep,
govee-10,10,21,33,12,265,28.3333333333,8,53.6666666667,,,,20.059785842895508,10,72,18,4.000000,16.0478286743,4.0119571686,3,2026-04-30 11:11:46.609,2026-04-30 11:12:46.543,T6ncwg==,COMPACT,26.6033333333,49.83,0.451,4.5183333333,-1,395,56,1,30,431,21.4857727483,keep,
govee-12,2,8,13,3,61,6,2,12,,,,4.6983536084493,12,18,12,1.500000,2.8190121651,1.8793414434,3,2026-04-30 11:17:46.558,2026-04-30 11:18:46.514,T6ncwg==,COMPACT,26.41,49.93,0.204,4.5123333333,-1,81,11,1,30,107,22.7739350669,keep,
govee-13,4,20,34,7,123,11.75,4,23,,,,9.634648005167643,13,30,20,1.500000,5.7807888031,3.8538592021,4,2026-04-30 11:20:16.477,2026-04-30 11:21:46.462,T6ncwg==,COMPACT,26.35,50.115,0.32075,4.49425,-1,154,21,1,30,226.75,23.5348504562,keep,
govee-14,6,32.25,56,11,186,17,6,33,,,,14.737640062967936,14,42,28,1.500000,8.8425840378,5.8950560252,4,2026-04-30 11:23:16.419,2026-04-30 11:24:46.379,T6ncwg==,COMPACT,26.275,50.2325,0.3935,4.47225,-1,225.75,32,1,30,347.25,23.5621170361,keep,
govee-15,9,45.6666666667,79.3333333333,16,249,23,8,42.6666666667,,,,19.897785822550457,15,54,36,1.500000,11.9386714935,7.959114329,3,2026-04-30 11:26:16.287,2026-04-30 11:27:16.348,T6ncwg==,COMPACT,26.2166666667,50.29,0.4486666667,4.4593333333,-1,296,43,1,30,472.6666666667,23.7547368779,keep,
govee-17,2,7,11,3,66,7,2,14,,,,5.0249738693237305,17,20,10,2.000000,3.3499825795,1.6749912898,4,2026-04-30 11:31:46.247,2026-04-30 11:33:16.170,T6ncwg==,COMPACT,26.05,50.4325,0.21925,4.43975,-1,94,12,1,30,112,22.288673118,keep,
govee-18,4,15,25,6.6666666667,126,13,4,25,,,,9.727739651997885,18,33,17,1.941176,6.4203081703,3.3074314817,3,2026-04-30 11:34:46.144,2026-04-30 11:35:46.198,T6ncwg==,COMPACT,26.0233333333,50.4833333333,0.3253333333,4.426,-1,173,23,1,30,218.6666666667,22.4786717664,keep,
