# Start @ 2026-03-19 12:31:39 - run=20260319_123133_h3_pC-0319
id,timestamp,device_id,update_type,temperature,humidity,a1_raw,vcap_raw,co2_ppm,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
3,2026-03-19 12:32:24.437,L_6vSQ==,COMPACT,29.13,66.72,0.860,4.705,,18.00,178.00,114.00,18.00,488.00,45.00,22.00,23.00,252.00,318.00,1,10
4,2026-03-19 12:32:44.422,L_6vSQ==,COMPACT,29.13,66.41,0.831,4.701,,18.00,178.00,113.00,18.00,487.00,45.00,22.00,23.00,252.00,317.00,1,10
# SEGMENT @ 2026-03-19 12:33:34.427 segment_id=1 pwm_r=5 pwm_b=5 rb_ratio_pwm=1.000000 PPFD_spec_mean=30.615168889363606 ppfd_red_mean=18.46441078186035 ppfd_blue_mean=11.92402458190918
7,2026-03-19 12:33:44.472,L_6vSQ==,COMPACT,29.13,66.99,0.964,4.708,,23.00,238.00,148.00,18.00,645.00,33.00,23.00,23.00,359.00,452.00,1,10
8,2026-03-19 12:33:54.410,L_6vSQ==,COMPACT,28.99,66.92,0.964,4.702,,23.00,238.00,147.00,18.00,644.00,33.00,23.00,23.00,360.00,452.00,1,10
9,2026-03-19 12:34:14.491,L_6vSQ==,COMPACT,28.99,66.71,0.906,4.701,,23.00,238.00,147.00,18.00,644.00,33.00,23.00,23.00,360.00,452.00,1,10
10,2026-03-19 12:34:24.429,L_6vSQ==,COMPACT,28.81,66.62,0.892,4.702,,23.00,238.00,147.00,18.00,644.00,33.00,23.00,23.00,360.00,452.00,1,10
11,2026-03-19 12:34:34.472,L_6vSQ==,COMPACT,29.06,66.68,0.876,4.706,,23.00,238.00,147.00,18.00,644.00,33.00,23.00,23.00,360.00,452.00,1,10
# SEGMENT @ 2026-03-19 12:34:44.413 segment_id=2 pwm_r=8 pwm_b=8 rb_ratio_pwm=1.000000 PPFD_spec_mean=43.735435485839844 ppfd_red_mean=27.618622461954754 ppfd_blue_mean=16.063159306844074
13,2026-03-19 12:35:04.402,L_6vSQ==,COMPACT,28.87,66.57,0.977,4.714,,28.00,283.00,175.00,22.00,783.00,40.00,28.00,29.00,443.00,556.00,1,10
14,2026-03-19 12:35:34.435,L_6vSQ==,COMPACT,28.94,66.58,0.926,4.718,,28.00,282.00,173.00,22.00,782.00,40.00,28.00,29.00,443.00,556.00,1,10
15,2026-03-19 12:35:44.372,L_6vSQ==,COMPACT,28.87,66.48,0.935,4.729,,28.00,282.00,174.00,22.00,782.00,40.00,28.00,29.00,443.00,555.00,1,10
# SEGMENT @ 2026-03-19 12:36:04.358 segment_id=3 pwm_r=10 pwm_b=10 rb_ratio_pwm=1.000000 PPFD_spec_mean=53.221808115641274 ppfd_red_mean=34.16165288289388 ppfd_blue_mean=18.98185157775879
17,2026-03-19 12:36:34.383,L_6vSQ==,COMPACT,28.71,66.61,1.053,4.708,,33.00,326.00,200.00,26.00,920.00,47.00,33.00,34.00,527.00,660.00,1,10
18,2026-03-19 12:36:44.431,L_6vSQ==,COMPACT,28.87,66.54,0.978,4.710,,33.00,326.00,200.00,26.00,920.00,47.00,33.00,34.00,527.00,660.00,1,10
19,2026-03-19 12:37:04.407,L_6vSQ==,COMPACT,28.82,66.75,0.971,4.721,,33.00,326.00,200.00,26.00,920.00,47.00,33.00,34.00,527.00,660.00,1,10
20,2026-03-19 12:37:14.343,L_6vSQ==,COMPACT,28.84,66.71,0.972,4.718,,33.00,326.00,200.00,26.00,920.00,47.00,33.00,34.00,526.00,660.00,1,10
# SEGMENT @ 2026-03-19 12:37:34.429 segment_id=4 pwm_r=12 pwm_b=12 rb_ratio_pwm=1.000000 PPFD_spec_mean=62.059014638264976 ppfd_red_mean=40.36552937825521 ppfd_blue_mean=21.638484954833984
22,2026-03-19 12:37:54.409,L_6vSQ==,COMPACT,28.69,66.57,1.023,4.728,,41.00,392.00,238.00,31.00,1126.00,58.00,41.00,42.00,651.00,817.00,1,10
23,2026-03-19 12:38:14.393,L_6vSQ==,COMPACT,28.67,66.63,1.024,4.722,,41.00,392.00,238.00,31.00,1127.00,58.00,41.00,42.00,651.00,817.00,1,10
24,2026-03-19 12:38:34.377,L_6vSQ==,COMPACT,28.78,66.65,1.022,4.694,,41.00,393.00,238.00,31.00,1126.00,58.00,41.00,42.00,651.00,816.00,1,10
25,2026-03-19 12:38:44.318,L_6vSQ==,COMPACT,28.63,66.71,1.020,4.699,,41.00,393.00,238.00,31.00,1126.00,58.00,41.00,42.00,651.00,817.00,1,10
# SEGMENT @ 2026-03-19 12:38:54.364 segment_id=5 pwm_r=15 pwm_b=15 rb_ratio_pwm=1.000000 PPFD_spec_mean=76.6126937866211 ppfd_red_mean=50.37062072753906 ppfd_blue_mean=26.16070048014323
27,2026-03-19 12:39:14.335,L_6vSQ==,COMPACT,28.63,66.64,1.059,4.704,,48.00,459.00,277.00,37.00,1333.00,69.00,49.00,50.00,776.00,975.00,1,10
28,2026-03-19 12:39:44.348,L_6vSQ==,COMPACT,28.52,66.94,1.061,4.700,,48.00,459.00,277.00,37.00,1333.00,69.00,49.00,50.00,776.00,974.00,1,10
29,2026-03-19 12:39:54.289,L_6vSQ==,COMPACT,28.74,66.81,1.056,4.694,,48.00,459.00,277.00,37.00,1333.00,69.00,49.00,50.00,776.00,974.00,1,10
30,2026-03-19 12:40:04.327,L_6vSQ==,COMPACT,28.56,66.71,1.059,4.702,,48.00,459.00,277.00,37.00,1333.00,69.00,49.00,50.00,776.00,974.00,1,10
# SEGMENT @ 2026-03-19 12:40:34.351 segment_id=6 pwm_r=18 pwm_b=18 rb_ratio_pwm=1.000000 PPFD_spec_mean=91.13063049316406 ppfd_red_mean=60.37508010864258 ppfd_blue_mean=30.653568903605144
