Model,HPCS-310P-148016384
Version,2.00.09
Mark
Test Date,2025/10/08 19:21
PAR(mW/cm²),11.378
PPFD(umol/㎡/s),580.768
PPFD-UV(umol/㎡/s),0.126
PPFD-B(umol/㎡/s),97.996
PPFD-G(umol/㎡/s),0.603
PPFD-R(umol/㎡/s),482.169
PPFD-FR(umol/㎡/s),1.922
PPFD-IR(umol/㎡/s),0.000
Kppfv(umol/s/klm),104.000
Erb Ratio,3.391
YPFD(umol/m²/s),518.857
Ech-A(mW/cm²),0.484
Ech-B(mW/cm²),0.177
DLI(mol/m²d),47.238
CLI(mol/m²),0.387
E(lx),5584.3
Candle E(fc),518.99
CCT(K),1363
Duv,-0.18106
x,0.3351
y,0.1080
u,0.3697
v,0.1787
u’,0.3697
v’,0.2681
SDCM,100.00
Ra,-68.6
R1,-100
R2,-100
R3,-100
R4,38
R5,-100
R6,-100
R7,-100
R8,13
R9,-100
R10,-100
R11,68
R12,-100
R13,-100
R14,-100
R15,-100
Ee(mW/cm²),11.347
S/P,4.0
Dominant(nm),554.1
Purity(%),67.9
Half width(nm),20.2
Peak(nm),662.9
Center(nm),661.4
Centroid(nm),612.7
R ratio(%),77.2
G ratio(%),0.2
B ratio(%),22.6
Integrat.Time(ms),1
Peak Signal,57736
Dark Signal,3475
Compensate level,2510
StartTestWave,380
EndTestWave,780
380,0.29762449860572815
381,2.103208303451538
382,3.4028327465057373
383,3.0093061923980713
384,1.0317673683166504
385,0.48280420899391174
386,0.052910216152668
387,0
388,0
389,0
390,0.11243269592523575
391,1.2301836013793945
392,3.525195837020874
393,4.788453102111816
394,4.748767375946045
395,3.874077796936035
396,2.6885387897491455
397,1.755991816520691
398,1.6600897312164307
399,1.385608196258545
400,2.2369840145111084
401,2.2549757957458496
402,1.449917197227478
403,0.24593430757522583
404,0
405,0
406,0.10201746225357056
407,0.8886083960533142
408,1.9048688411712646
409,1.9057074785232544
410,0.8579311966896057
411,0
412,0
413,0
414,0.028885573148727417
415,0.9497891664505005
416,2.6688027381896973
417,4.588444709777832
418,6.864037990570068
419,9.352540016174316
420,11.464566230773926
421,13.131400108337402
422,15.191300392150879
423,17.410598754882812
424,20.492568969726562
425,24.951852798461914
426,30.428964614868164
427,35.20929718017578
428,41.09984588623047
429,48.88069534301758
430,58.28791809082031
431,69.52229309082031
432,84.18663024902344
433,102.52488708496094
434,124.25567626953125
435,149.95237731933594
436,184.95840454101562
437,225.95790100097656
438,264.1158752441406
439,304.4577331542969
440,350.0210876464844
441,402.3658752441406
442,460.0764465332031
443,524.6132202148438
444,599.1972045898438
445,679.5271606445312
446,764.4721069335938
447,849.4237060546875
448,934.7003784179688
449,1008.750244140625
450,1067.3714599609375
451,1108.8870849609375
452,1128.881103515625
453,1118.900634765625
454,1090.310302734375
455,1052.244140625
456,995.8471069335938
457,928.705078125
458,860.1875
459,789.5974731445312
460,718.5621337890625
461,651.7896728515625
462,593.18994140625
463,535.6146850585938
464,487.1819152832031
465,446.1802062988281
466,410.85516357421875
467,379.5303649902344
468,348.7980041503906
469,317.9741516113281
470,290.9480285644531
471,263.7579650878906
472,236.10186767578125
473,207.33094787597656
474,180.17575073242188
475,154.59300231933594
476,131.7942352294922
477,112.51324462890625
478,97.18759155273438
479,84.44719696044922
480,73.60784912109375
481,64.67733764648438
482,57.25033187866211
483,50.68618392944336
484,44.413448333740234
485,38.73261642456055
486,33.08945846557617
487,28.769933700561523
488,25.44470977783203
489,22.924888610839844
490,20.991230010986328
491,19.79474449157715
492,18.494403839111328
493,16.162269592285156
494,13.99732494354248
495,12.097962379455566
496,10.005865097045898
497,8.335193634033203
498,7.224700450897217
499,5.967437744140625
500,5.006951808929443
501,4.131381511688232
502,2.546408176422119
503,1.742514729499817
504,1.8015304803848267
505,2.076897144317627
506,2.5268452167510986
507,3.3708577156066895
508,3.7064692974090576
509,3.4868271350860596
510,2.613050937652588
511,1.890119194984436
512,1.549684762954712
513,1.1966472864151
514,0.6789180040359497
515,0.6749528050422668
516,0.7188161015510559
517,0.5219365954399109
518,0.5382758975028992
519,1.1063532829284668
520,1.63064706325531
521,2.461728811264038
522,2.738309383392334
523,2.5913453102111816
524,2.345153331756592
525,1.9732251167297363
526,1.2589161396026611
527,1.0440707206726074
528,1.004673957824707
529,1.0160993337631226
530,0.9290655255317688
531,1.1307038068771362
532,0.9018639922142029
533,0.6712955236434937
534,0.49505922198295593
535,0.6016008853912354
536,0.782934308052063
537,1.2629754543304443
538,1.5530202388763428
539,1.6698232889175415
540,1.7574068307876587
541,1.7414813041687012
542,1.2439056634902954
543,0.9560487866401672
544,0.9681764245033264
545,0.9269000887870789
546,0.6312230229377747
547,0.939316987991333
548,1.0705573558807373
549,0.7411317825317383
550,0.6728441119194031
551,0.4947216510772705
552,0.4850068688392639
553,0.7101213932037354
554,0.9794793128967285
555,0.7378091216087341
556,0.8980816006660461
557,0.4172462522983551
558,0.3011379837989807
559,0.31452831625938416
560,0.4767278730869293
561,0.536734938621521
562,0.9866594672203064
563,1.1089996099472046
564,0.5873461365699768
565,0.07991129904985428
566,0
567,0
568,0
569,0
570,0.19250115752220154
571,0.8592235445976257
572,1.5203341245651245
573,1.819844126701355
574,1.617714285850525
575,1.1248595714569092
576,0.6707804203033447
577,0.05886239558458328
578,0
579,0
580,0
581,0
582,0
583,0
584,0.4627826511859894
585,1.2960972785949707
586,1.531558871269226
587,1.6181485652923584
588,1.39182710647583
589,1.398392915725708
590,1.5400358438491821
591,1.4517518281936646
592,1.6837040185928345
593,1.7902412414550781
594,1.950233817100525
595,2.2032361030578613
596,2.713529109954834
597,3.2747836112976074
598,4.133928298950195
599,4.759550094604492
600,4.860910892486572
601,5.355607509613037
602,5.856677532196045
603,6.264464855194092
604,6.954907417297363
605,8.387913703918457
606,10.385108947753906
607,13.044500350952148
608,15.807907104492188
609,18.915477752685547
610,21.909358978271484
611,24.994380950927734
612,28.06074333190918
613,30.816171646118164
614,34.4024658203125
615,39.93404769897461
616,45.707794189453125
617,52.2835578918457
618,60.47737121582031
619,69.6587142944336
620,79.6631851196289
621,91.80162811279297
622,105.4969482421875
623,119.5202865600586
624,134.02252197265625
625,150.49705505371094
626,167.5944061279297
627,185.51992797851562
628,205.3736114501953
629,228.27857971191406
630,248.72434997558594
631,271.1673889160156
632,298.9244384765625
633,329.76641845703125
634,362.2825927734375
635,397.5252380371094
636,436.6202697753906
637,478.5039367675781
638,526.0582275390625
639,580.5023193359375
640,640.0823974609375
641,704.16064453125
642,777.01513671875
643,856.8084106445312
644,942.718505859375
645,1022.9491577148438
646,1109.4852294921875
647,1222.0860595703125
648,1340.4630126953125
649,1466.427978515625
650,1602.2786865234375
651,1747.1253662109375
652,1901.6573486328125
653,2066.864013671875
654,2239.99951171875
655,2418.496337890625
656,2606.205322265625
657,2804.103515625
658,3005.9423828125
659,3173.5849609375
660,3330.979736328125
661,3492.373291015625
662,3605.54345703125
663,3654.8779296875
664,3627.538818359375
665,3515.724609375
666,3326.5263671875
667,3080.496337890625
668,2795.9443359375
669,2485.987548828125
670,2174.933837890625
671,1935.2738037109375
672,1712.37451171875
673,1461.14990234375
674,1243.3455810546875
675,1057.04345703125
676,895.135986328125
677,754.9091796875
678,639.5601806640625
679,540.2318115234375
680,454.9539794921875
681,382.96771240234375
682,321.41796875
683,273.3683776855469
684,229.39996337890625
685,184.22434997558594
686,146.06927490234375
687,116.10462188720703
688,91.5427017211914
689,74.04647827148438
690,61.64901351928711
691,51.991390228271484
692,43.42906188964844
693,36.54286575317383
694,31.886816024780273
695,28.03254508972168
696,23.71379280090332
697,20.43972396850586
698,17.87287712097168
699,15.741251945495605
700,13.616799354553223
701,12.101892471313477
702,10.412214279174805
703,9.104239463806152
704,8.340465545654297
705,7.830417633056641
706,7.424288749694824
707,6.861804008483887
708,6.501927375793457
709,5.96990966796875
710,5.13429069519043
711,4.747459888458252
712,4.484278202056885
713,3.737375497817993
714,3.0716004371643066
715,2.531741142272949
716,1.9058970212936401
717,0.7578473687171936
718,0.42780712246894836
719,0.09686803072690964
720,0.6073991060256958
721,1.5166535377502441
722,1.6861759424209595
723,1.9124419689178467
724,2.1492648124694824
725,2.2018561363220215
726,2.09751033782959
727,2.923546314239502
728,3.9780561923980713
729,4.540160655975342
730,5.322100639343262
731,5.525110244750977
732,5.366273880004883
733,4.989208698272705
734,3.944119930267334
735,3.1444382667541504
736,2.523754835128784
737,2.2023508548736572
738,2.084469795227051
739,3.09018874168396
740,3.8837196826934814
741,4.397912979125977
742,3.378330945968628
743,2.0588579177856445
744,1.2045918703079224
745,0.804307222366333
746,0.8110788464546204
747,1.7616589069366455
748,3.4589240550994873
749,4.744690418243408
750,4.957724571228027
751,4.45991325378418
752,4.875908374786377
753,4.118969917297363
754,3.7847514152526855
755,4.838842391967773
756,5.499870300292969
757,5.53516960144043
758,5.828465938568115
759,5.9783034324646
760,4.3537139892578125
761,3.3386027812957764
762,2.7876710891723633
763,3.0299301147460938
764,3.422576665878296
765,3.721524238586426
766,3.7685625553131104
767,3.33247709274292
768,2.515803098678589
769,2.432170867919922
770,2.815978527069092
771,3.0496010780334473
772,3.334278106689453
773,3.77658748626709
774,3.3846209049224854
775,2.0322062969207764
776,1.938139796257019
777,2.8159964084625244
778,4.462853908538818
779,5.385254383087158
780,6.553685188293457
