Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/09 20:01
PAR(mW/cm²),0.07517954707145691
PPFD(umol/㎡/s),3.4273746013641357
PPFD-UV(umol/㎡/s),0.0014044101117178798
PPFD-B(umol/㎡/s),0.5719029903411865
PPFD-G(umol/㎡/s),1.5012145042419434
PPFD-R(umol/㎡/s),1.3542568683624268
PPFD-FR(umol/㎡/s),0.11370760947465897
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),12.145889282226562
Erb Ratio,1.7493641376495361
YPFD(umol/m²/s),3.147402286529541
Ech-A(mW/cm²),0.0011725937947630882
Ech-B(mW/cm²),0.0005416875937953591
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),282.1839294433594
Candle E(fc),26.225271224975586
CCT(K),3566.248046875
Duv,0.00858765933662653
x,0.4105290472507477
y,0.4136265218257904
u,0.2299090474843979
v,0.3474656045436859
u’,0.2299090474843979
v’,0.5211983919143677
SDCM,9.229555130004883
Ra,81.87199401855469
R1,96.32305145263672
R2,89.34564971923828
R3,48.5484504699707
R4,88.19140625
R5,83.29191589355469
R6,72.54228973388672
R7,91.58954620361328
R8,85.14359283447266
R9,36.350364685058594
R10,40.563453674316406
R11,67.86605834960938
R12,41.019500732421875
R13,95.24513244628906
R14,65.2422103881836
R15,96.40968322753906
Ee(mW/cm²),0.07639109343290329
S/P,1.4005658626556396
Dominant(nm),577.5999755859375
Purity(%),47.395790100097656
Half width(nm),11.0633544921875
Peak(nm),547.0796508789062
Center(nm),546.9147338867188
Centroid(nm),563.5999755859375
R ratio(%),37.45803451538086
G ratio(%),46.72245788574219
B ratio(%),15.819504737854004
Integrat.Time(ms),150.0
Peak Signal,53838.0
Dark Signal,2367.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.020569104701280594
381,0.025750042870640755
382,0.016622858121991158
383,0.018430694937705994
384,0.01865118369460106
385,0.010516082867980003
386,0.010141306556761265
387,0.01563069596886635
388,0.012147430330514908
389,0.00478400057181716
390,0.0036596739664673805
391,0.0
392,0.0
393,0.0
394,0.003064408665522933
395,0.003472225507721305
396,0.02319265529513359
397,0.040013961493968964
398,0.04784033074975014
399,0.05943673849105835
400,0.09347108751535416
401,0.17364133894443512
402,0.3166210949420929
403,0.5033903121948242
404,0.7030603885650635
405,0.8779329657554626
406,0.9646928310394287
407,0.9045517444610596
408,0.7444443106651306
409,0.5611110925674438
410,0.3768356442451477
411,0.2281140387058258
412,0.16211847960948944
413,0.15450634062290192
414,0.1626366674900055
415,0.17674337327480316
416,0.1891041398048401
417,0.20078428089618683
418,0.21701155602931976
419,0.238197460770607
420,0.26233014464378357
421,0.2946804463863373
422,0.3239240348339081
423,0.36253923177719116
424,0.400580495595932
425,0.4519154131412506
426,0.5050071477890015
427,0.562382161617279
428,0.6207687854766846
429,0.6953016519546509
430,0.7918471097946167
431,0.9541043043136597
432,1.2909363508224487
433,1.9819297790527344
434,2.967254877090454
435,4.038069248199463
436,5.166491985321045
437,5.879573345184326
438,5.761012554168701
439,5.041444778442383
440,4.0731048583984375
441,3.059513807296753
442,2.1301541328430176
443,1.5180212259292603
444,1.2713441848754883
445,1.2024205923080444
446,1.181946039199829
447,1.1766347885131836
448,1.1767303943634033
449,1.1790313720703125
450,1.1767579317092896
451,1.1768418550491333
452,1.1803826093673706
453,1.1808407306671143
454,1.1844782829284668
455,1.2003419399261475
456,1.2142072916030884
457,1.231567621231079
458,1.2428455352783203
459,1.2445130348205566
460,1.2402664422988892
461,1.2284607887268066
462,1.2066229581832886
463,1.180899739265442
464,1.152032494544983
465,1.1167058944702148
466,1.0797759294509888
467,1.0333571434020996
468,0.9859054684638977
469,0.9488475918769836
470,0.9235433340072632
471,0.9075704216957092
472,0.9017517566680908
473,0.8924490213394165
474,0.8826136589050293
475,0.8716349601745605
476,0.865794837474823
477,0.8648806810379028
478,0.8756986260414124
479,0.9139319658279419
480,0.9839162230491638
481,1.097698450088501
482,1.2802811861038208
483,1.5530673265457153
484,1.904464602470398
485,2.3214075565338135
486,2.7606539726257324
487,3.1663637161254883
488,3.481475830078125
489,3.6716246604919434
490,3.72499680519104
491,3.6601760387420654
492,3.5008769035339355
493,3.282649040222168
494,3.0313005447387695
495,2.7733023166656494
496,2.5170979499816895
497,2.264470100402832
498,2.0222768783569336
499,1.7949024438858032
500,1.5734100341796875
501,1.35957932472229
502,1.1630326509475708
503,0.9872955679893494
504,0.8359927535057068
505,0.709747850894928
506,0.6109473705291748
507,0.535214364528656
508,0.48307734727859497
509,0.4479423761367798
510,0.4233720898628235
511,0.4059921205043793
512,0.3941739797592163
513,0.3800279498100281
514,0.3690917491912842
515,0.3626229465007782
516,0.3637564480304718
517,0.3702751398086548
518,0.37520331144332886
519,0.373511403799057
520,0.37349069118499756
521,0.370300829410553
522,0.3619486391544342
523,0.351023405790329
524,0.34618252515792847
525,0.34272927045822144
526,0.3388749659061432
527,0.341930091381073
528,0.35695546865463257
529,0.37797579169273376
530,0.4064611792564392
531,0.45460209250450134
532,0.5254405736923218
533,0.6240344643592834
534,0.7687373757362366
535,0.9961485266685486
536,1.3482179641723633
537,1.9117051362991333
538,2.8299546241760254
539,4.221805095672607
540,6.084674835205078
541,8.352494239807129
542,10.941145896911621
543,13.666658401489258
544,16.13431739807129
545,18.0695858001709
546,19.312376022338867
547,19.66690444946289
548,18.953689575195312
549,17.347923278808594
550,15.17322063446045
551,12.701556205749512
552,10.200117111206055
553,7.957705497741699
554,6.118570327758789
555,4.656362056732178
556,3.516496181488037
557,2.656075954437256
558,2.006978988647461
559,1.5201876163482666
560,1.2131073474884033
561,0.9813008904457092
562,0.778712809085846
563,0.6347721219062805
564,0.5359356999397278
565,0.4628713130950928
566,0.4073330760002136
567,0.3636082708835602
568,0.33430343866348267
569,0.309241384267807
570,0.28831541538238525
571,0.2750036418437958
572,0.2676638066768646
573,0.2828759253025055
574,0.34403225779533386
575,0.46502041816711426
576,0.659745454788208
577,0.9391689300537109
578,1.2786084413528442
579,1.6376569271087646
580,2.004638433456421
581,2.370882272720337
582,2.7012813091278076
583,2.9981818199157715
584,3.3093113899230957
585,3.5966455936431885
586,3.79435658454895
587,3.921726942062378
588,3.978325843811035
589,3.934426784515381
590,3.8230700492858887
591,3.719444751739502
592,3.6234536170959473
593,3.503645658493042
594,3.3823904991149902
595,3.2351033687591553
596,3.058519124984741
597,2.8685832023620605
598,2.6837916374206543
599,2.50852632522583
600,2.3618640899658203
601,2.241273880004883
602,2.106738328933716
603,1.9660747051239014
604,1.8677613735198975
605,1.8731786012649536
606,2.095167875289917
607,2.8163886070251465
608,4.358307361602783
609,6.682204246520996
610,9.520279884338379
611,12.564226150512695
612,15.243680000305176
613,16.621265411376953
614,16.90802764892578
615,16.209562301635742
616,14.61021900177002
617,12.432004928588867
618,10.191821098327637
619,8.33559513092041
620,6.910346031188965
621,5.843050956726074
622,5.091221332550049
623,4.6011271476745605
624,4.302844047546387
625,4.120755672454834
626,4.0042619705200195
627,3.942821979522705
628,3.9314980506896973
629,3.9385299682617188
630,3.934391975402832
631,3.8924238681793213
632,3.7570152282714844
633,3.480785846710205
634,3.058135747909546
635,2.577202081680298
636,2.1029810905456543
637,1.6621649265289307
638,1.2990410327911377
639,1.0387992858886719
640,0.8493838310241699
641,0.7072921395301819
642,0.6109439134597778
643,0.5504947900772095
644,0.5096056461334229
645,0.4909323751926422
646,0.4900243580341339
647,0.5108926296234131
648,0.5523174405097961
649,0.6147977113723755
650,0.696399450302124
651,0.7717574834823608
652,0.818206787109375
653,0.8322886824607849
654,0.8145834803581238
655,0.7689502239227295
656,0.7079436182975769
657,0.6463537216186523
658,0.5945013761520386
659,0.5695830583572388
660,0.5565276741981506
661,0.5525773763656616
662,0.5581865310668945
663,0.565004289150238
664,0.5619118213653564
665,0.5411813259124756
666,0.5103648900985718
667,0.4772421419620514
668,0.4446319043636322
669,0.414368212223053
670,0.3929796814918518
671,0.3747435212135315
672,0.3608601689338684
673,0.34070226550102234
674,0.31875255703926086
675,0.2935914099216461
676,0.2738102972507477
677,0.25694018602371216
678,0.2510124742984772
679,0.25274190306663513
680,0.26134398579597473
681,0.2712823748588562
682,0.280990868806839
683,0.2853899300098419
684,0.3026511073112488
685,0.3297617733478546
686,0.3638175427913666
687,0.3967543840408325
688,0.4277919828891754
689,0.4364452660083771
690,0.4290015995502472
691,0.40518951416015625
692,0.37699875235557556
693,0.35406944155693054
694,0.3396027088165283
695,0.3197959363460541
696,0.2921682894229889
697,0.2570275068283081
698,0.21438409388065338
699,0.1747802048921585
700,0.14597252011299133
701,0.14229066669940948
702,0.17191670835018158
703,0.24172557890415192
704,0.3334665298461914
705,0.46798697113990784
706,0.6813915371894836
707,0.9182985424995422
708,1.1612026691436768
709,1.3764092922210693
710,1.5432848930358887
711,1.6170787811279297
712,1.5854588747024536
713,1.4950127601623535
714,1.3513193130493164
715,1.132140040397644
716,0.8808678388595581
717,0.6684767007827759
718,0.5010024309158325
719,0.3733506500720978
720,0.28038865327835083
721,0.21551203727722168
722,0.17066897451877594
723,0.1398499459028244
724,0.11586318165063858
725,0.08431380242109299
726,0.06271969527006149
727,0.05174625292420387
728,0.04217049479484558
729,0.03751719743013382
730,0.043232548981904984
731,0.04408402740955353
732,0.04105107858777046
733,0.03508927300572395
734,0.03091883286833763
735,0.020766686648130417
736,0.01955820992588997
737,0.02015550620853901
738,0.023292092606425285
739,0.019777826964855194
740,0.02140270546078682
741,0.02400067076086998
742,0.030163338407874107
743,0.031106116250157356
744,0.03370126709342003
745,0.04231388494372368
746,0.04496769979596138
747,0.03720215708017349
748,0.03789669647812843
749,0.04481544718146324
750,0.043106723576784134
751,0.02906157821416855
752,0.024774394929409027
753,0.021919500082731247
754,0.015948619693517685
755,0.012609812431037426
756,0.015031300485134125
757,0.01725831814110279
758,0.02535582147538662
759,0.032302066683769226
760,0.033780787140131
761,0.03722546622157097
762,0.040840066969394684
763,0.040524695068597794
764,0.03496647998690605
765,0.028415776789188385
766,0.02268550544977188
767,0.013692143373191357
768,0.006932463031262159
769,0.0011081617558375
770,0.000593099626712501
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.004951063543558121
777,0.014073963277041912
778,0.009635567665100098
779,0.009068036451935768
780,0.01748647354543209
