# Start @ 2025-09-10 12:00:36 test
time,update_type,device,on,brightness,apower,voltage,current
2025-09-10T12:00:38.136945,Init,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:00:39.909402,Init,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:01:00.029309,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:01:00.074293,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:01:09.533606,RpcUpdateType.STATUS,Blue,True,10.0,5.0,246.1,0.058
2025-09-10T12:01:11.528856,RpcUpdateType.STATUS,Blue,True,10.0,8.6,246.1,0.058
2025-09-10T12:01:11.723785,RpcUpdateType.STATUS,Blue,True,10.0,8.6,246.1,0.082
2025-09-10T12:01:29.246129,RpcUpdateType.STATUS,Blue,True,4.0,8.6,246.1,0.082
2025-09-10T12:01:30.386425,RpcUpdateType.STATUS,Blue,True,4.0,7.2,246.1,0.082
2025-09-10T12:01:31.060183,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.082
2025-09-10T12:01:31.083297,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:02:00.024231,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:02:00.089254,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:03:00.070198,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:03:00.102087,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:04:00.070059,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:04:00.103181,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:05:00.076387,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:05:00.098284,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:06:00.059708,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:06:00.099307,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:07:00.061231,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:07:00.223327,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:08:00.054743,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:08:00.101457,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:09:00.048721,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:09:00.090689,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:10:00.045890,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:10:00.090760,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:11:00.042430,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:11:00.161707,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:12:00.040222,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:12:00.083488,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:13:00.037664,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:13:00.082728,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.058
2025-09-10T12:13:30.514828,RpcUpdateType.STATUS,Blue,True,4.0,4.0,246.1,0.058
2025-09-10T12:13:31.616217,RpcUpdateType.STATUS,Blue,True,4.0,2.5,246.1,0.058
2025-09-10T12:13:32.652691,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.058
2025-09-10T12:13:32.677484,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T12:13:44.934708,RpcUpdateType.STATUS,Blue,True,4.0,3.0,246.1,0.0
2025-09-10T12:13:45.089232,RpcUpdateType.STATUS,Blue,True,4.0,3.0,246.1,0.034
2025-09-10T12:13:46.014756,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.034
2025-09-10T12:13:46.048573,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.054
2025-09-10T12:13:58.290924,RpcUpdateType.STATUS,Blue,True,4.0,3.2,246.1,0.054
2025-09-10T12:13:59.326137,RpcUpdateType.STATUS,Blue,True,4.0,4.8,246.1,0.054
