日期,Pn均值_原始,Pn均值_温度复制实验,Pn差值,Pn差值_%,数据点数,温度是否复制,复制来源日期
2025-11-02,10.9,10.84,-0.06,-0.55,60,否,
2025-11-03,10.55,10.51,-0.04,-0.38,64,否,
2025-11-04,10.95,10.87,-0.08,-0.73,64,否,
2025-11-05,10.32,10.27,-0.05,-0.5,64,否,
2025-11-06,11.33,11.22,-0.11,-0.95,64,否,
2025-11-07,11.23,11.19,-0.04,-0.36,64,否,
2025-11-08,10.72,10.73,0.01,0.06,64,否,
2025-11-09,10.56,10.15,-0.41,-4.02,64,是,2025-11-02
2025-11-10,11.74,11.26,-0.49,-4.32,64,是,2025-11-03
2025-11-11,12.24,11.74,-0.5,-4.24,64,是,2025-11-04
2025-11-12,11.96,11.73,-0.23,-1.99,64,是,2025-11-05
2025-11-13,12.13,11.98,-0.15,-1.27,64,是,2025-11-06
2025-11-14,13.5,13.34,-0.17,-1.26,4,是,2025-11-07
平均,11.23,11.05,-0.18,-1.63,768,,
