日期,Pn均值_原始,Pn均值_新计算,Pn差值,Pn差值_%,数据点数_原始,数据点数_新
2025-11-02,11.1,15.45,4.36,28.16,59,59
2025-11-03,10.73,17.26,6.53,37.83,63,63
2025-11-04,11.21,14.8,3.59,24.26,64,64
2025-11-05,10.5,15.6,5.1,32.69,63,63
2025-11-06,11.35,15.25,3.91,25.57,65,65
2025-11-07,11.23,17.05,5.82,34.13,64,64
2025-11-08,10.97,17.0,6.03,35.47,64,64
# 2025-11-09,10.82,15.76,4.94,31.35,64,64
2025-11-10,11.74,16.38,4.63,28.33,64,64
2025-11-11,12.17,16.42,4.25,25.88,66,66
2025-11-12,11.9,16.39,4.49,27.39,65,65
2025-11-13,12.07,16.41,4.34,26.45,65,65
2025-11-14,13.5,16.44,2.94,17.88,4,4
平均,11.54,16.20,4.67,28.67,706,706

