entity_id,period_date,average_power,record_count,min_power,max_power,period_date_str,period,energy_wh
sensor.greenpi_c1_redblue_power,2025-11-02,72.0,10,72.0,72.0,2025-11-02,2025-11-02 09:00 to 2025-11-03 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-03,72.0,12,72.0,72.0,2025-11-03,2025-11-03 09:00 to 2025-11-04 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-04,72.0,11,72.0,72.0,2025-11-04,2025-11-04 09:00 to 2025-11-05 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-05,72.0,14,72.0,72.0,2025-11-05,2025-11-05 09:00 to 2025-11-06 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-06,72.0,12,72.0,72.0,2025-11-06,2025-11-06 09:00 to 2025-11-07 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-07,72.0,15,72.0,72.0,2025-11-07,2025-11-07 09:00 to 2025-11-08 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-08,72.0,14,72.0,72.0,2025-11-08,2025-11-08 09:00 to 2025-11-09 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-09,72.0,19,72.0,72.0,2025-11-09,2025-11-09 09:00 to 2025-11-10 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-10,72.0,11,72.0,72.0,2025-11-10,2025-11-10 09:00 to 2025-11-11 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-11,72.0,11,72.0,72.0,2025-11-11,2025-11-11 09:00 to 2025-11-12 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-12,72.0,14,72.0,72.0,2025-11-12,2025-11-12 09:00 to 2025-11-13 01:00,1152.0
sensor.greenpi_c1_redblue_power,2025-11-13,72.0,11,72.0,72.0,2025-11-13,2025-11-13 09:00 to 2025-11-14 01:00,1152.0
sensor.greenpi_c1_white_power,2025-11-02,42.51590909090909,44,19.9,81.9,2025-11-02,2025-11-02 09:00 to 2025-11-03 01:00,680.2545454545455
sensor.greenpi_c1_white_power,2025-11-03,39.586046511627906,43,19.8,81.8,2025-11-03,2025-11-03 09:00 to 2025-11-04 01:00,633.3767441860465
sensor.greenpi_c1_white_power,2025-11-04,43.13260869565217,46,19.5,81.7,2025-11-04,2025-11-04 09:00 to 2025-11-05 01:00,690.1217391304348
sensor.greenpi_c1_white_power,2025-11-05,43.340425531914896,47,21.3,82.4,2025-11-05,2025-11-05 09:00 to 2025-11-06 01:00,693.4468085106383
sensor.greenpi_c1_white_power,2025-11-06,45.026530612244905,49,19.9,81.9,2025-11-06,2025-11-06 09:00 to 2025-11-07 01:00,720.4244897959185
sensor.greenpi_c1_white_power,2025-11-07,42.800000000000004,43,19.7,82.1,2025-11-07,2025-11-07 09:00 to 2025-11-08 01:00,684.8000000000001
sensor.greenpi_c1_white_power,2025-11-08,42.29807692307692,52,19.8,81.8,2025-11-08,2025-11-08 09:00 to 2025-11-09 01:00,676.7692307692307
sensor.greenpi_c1_white_power,2025-11-09,42.026530612244905,49,20.0,82.2,2025-11-09,2025-11-09 09:00 to 2025-11-10 01:00,672.4244897959185
sensor.greenpi_c1_white_power,2025-11-10,44.254347826086956,46,19.5,82.1,2025-11-10,2025-11-10 09:00 to 2025-11-11 01:00,708.0695652173913
sensor.greenpi_c1_white_power,2025-11-11,43.283018867924525,53,19.2,82.4,2025-11-11,2025-11-11 09:00 to 2025-11-12 01:00,692.5283018867924
sensor.greenpi_c1_white_power,2025-11-12,43.523999999999994,50,20.0,82.2,2025-11-12,2025-11-12 09:00 to 2025-11-13 01:00,696.3839999999999
sensor.greenpi_c1_white_power,2025-11-13,44.176923076923075,52,20.0,82.1,2025-11-13,2025-11-13 09:00 to 2025-11-14 01:00,706.8307692307692
