# 5:1-200-30:10_20250826_223014
id,timestamp,device_id,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2025-08-26 22:30:14.758,T6ncwg==,24.63,65.93,1.300,4.587,111.00,617.00,316.00,92.00,2869.00,210.00,117.00,131.00,2307.00,3195.00,1,5
2,2025-08-26 22:30:14.773,L_6vSQ==,24.37,62.46,1.270,4.684,115.00,626.00,334.00,90.00,2773.00,199.00,116.00,128.00,2207.00,3415.00,1,5
3,2025-08-26 22:30:15.215,L_6vSQ==,24.47,62.45,1.260,4.683,115.00,626.00,334.00,90.00,2773.00,199.00,116.00,128.00,2208.00,3416.00,1,5
4,2025-08-26 22:30:19.313,T6ncwg==,24.59,66.00,1.302,4.588,111.00,617.00,316.00,92.00,2869.00,210.00,117.00,131.00,2308.00,3195.00,1,5
5,2025-08-26 22:30:20.830,L_6vSQ==,24.50,62.54,1.255,4.683,115.00,626.00,334.00,90.00,2774.00,199.00,116.00,128.00,2208.00,3414.00,1,5
6,2025-08-26 22:30:24.931,T6ncwg==,24.55,65.92,1.302,4.586,111.00,617.00,316.00,92.00,2869.00,210.00,117.00,131.00,2308.00,3193.00,1,5
7,2025-08-26 22:30:26.452,L_6vSQ==,24.50,62.56,1.260,4.684,115.00,626.00,334.00,90.00,2773.00,199.00,116.00,128.00,2208.00,3415.00,1,5
8,2025-08-26 22:30:30.450,T6ncwg==,24.57,65.85,1.302,4.576,111.00,617.00,316.00,92.00,2869.00,210.00,117.00,131.00,2308.00,3195.00,1,5
9,2025-08-26 22:30:32.079,L_6vSQ==,24.37,62.62,1.260,4.684,115.00,626.00,334.00,90.00,2773.00,199.00,116.00,128.00,2209.00,3415.00,1,5
10,2025-08-26 22:30:36.072,T6ncwg==,24.80,65.92,1.305,4.586,111.00,617.00,316.00,92.00,2869.00,210.00,117.00,131.00,2309.00,3195.00,1,5
11,2025-08-26 22:30:37.699,L_6vSQ==,24.50,62.57,1.237,4.682,115.00,626.00,334.00,90.00,2774.00,199.00,116.00,128.00,2209.00,3415.00,1,5
12,2025-08-26 22:30:41.691,T6ncwg==,24.39,65.73,1.308,4.586,111.00,617.00,316.00,93.00,2870.00,210.00,117.00,131.00,2309.00,3195.00,1,5
13,2025-08-26 22:30:43.317,L_6vSQ==,24.37,62.66,1.237,4.682,115.00,626.00,334.00,90.00,2775.00,199.00,116.00,128.00,2210.00,3415.00,1,5
14,2025-08-26 22:30:47.314,T6ncwg==,24.57,65.83,1.308,4.585,111.00,617.00,316.00,92.00,2870.00,210.00,117.00,131.00,2308.00,3194.00,1,5
15,2025-08-26 22:30:48.942,L_6vSQ==,24.26,62.83,1.237,4.682,115.00,626.00,334.00,90.00,2774.00,199.00,116.00,128.00,2210.00,3414.00,1,5
16,2025-08-26 22:30:52.938,T6ncwg==,24.59,65.92,1.308,4.585,111.00,617.00,316.00,92.00,2869.00,210.00,117.00,131.00,2310.00,3193.00,1,5
17,2025-08-26 22:30:54.566,L_6vSQ==,24.37,62.95,1.244,4.683,115.00,626.00,334.00,90.00,2773.00,199.00,116.00,128.00,2210.00,3413.00,1,5
