# r:1-200-35:0_20250827_091517
id,timestamp,device_id,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
1,2025-08-27 09:15:17.071,T6ncwg==,24.34,53.87,1.275,4.581,104.00,90.00,94.00,88.00,2810.00,233.00,121.00,139.00,2610.00,3715.00,1,5
2,2025-08-27 09:15:17.076,T6ncwg==,24.45,53.65,1.276,4.583,104.00,90.00,94.00,88.00,2811.00,233.00,121.00,139.00,2610.00,3715.00,1,5
3,2025-08-27 09:15:17.077,T6ncwg==,24.34,53.75,1.276,4.583,104.00,90.00,94.00,88.00,2812.00,233.00,121.00,139.00,2611.00,3715.00,1,5
4,2025-08-27 09:15:17.078,T6ncwg==,24.34,53.92,1.276,4.581,104.00,90.00,94.00,89.00,2812.00,233.00,121.00,139.00,2611.00,3714.00,1,5
5,2025-08-27 09:15:17.105,L_6vSQ==,24.74,49.58,1.224,4.677,109.00,87.00,89.00,87.00,2707.00,220.00,121.00,136.00,2495.00,3964.00,1,5
6,2025-08-27 09:15:17.109,L_6vSQ==,24.87,49.51,1.226,4.680,110.00,87.00,89.00,87.00,2708.00,220.00,121.00,136.00,2496.00,3965.00,1,5
7,2025-08-27 09:15:17.110,L_6vSQ==,25.00,49.45,1.232,4.682,110.00,87.00,89.00,87.00,2708.00,220.00,121.00,136.00,2497.00,3965.00,1,5
8,2025-08-27 09:15:17.111,L_6vSQ==,25.00,49.21,1.232,4.682,110.00,87.00,89.00,87.00,2708.00,220.00,121.00,136.00,2498.00,3965.00,1,5
9,2025-08-27 09:15:18.068,L_6vSQ==,25.00,49.49,1.232,4.677,110.00,87.00,89.00,87.00,2709.00,220.00,121.00,136.00,2498.00,3964.00,1,5
10,2025-08-27 09:15:21.133,T6ncwg==,24.36,53.92,1.276,4.581,104.00,90.00,94.00,89.00,2812.00,233.00,121.00,139.00,2612.00,3713.00,1,5
11,2025-08-27 09:15:23.604,L_6vSQ==,24.94,49.41,1.233,4.682,110.00,87.00,89.00,87.00,2709.00,220.00,121.00,136.00,2498.00,3964.00,1,5
12,2025-08-27 09:15:26.734,T6ncwg==,24.28,54.09,1.276,4.581,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2612.00,3714.00,1,5
13,2025-08-27 09:15:29.223,L_6vSQ==,25.00,49.61,1.233,4.682,110.00,87.00,89.00,87.00,2709.00,220.00,121.00,136.00,2499.00,3965.00,1,5
14,2025-08-27 09:15:32.359,T6ncwg==,24.34,54.06,1.277,4.583,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2613.00,3714.00,1,5
15,2025-08-27 09:15:34.851,L_6vSQ==,24.94,49.62,1.233,4.685,110.00,87.00,89.00,87.00,2710.00,220.00,121.00,136.00,2500.00,3964.00,1,5
16,2025-08-27 09:15:37.983,T6ncwg==,24.34,53.94,1.278,4.585,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2613.00,3713.00,1,5
17,2025-08-27 09:15:40.477,L_6vSQ==,24.88,49.62,1.232,4.682,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2500.00,3964.00,1,5
18,2025-08-27 09:15:43.612,T6ncwg==,24.34,54.02,1.279,4.583,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2614.00,3713.00,1,5
19,2025-08-27 09:15:46.106,L_6vSQ==,24.74,49.64,1.224,4.682,110.00,87.00,89.00,87.00,2709.00,220.00,121.00,136.00,2501.00,3964.00,1,5
20,2025-08-27 09:15:49.135,T6ncwg==,24.35,54.06,1.279,4.583,104.00,90.00,94.00,89.00,2812.00,233.00,121.00,139.00,2614.00,3712.00,1,5
21,2025-08-27 09:15:51.737,L_6vSQ==,24.87,49.67,1.224,4.682,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2500.00,3963.00,1,5
22,2025-08-27 09:15:54.761,T6ncwg==,24.34,54.14,1.279,4.583,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2614.00,3711.00,1,5
23,2025-08-27 09:15:57.251,L_6vSQ==,25.00,49.55,1.232,4.682,108.00,86.00,88.00,85.00,2670.00,217.00,119.00,134.00,2467.00,3909.00,1,5
24,2025-08-27 09:16:00.384,T6ncwg==,24.35,54.05,1.284,4.583,103.00,89.00,93.00,88.00,2781.00,230.00,120.00,138.00,2586.00,3667.00,1,5
25,2025-08-27 09:16:02.856,L_6vSQ==,24.87,49.63,1.233,4.685,108.00,86.00,89.00,86.00,2681.00,217.00,119.00,134.00,2476.00,3921.00,1,5
26,2025-08-27 09:16:06.028,T6ncwg==,24.34,54.18,1.284,4.588,103.00,89.00,93.00,88.00,2784.00,230.00,120.00,138.00,2588.00,3672.00,1,5
27,2025-08-27 09:16:08.503,L_6vSQ==,24.97,49.58,1.224,4.683,108.00,87.00,89.00,86.00,2682.00,217.00,119.00,134.00,2477.00,3923.00,1,5
28,2025-08-27 09:16:11.636,T6ncwg==,24.34,54.06,1.280,4.587,103.00,89.00,93.00,88.00,2793.00,231.00,120.00,138.00,2600.00,3688.00,1,5
29,2025-08-27 09:16:14.127,L_6vSQ==,25.00,49.60,1.211,4.683,109.00,87.00,89.00,86.00,2687.00,218.00,120.00,135.00,2483.00,3930.00,1,5
30,2025-08-27 09:16:17.264,T6ncwg==,24.34,54.21,1.279,4.583,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2616.00,3710.00,1,5
31,2025-08-27 09:16:19.753,L_6vSQ==,25.00,49.68,1.220,4.683,110.00,87.00,90.00,87.00,2711.00,220.00,121.00,136.00,2503.00,3961.00,1,5
32,2025-08-27 09:16:22.886,T6ncwg==,24.22,54.13,1.277,4.579,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2617.00,3710.00,1,5
33,2025-08-27 09:16:25.380,L_6vSQ==,24.87,49.80,1.221,4.683,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2503.00,3962.00,1,5
34,2025-08-27 09:16:28.521,T6ncwg==,24.37,54.07,1.279,4.583,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2617.00,3710.00,1,5
35,2025-08-27 09:16:30.908,L_6vSQ==,24.87,49.63,1.220,4.685,110.00,87.00,90.00,87.00,2711.00,220.00,121.00,136.00,2504.00,3959.00,1,5
36,2025-08-27 09:16:34.043,T6ncwg==,24.35,54.32,1.280,4.583,104.00,90.00,94.00,88.00,2814.00,233.00,121.00,139.00,2617.00,3709.00,1,5
37,2025-08-27 09:16:36.533,L_6vSQ==,24.75,49.75,1.220,4.685,109.00,87.00,89.00,86.00,2696.00,219.00,120.00,135.00,2491.00,3941.00,1,5
38,2025-08-27 09:16:39.665,T6ncwg==,24.34,54.31,1.284,4.583,103.00,89.00,93.00,88.00,2798.00,231.00,121.00,138.00,2603.00,3688.00,1,5
39,2025-08-27 09:16:42.160,L_6vSQ==,24.75,49.91,1.220,4.680,109.00,87.00,89.00,86.00,2692.00,218.00,120.00,135.00,2487.00,3933.00,1,5
40,2025-08-27 09:16:45.293,T6ncwg==,24.32,54.40,1.279,4.583,103.00,89.00,93.00,88.00,2796.00,231.00,121.00,139.00,2607.00,3692.00,1,5
41,2025-08-27 09:16:47.787,L_6vSQ==,24.74,49.91,1.233,4.685,109.00,87.00,89.00,86.00,2696.00,219.00,120.00,135.00,2490.00,3937.00,1,5
42,2025-08-27 09:16:50.918,T6ncwg==,24.34,54.58,1.278,4.583,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2618.00,3708.00,1,5
43,2025-08-27 09:16:53.415,L_6vSQ==,24.74,49.91,1.234,4.685,110.00,87.00,90.00,87.00,2709.00,220.00,121.00,136.00,2504.00,3959.00,1,5
44,2025-08-27 09:16:56.549,T6ncwg==,24.34,54.43,1.279,4.586,104.00,90.00,94.00,89.00,2814.00,233.00,121.00,139.00,2619.00,3708.00,1,5
45,2025-08-27 09:16:58.935,L_6vSQ==,24.87,49.89,1.237,4.685,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2505.00,3959.00,1,5
46,2025-08-27 09:17:02.178,T6ncwg==,24.22,54.40,1.284,4.586,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2619.00,3708.00,1,5
47,2025-08-27 09:17:04.618,L_6vSQ==,24.74,50.04,1.233,4.684,109.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2505.00,3959.00,1,5
48,2025-08-27 09:17:07.811,T6ncwg==,24.40,54.32,1.283,4.587,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2619.00,3707.00,1,5
49,2025-08-27 09:17:10.199,L_6vSQ==,24.74,50.00,1.233,4.683,110.00,87.00,90.00,87.00,2708.00,220.00,121.00,136.00,2505.00,3958.00,1,5
50,2025-08-27 09:17:13.444,T6ncwg==,24.24,54.43,1.282,4.581,103.00,89.00,93.00,88.00,2794.00,231.00,120.00,138.00,2600.00,3680.00,1,5
51,2025-08-27 09:17:15.831,L_6vSQ==,24.87,49.94,1.233,4.683,109.00,87.00,89.00,86.00,2686.00,218.00,119.00,135.00,2482.00,3920.00,1,5
52,2025-08-27 09:17:18.966,T6ncwg==,24.20,54.38,1.279,4.576,103.00,89.00,93.00,88.00,2786.00,230.00,120.00,138.00,2594.00,3669.00,1,5
53,2025-08-27 09:17:21.457,L_6vSQ==,24.87,50.09,1.234,4.683,109.00,87.00,89.00,86.00,2685.00,218.00,120.00,135.00,2487.00,3926.00,1,5
54,2025-08-27 09:17:24.592,T6ncwg==,24.22,54.49,1.279,4.579,103.00,89.00,93.00,88.00,2794.00,231.00,120.00,138.00,2595.00,3669.00,1,5
55,2025-08-27 09:17:26.976,L_6vSQ==,24.74,49.92,1.235,4.684,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2506.00,3957.00,1,5
56,2025-08-27 09:17:30.216,T6ncwg==,24.22,54.40,1.279,4.581,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2619.00,3704.00,1,5
57,2025-08-27 09:17:32.599,L_6vSQ==,24.73,49.87,1.235,4.684,110.00,87.00,90.00,87.00,2709.00,220.00,121.00,136.00,2506.00,3957.00,1,5
58,2025-08-27 09:17:35.840,T6ncwg==,24.34,54.36,1.282,4.584,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2620.00,3704.00,1,5
59,2025-08-27 09:17:38.221,L_6vSQ==,24.74,49.80,1.233,4.682,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2506.00,3956.00,1,5
60,2025-08-27 09:17:41.462,T6ncwg==,24.09,54.36,1.282,4.584,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2620.00,3704.00,1,5
61,2025-08-27 09:17:43.844,L_6vSQ==,24.72,49.96,1.233,4.683,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2506.00,3956.00,1,5
62,2025-08-27 09:17:47.084,T6ncwg==,24.22,54.36,1.282,4.579,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2620.00,3702.00,1,5
63,2025-08-27 09:17:49.465,L_6vSQ==,24.74,50.00,1.233,4.683,110.00,87.00,90.00,87.00,2710.00,220.00,121.00,136.00,2507.00,3955.00,1,5
64,2025-08-27 09:17:52.708,T6ncwg==,24.09,54.37,1.282,4.579,104.00,90.00,94.00,89.00,2813.00,233.00,121.00,139.00,2620.00,3701.00,1,5
65,2025-08-27 09:17:55.094,L_6vSQ==,24.74,50.04,1.235,4.680,109.00,87.00,89.00,86.00,2698.00,219.00,119.00,135.00,2484.00,3919.00,1,5
66,2025-08-27 09:17:58.332,T6ncwg==,24.09,54.54,1.282,4.579,103.00,89.00,93.00,87.00,2778.00,230.00,120.00,137.00,2589.00,3657.00,1,5
67,2025-08-27 09:18:00.716,L_6vSQ==,24.80,50.03,1.233,4.679,108.00,86.00,89.00,86.00,2678.00,217.00,119.00,134.00,2479.00,3908.00,1,5
68,2025-08-27 09:18:03.907,T6ncwg==,24.08,54.48,1.277,4.584,103.00,89.00,93.00,87.00,2780.00,230.00,120.00,138.00,2592.00,3659.00,1,5
